# sample:  Sample (has multiple cells)
# cell:    Name of the cell.
# mapped:  Total number of reads seen
# suppl:   Supplementary, secondary or QC-failed reads (filtered out)
# dupl:    Reads filtered out as PCR duplicates
# mapq:    Reads filtered out due to low mapping quality
# read2:   Reads filtered out as 2nd read of pair
# good:    Reads used for counting.
# pass1:   Enough coverage? If false, ignore all columns from now
# nb_p:    Negative Binomial parameter p. Constant for one sample.
# nb_r:    Negative Binomial parameter r. We use NB(p,r/2) * NB(p,r/2) in WC states, but NB(p,(1-a)*r)*NB(p,a*r) in WW or CC states.
# nb_a:    Negative Binomial parameter a (alpha) used for zero expectation (see above).
# bam:     Bam file of this cell
sample	cell	medbin	mapped	suppl	dupl	mapq	read2	good	pass1	nb_p	nb_r	nb_a	bam
BAB14547	BAB14547iTRU1A01	19	983309	433	235592	65585	338581	343118	1	0.131082	3.56313	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A01.sort.mdup.bam
BAB14547	BAB14547iTRU1A02	18	822656	297	156031	55048	303842	307438	1	0.131082	3.19787	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A02.sort.mdup.bam
BAB14547	BAB14547iTRU1A03	32	1443433	738	331227	110095	497635	503738	1	0.131082	5.2262	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A03.sort.mdup.bam
BAB14547	BAB14547iTRU1A04	21	999561	418	253695	73145	333992	338311	1	0.131082	3.50899	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A04.sort.mdup.bam
BAB14547	BAB14547iTRU1A05	22	1240269	529	325671	81093	413691	419285	1	0.131082	4.35696	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A05.sort.mdup.bam
BAB14547	BAB14547iTRU1A06	21	1026615	506	271702	78017	335888	340502	1	0.131082	3.53138	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A06.sort.mdup.bam
BAB14547	BAB14547iTRU1A07	20	919633	456	212387	73047	314833	318910	1	0.131082	3.30624	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A07.sort.mdup.bam
BAB14547	BAB14547iTRU1A08	7	404858	220	104525	30759	133905	135449	1	0.131082	1.40634	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A08.sort.mdup.bam
BAB14547	BAB14547iTRU1A09	42	1996103	707	579590	127955	640174	647677	1	0.131082	6.73726	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A09.sort.mdup.bam
BAB14547	BAB14547iTRU1A10	24	1116745	482	285045	88713	368808	373697	1	0.131082	3.87814	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A10.sort.mdup.bam
BAB14547	BAB14547iTRU1A11	28	1253719	616	310759	103230	416822	422292	1	0.131082	4.37682	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A11.sort.mdup.bam
BAB14547	BAB14547iTRU1A12	21	1040103	522	293162	81399	330230	334790	1	0.131082	3.47242	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A12.sort.mdup.bam
BAB14547	BAB14547iTRU1A13	32	1445213	725	358511	121359	479152	485466	1	0.131082	5.03285	0.1	/scratch/tweber/DATA/MC_DATA/2023-03-24-HCNGCAFX5/BAB14547/bam/BAB14547iTRU1A13.sort.mdup.bam
