CTRL-rep1	CTRL-rep2	CTRL-rep3	ESRP-DKO-rep1	ESRP-DKO-rep2	ESRP-DKO-rep3	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
34	29	17	14	19	19	
26	21	16	22	22	20	
16	29	14	18	32	13	
11	13	17	21	20	28	
22	25	24	34	19	18	
21	19	29	30	24	12	
22	22	14	19	15	21	
20	17	15	18	20	9	
17	15	12	16	26	13	
24	14	29	28	22	20	
12	10	11	13	24	27	
9	9	18	17	11	14	
15	11	12	14	21	12	
11	9	12	9	16	15	
10	13	16	13	19	12	
17	14	9	15	6	7	
16	9	10	9	6	12	
14	7	8	12	10	8	
12	14	6	17	12	11	
5	9	12	15	19	16	
23	9	14	12	13	8	
11	14	9	11	6	12	
9	11	17	12	15	13	
13	5	7	9	13	8	
9	10	7	16	11	4	
10	9	8	12	8	7	
18	15	6	11	8	9	
7	4	10	9	13	4	
8	7	11	6	5	9	
5	9	6	8	4	6	
2	7	8	13	10	6	
7	9	9	10	14	11	
10	6	10	9	10	8	
7	8	7	5	11	6	
3	8	5	5	4	8	
7	6	5	15	7	7	
10	8	7	5	6	10	
7	7	6	9	6	7	
9	4	6	9	6	8	
2	5	5	6	5	9	
4	6	9	11	8	3	
5	5	6	1	9	3	
12	12	7	8	4	6	
10	9	3	3	3	7	
6	5	7	3	4	12	
11	8	2	8	6	4	
6	3	8	1	3	4	
5	3	2	5	4	5	
7	7	8	7	8	6	
12	8	6	4	5	3	
6	3	1	7	6	8	
6	6	4	7	7	7	
5	5	4	3	1	3	
5	3	2	2	2	6	
6	5	6	6	4	5	
2	4	4	5	7	2	
1	5	2	4	3	1	
3	4	3	3	4	5	
10	5	5	2	5	6	
5	5	6	2	5	2	
5	3	6	4	2	8	
10	3	5	8	3	5	
1	6	6	4	3	2	
4	5	3	5	1	10	
5	7	4	3	2	3	
4	3	2	8	3	6	
6	4	5	3	4	4	
7	5	5	9	7	7	
10	6	5	3	3	4	
4	7	0	3	4	7	
3	6	5	4	3	7	
1	3	4	3	3	7	
6	4	3	8	5	6	
5	4	9	5	4	3	
5	3	3	5	4	0	
2	3	1	4	5	5	
2	5	4	3	6	4	
3	5	5	0	1	3	
2	2	4	4	4	6	
6	4	5	6	0	6	
5	2	1	4	2	1	
2	4	4	3	2	6	
5	6	2	3	3	3	
2	3	4	1	7	1	
3	1	2	3	4	5	
3	1	1	5	5	2	
2	3	1	2	5	2	
1	1	2	1	1	4	
4	5	3	2	4	0	
2	1	2	1	3	2	
4	2	2	4	0	3	
4	1	2	2	1	3	
2	3	1	5	2	2	
2	2	2	1	3	1	
4	4	2	3	3	4	
5	3	0	0	3	1	
2	3	1	1	1	3	
6	3	3	2	1	2	
5	2	3	0	1	3	
2	0	3	7	3	2	
2	2	2	1	0	2	
4	6	1	4	3	6	
4	2	1	2	6	1	
3	3	1	5	5	1	
4	4	3	1	3	0	
3	2	2	4	3	5	
2	2	4	1	5	6	
1	1	1	0	3	1	
1	1	2	3	1	4	
3	2	1	0	4	1	
3	2	2	0	4	0	
0	0	3	1	5	3	
4	4	1	3	0	2	
3	5	3	1	4	2	
1	4	4	1	2	0	
1	1	1	3	2	0	
2	4	1	2	4	2	
1	0	0	2	2	4	
1	0	1	3	2	1	
2	0	5	0	0	4	
3	1	1	1	1	2	
4	2	2	1	2	3	
2	0	4	0	1	0	
1	1	0	0	1	1	
4	3	2	4	0	2	
1	0	0	1	3	3	
3	3	2	0	2	2	
3	2	2	1	1	0	
2	4	2	1	1	2	
0	2	0	1	3	3	
5	3	1	2	1	2	
0	3	2	1	2	2	
3	2	1	3	1	2	
3	6	0	5	2	2	
2	0	3	3	2	1	
1	1	2	2	3	0	
0	1	2	2	2	1	
3	5	2	3	2	0	
1	1	0	1	1	1	
3	1	1	5	1	5	
1	0	1	1	3	3	
1	0	1	1	2	2	
1	1	0	3	2	0	
0	0	0	0	0	2	
1	3	2	2	1	3	
1	0	2	1	2	2	
0	0	0	2	1	1	
1	2	0	0	1	1	
3	1	1	1	1	2	
1	1	1	2	1	2	
1	0	2	3	0	0	
2	0	2	0	1	1	
2	2	3	2	2	1	
1	4	0	3	0	1	
1	1	0	0	0	2	
2	1	1	1	1	1	
4	1	1	0	0	0	
2	2	2	0	0	0	
2	1	1	0	0	0	
2	1	1	1	2	0	
0	1	1	0	0	1	
0	0	0	0	0	2	
1	5	0	1	0	2	
1	0	0	2	3	2	
1	3	1	0	0	6	
2	1	3	3	1	1	
1	0	0	1	0	1	
0	0	1	0	1	1	
0	0	0	0	2	1	
1	1	0	0	0	1	
0	1	0	0	1	2	
2	0	0	2	2	2	
0	3	1	1	1	0	
0	2	0	1	3	1	
3	0	1	4	1	2	
0	0	0	2	2	2	
0	0	0	1	0	2	
0	0	2	0	0	0	
0	1	2	2	1	1	
2	1	0	0	1	0	
2	3	0	1	0	1	
1	4	1	0	3	1	
1	1	0	0	1	0	
1	3	0	0	1	1	
1	1	0	1	0	0	
0	1	0	0	0	0	
0	1	2	1	2	2	
1	3	0	1	0	4	
0	0	0	2	1	0	
1	0	1	1	0	0	
1	1	0	1	0	1	
0	1	0	0	2	1	
1	0	0	1	0	1	
0	3	1	0	0	2	
0	1	0	0	1	2	
1	1	1	2	0	0	
1	0	1	2	0	0	
0	1	2	0	1	3	
0	0	1	0	0	2	
0	0	0	0	2	2	
1	1	0	1	0	2	
0	1	0	0	1	2	
1	1	0	1	1	1	
3	0	0	0	1	2	
2	1	0	0	0	0	
0	0	1	1	0	0	
1	3	3	2	1	0	
0	1	2	1	0	0	
0	0	1	0	2	1	
0	1	1	1	0	1	
0	0	1	1	0	1	
1	1	1	0	3	0	
0	0	0	0	0	1	
0	0	1	0	1	1	
1	1	0	0	0	2	
0	0	0	1	0	2	
0	0	1	0	0	0	
1	0	1	1	0	0	
1	0	0	0	1	0	
1	2	0	0	0	0	
1	0	0	0	1	0	
0	0	0	0	0	0	
1	2	0	0	2	0	
0	1	0	1	0	2	
1	2	1	0	0	1	
1	0	0	1	1	1	
0	1	0	0	1	1	
0	0	0	0	0	1	
0	1	0	0	0	0	
0	0	0	1	0	0	
0	1	0	1	0	0	
1	0	0	0	1	0	
1	1	0	0	0	0	
2	0	0	0	0	0	
1	1	0	2	0	0	
0	0	1	0	0	0	
0	0	2	1	0	3	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	2	0	1	1	0	
1	2	0	0	0	0	
0	0	1	0	0	0	
0	1	0	2	0	1	
0	0	0	0	0	1	
1	1	1	1	1	0	
3	1	0	1	0	1	
2	1	0	0	0	1	
0	0	0	0	0	0	
1	0	0	1	0	0	
0	1	0	2	1	1	
1	0	0	0	0	0	
0	0	0	0	1	0	
0	0	0	0	1	0	
2	0	0	1	0	0	
0	2	0	1	0	1	
0	0	0	0	0	0	
0	0	0	0	0	1	
0	0	0	0	0	0	
0	1	0	0	0	0	
2	0	1	1	1	0	
0	0	0	1	0	2	
0	0	0	2	4	1	
0	0	0	1	0	0	
0	0	2	0	0	0	
1	1	1	0	1	0	
0	0	1	0	1	0	
0	1	0	0	0	1	
1	0	0	0	0	0	
0	0	0	0	0	0	
1	0	1	1	0	0	
0	1	1	1	0	0	
2	0	0	0	0	1	
0	0	0	0	0	0	
1	0	0	0	0	0	
0	1	1	0	0	1	
1	1	0	1	0	0	
0	0	0	0	0	1	
1	0	0	1	0	0	
0	2	0	0	0	0	
0	0	1	0	0	0	
0	0	0	1	0	0	
1	0	0	2	0	0	
0	0	0	0	0	0	
0	0	1	0	1	0	
0	0	0	1	0	0	
1	1	0	0	0	1	
0	1	0	0	0	0	
2	0	1	0	0	0	
0	0	0	2	2	1	
0	1	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	1	0	
0	1	0	1	0	0	
1	0	1	1	0	0	
0	0	0	0	0	0	
0	1	0	0	1	2	
