CTRL-rep1	CTRL-rep2	CTRL-rep3	ESRP-DKO-rep1	ESRP-DKO-rep2	ESRP-DKO-rep3	
410.164	419.819	441.458	422.897	471.264	459.057	
507.976	524.107	545.601	526.175	587.8	573.038	
599.847	619.177	648.073	626.767	698.502	682.918	
685.708	710.477	743.13	718.055	798.537	784.309	
776.423	805.537	840.985	815.222	906.705	889.593	
863.733	896.417	937.449	910.122	1010.298	995.652	
951.38	988.335	1036.884	1003.725	1114.627	1102.619	
1032.184	1074.173	1130.084	1093.897	1213.701	1196.714	
1097.856	1141.918	1206.806	1166.005	1294.743	1272.806	
1154.959	1203.007	1273.686	1229.966	1366.31	1337.456	
1216.29	1268.274	1343.008	1296.351	1440.149	1406.383	
1273.783	1329.087	1407.235	1358.099	1510.446	1470.82	
1310.004	1367.077	1448.103	1399.187	1554.489	1512.629	
1355.234	1416.472	1499.705	1450.462	1606.587	1564.014	
1408.367	1472.646	1558.65	1509.592	1670.639	1626.045	
1447.807	1513.709	1603.615	1555.547	1719.247	1672.782	
1483.516	1550.702	1644.745	1598.398	1762.664	1712.056	
1524.783	1593.67	1686.185	1641.204	1810.976	1755.216	
1566.405	1636.04	1729.902	1685.765	1860.322	1802.793	
1596.87	1664.675	1764.759	1721.715	1903.237	1840.329	
1624.045	1691.089	1795.844	1752.199	1939.783	1870.113	
1653.029	1722.198	1828.34	1786.015	1976.942	1903.552	
1676.896	1747.666	1854.801	1813.942	2006.903	1930.98	
1723.239	1796.916	1909.821	1864.853	2063.792	1983.961	
1735.351	1810.115	1924.207	1878.573	2077.655	1997.711	
1746.413	1821.552	1934.182	1888.901	2088.971	2012.127	
1764.656	1841.914	1950.683	1905.96	2106.048	2032.638	
1793.984	1873.305	1981.917	1936.641	2139.322	2064.96	
1822.383	1903.278	2014.333	1963.79	2170.71	2093.98	
1845.651	1927.65	2039.951	1987.112	2197.023	2122.507	
1871.269	1953.594	2066.867	2015.536	2228.407	2153.095	
1887.969	1969.493	2088.268	2031.954	2247.706	2173.727	
1908.066	1994.584	2110.612	2053.814	2272.754	2195.182	
1923.934	2012.043	2125.713	2065.017	2288.194	2211.797	
1946.806	2036.107	2146.869	2087.645	2316.043	2235.848	
1964.347	2053.875	2163.462	2107.505	2334.988	2253.881	
1968.411	2057.031	2168.862	2109.942	2337.208	2261.029	
1973.491	2062.988	2174.577	2116.465	2344.301	2265.175	
1971.004	2061.378	2174.872	2116.32	2345.895	2265.527	
1989.396	2079.445	2197.434	2139.011	2369.787	2285.922	
1998.236	2088.023	2207.584	2148.834	2380.785	2294.461	
2004.65	2093.402	2213.137	2154.822	2387.244	2301.16	
2006.578	2095.007	2216.668	2155.963	2388.136	2305.121	
2016.389	2106.477	2228.541	2166.871	2399.142	2317.803	
2025.806	2116.663	2239.509	2174.882	2408.747	2328.914	
2047.547	2138.922	2262.482	2197.792	2435.985	2352.711	
2059.078	2149.887	2272.96	2209.882	2452.248	2365.535	
2057.012	2146.211	2274.379	2210.017	2450.269	2365.577	
2051.465	2138.345	2267.251	2207.144	2444.774	2361.842	
2053.538	2138.937	2265.573	2209.573	2445.87	2363.351	
2058.351	2143.841	2268.907	2214.264	2451.969	2370.283	
2082.848	2166.654	2294.131	2236.79	2481.336	2394.455	
2083.631	2165.821	2292.897	2236.728	2483.684	2392.815	
2083.998	2167.843	2290.224	2235.583	2482.713	2392.871	
2081.03	2164.957	2286.734	2228.881	2476.761	2388.161	
2069.338	2153.855	2273.338	2215.396	2463.761	2374.663	
2056.736	2142.704	2260.472	2201.87	2450.597	2359.048	
2053.267	2140.401	2253.15	2195.831	2445.133	2353.244	
2041.153	2127.331	2239.786	2184.105	2428.917	2340.157	
2036.513	2121.763	2234.344	2181.369	2422.92	2339.292	
2028.946	2111.916	2227.899	2176.306	2412.232	2331.753	
2023.903	2106.89	2223.03	2172.575	2406.009	2326.8	
2020.15	2100.052	2218.307	2169.417	2401.245	2323.31	
2018.309	2096.212	2220.383	2169.511	2397.536	2320.491	
2007.996	2084.032	2211.829	2160.336	2386.127	2309.129	
2004.997	2080.266	2211.346	2155.535	2381.273	2304.224	
1999.573	2072.348	2207.366	2149.872	2375.382	2297.428	
2015.3	2088.539	2222.489	2164.979	2393.122	2315.651	
2006.159	2079.275	2209.439	2151.346	2380.233	2303.995	
1999.341	2072.08	2199.875	2141.725	2372.553	2297.233	
1986.874	2058.512	2185.636	2128.732	2358.578	2282.667	
1957.155	2028.243	2153.59	2097.308	2322.736	2246.361	
1935.514	2006.172	2132.688	2076.661	2296.745	2223.128	
1905.161	1975.113	2099.977	2044.662	2259.154	2188.563	
1882.714	1952.638	2076.624	2022.401	2229.928	2162.447	
1864.519	1934.747	2056.905	2004.216	2209.239	2141.246	
1848.972	1919.929	2038.693	1987.886	2191.795	2122.322	
1837.2	1907.982	2024.944	1972.416	2176.956	2108.61	
1827.195	1896.981	2013.166	1961.015	2165.374	2095.16	
1810.545	1878.537	1994.73	1945.41	2145.621	2074.155	
1785.284	1851.089	1967.419	1917.778	2115.977	2045.984	
1760.613	1824.42	1938.374	1891.385	2086.943	2018.128	
1725.314	1789.409	1897.055	1853.842	2046.732	1978.336	
1685.749	1748.793	1851.237	1811.431	1999.762	1932.366	
1641.945	1703.507	1800.387	1763.411	1946.042	1878.947	
1586.398	1646.738	1734.658	1702.61	1881.167	1813.488	
1546.239	1604.252	1687.671	1660.422	1833.535	1768.55	
1514.711	1569.187	1651.368	1628.504	1797.67	1732.754	
1479.996	1531.566	1613.338	1593.372	1756.644	1694.128	
1431.509	1481.903	1559.812	1542.016	1698.523	1637.909	
1375.867	1422.937	1498.191	1483.184	1634.284	1576.181	
1308.811	1353.524	1420.756	1410.066	1554.026	1500.042	
1252.44	1295.779	1356.788	1349.708	1487.545	1435.391	
1191.624	1233.703	1289.291	1286.223	1416.923	1366.568	
1133.37	1173.094	1224.958	1224.23	1348.466	1298.112	
1071.244	1108.988	1156.552	1159.139	1275.692	1227.46	
1003.762	1038.911	1082.743	1089.618	1199.598	1152.792	
947.279	978.829	1020.945	1030.202	1134.233	1089.388	
893.398	918.942	961.11	973.024	1071.3	1028.413	
826.55	848.664	888.633	903.042	992.884	953.951	
