CTRL-rep1	CTRL-rep2	CTRL-rep3	ESRP-DKO-rep1	ESRP-DKO-rep2	ESRP-DKO-rep3	
789.589	809.94	850.002	866.333	951.006	913.595	
799.507	820.933	860.575	874.574	961.46	923.994	
805.365	826.995	866.716	880.675	968.016	930.432	
815.903	837.08	877.679	891.856	981.086	942.44	
821.809	843.057	883.316	898.033	987.766	949.243	
835.655	857.421	899.982	913.664	1004.381	964.742	
844.515	866.396	910.341	923.58	1014.643	974.552	
851.764	874.034	918.859	931.666	1023.061	982.524	
856.863	879.47	924.303	936.896	1029.019	988.069	
862.946	885.396	930.25	943.447	1036.456	994.269	
867.476	890.353	935.223	948.437	1042.531	999.289	
874.632	897.56	942.644	955.648	1051.074	1006.95	
884.407	907.692	953.678	966.835	1063.561	1018.385	
888.514	912.37	958.827	971.51	1068.91	1023.231	
896.857	922.161	967.402	979.07	1077.016	1031.887	
900.722	926.48	971.392	982.956	1081.889	1036.112	
904.374	930.092	977.463	988.722	1088.663	1042.008	
909.601	935.366	985.359	995.441	1095.46	1047.594	
914.22	940.225	990.464	1000.54	1101.19	1053.203	
918.98	946.03	997.26	1006.866	1107.965	1059.72	
924.958	952.173	1003.996	1013.046	1115.044	1066.69	
934.498	962.043	1013.945	1022.723	1126.375	1077.996	
939.941	967.64	1020.288	1028.724	1132.555	1084.073	
944.553	972.544	1026.516	1033.675	1138.464	1089.064	
949.874	978.126	1033.394	1040.167	1145.398	1094.904	
957.56	986.394	1041.973	1048.23	1154.189	1103.515	
967.641	996.868	1052.716	1058.737	1166.271	1114.994	
972.902	1002.475	1058.801	1064.275	1171.62	1121.196	
978.563	1008.184	1065.027	1069.804	1178.474	1127.365	
985.52	1015.272	1072.671	1076.371	1186.724	1134.954	
992.696	1022.347	1080.291	1083.802	1194.609	1143.325	
999.462	1029.52	1087.842	1090.944	1202.371	1150.585	
1006.875	1037.331	1096.501	1098.848	1211.019	1158.798	
1012.948	1043.612	1103.156	1104.991	1217.783	1165.154	
1021.227	1051.782	1112.074	1113.485	1227.257	1174.249	
1029.819	1059.352	1122.117	1122.483	1237.251	1184.221	
1038.404	1068.434	1132.091	1131.694	1247.39	1194.218	
1045.108	1075.534	1140.007	1138.812	1255.281	1201.776	
1050.734	1081.315	1147.527	1144.596	1261.512	1207.544	
1058.037	1088.774	1156.094	1152.344	1270.198	1216.065	
1065.739	1096.98	1164.906	1160.336	1279.214	1224.997	
1074.949	1106.3	1175.208	1170.55	1290.103	1235.66	
1083.626	1114.8	1185.001	1179.379	1300.324	1245.184	
1090.857	1122.444	1193.358	1187.475	1309.143	1253.204	
1097.82	1129.198	1201.352	1195.088	1317.692	1260.76	
1105.482	1136.891	1209.866	1203.421	1326.181	1269.654	
1121.91	1153.839	1228.496	1220.733	1345.361	1288.192	
1129.455	1161.886	1236.562	1228.5	1353.637	1296.736	
1135.066	1167.607	1243.614	1234.842	1360.501	1303.275	
1142.12	1174.877	1251.581	1242.243	1368.525	1311.213	
1150.325	1183.529	1260.717	1251.07	1377.757	1320.544	
1161.619	1194.55	1274.222	1263.164	1391.054	1333.464	
1170.842	1203.974	1284.503	1273.123	1401.647	1344.021	
1181.337	1214.974	1296.466	1284.011	1413.756	1355.974	
1188.702	1222.632	1304.654	1291.528	1422.195	1364.43	
1194.911	1229.073	1311.743	1297.899	1429.643	1371.32	
1203.077	1237.425	1320.938	1306.4	1438.716	1380.315	
1210.703	1245.707	1329.951	1314.658	1448.263	1389.562	
1215.705	1251.344	1335.829	1320.41	1454.404	1395.422	
1222.025	1257.444	1343.324	1327.037	1461.624	1402.684	
1229.167	1264.859	1351.549	1334.721	1470.038	1410.891	
1234.918	1270.933	1358.171	1340.76	1477.012	1417.591	
1241.594	1277.83	1364.905	1347.676	1484.796	1425.266	
1247.739	1284.374	1371.563	1354.145	1492.553	1432.229	
