CTRL-rep1	CTRL-rep2	CTRL-rep3	ESRP-DKO-rep1	ESRP-DKO-rep2	ESRP-DKO-rep3	
27.763	27.164	26.804	27.635	31.171	30.062	
27.986	27.407	27.0	27.966	31.439	30.335	
28.176	27.513	27.075	28.002	31.61	30.39	
28.355	27.638	27.262	27.936	31.765	30.461	
28.463	27.77	27.361	27.877	31.931	30.53	
28.617	27.839	27.426	28.012	32.067	30.595	
28.696	27.861	27.481	28.033	32.093	30.646	
28.723	27.942	27.544	28.101	32.149	30.792	
28.831	27.992	27.583	28.244	32.318	30.871	
28.943	28.138	27.648	28.372	32.499	30.914	
29.044	28.151	27.701	28.398	32.446	30.999	
29.097	28.17	27.74	28.544	32.505	31.075	
29.076	28.186	27.805	28.655	32.591	31.183	
29.039	28.173	27.872	28.705	32.744	31.212	
29.089	28.254	27.919	28.788	32.796	31.364	
29.108	28.358	27.967	28.904	32.876	31.496	
29.177	28.416	28.031	28.966	33.002	31.532	
29.276	28.475	28.092	28.98	33.098	31.641	
29.294	28.494	28.14	29.019	33.155	31.726	
29.298	28.54	28.172	29.11	33.159	31.803	
29.291	28.623	28.327	29.077	33.169	31.822	
29.288	28.552	28.434	29.264	33.146	31.521	
29.343	28.659	28.481	29.352	33.125	31.62	
29.383	28.659	28.5	29.427	33.23	31.724	
29.353	28.728	28.605	29.537	33.454	31.762	
29.353	28.886	28.764	29.574	33.517	31.822	
29.506	28.895	28.795	29.642	33.401	32.036	
29.581	28.995	28.856	29.71	33.507	32.314	
29.671	29.058	28.794	29.818	33.54	32.374	
29.666	29.12	28.774	29.863	33.578	32.305	
29.661	29.12	28.827	30.002	33.741	32.396	
29.742	29.185	28.889	30.063	33.791	32.45	
29.783	29.226	29.049	30.127	33.879	32.49	
29.878	29.326	29.147	30.231	33.998	32.623	
29.993	29.411	29.26	30.356	34.081	32.674	
30.062	29.446	29.328	30.388	34.197	32.735	
30.113	29.539	29.385	30.437	34.391	32.786	
30.155	29.594	29.48	30.513	34.481	32.852	
30.268	29.695	29.541	30.593	34.609	32.958	
30.476	29.954	29.641	30.691	34.828	33.028	
30.513	30.053	29.862	30.867	34.985	33.126	
30.532	30.072	29.942	30.894	35.089	33.303	
30.601	30.221	29.968	30.954	35.165	33.284	
30.697	30.288	30.06	31.024	35.321	33.384	
30.782	30.398	30.147	31.212	35.414	33.496	
30.907	30.628	30.189	31.262	35.631	33.443	
31.022	30.68	30.345	30.975	35.731	33.502	
31.157	30.791	30.457	31.086	35.555	33.477	
31.314	30.837	30.492	31.202	35.664	33.593	
31.385	30.943	30.654	31.323	35.67	33.687	
31.539	31.002	30.754	31.443	35.768	33.832	
31.533	31.192	30.907	31.569	35.886	33.92	
31.682	31.279	30.958	31.733	36.026	34.172	
31.766	31.482	31.147	31.903	36.254	34.242	
31.931	31.583	31.26	32.05	36.176	34.338	
32.005	31.659	31.426	32.132	36.226	34.398	
32.092	31.764	31.622	32.195	36.451	34.558	
32.17	31.826	31.734	32.344	36.555	34.621	
32.243	31.865	31.769	32.41	36.599	34.741	
32.299	31.938	31.751	32.344	36.623	34.929	
32.363	31.678	31.79	32.505	36.767	34.856	
32.551	31.987	31.841	32.573	36.841	34.907	
32.627	32.058	31.971	32.717	37.023	35.022	
32.676	31.899	31.984	32.938	37.121	35.198	
32.913	32.103	32.064	33.081	37.182	35.278	
33.041	32.229	32.211	33.121	37.278	35.454	
33.088	32.352	32.469	33.103	37.427	35.606	
33.194	32.531	32.585	33.226	37.587	35.65	
33.306	32.626	32.779	33.408	37.714	35.852	
33.478	32.773	32.862	33.473	37.8	35.8	
33.394	32.888	32.93	33.592	37.875	35.729	
33.486	32.969	33.029	33.713	37.954	35.759	
33.529	33.126	33.074	33.902	38.045	35.926	
33.732	33.198	33.158	34.151	38.224	36.141	
33.789	33.232	33.272	34.268	38.295	36.188	
33.888	33.364	33.497	34.375	38.432	36.315	
34.131	33.453	33.603	34.496	38.508	36.547	
34.285	33.529	33.756	34.615	38.567	36.589	
34.293	33.559	33.941	34.864	38.779	36.671	
34.401	33.639	34.047	34.945	38.903	36.789	
34.488	33.814	34.182	35.015	38.976	36.886	
