Sample	'08021342'	'08027127'	'08029463'	'08035117'	'08042735'	'08044099'	'08066089'	'08069519'	'08086509'	'08104114'	'NA12878'
'08021342'	1.0	0.378	0.368	0.425	0.235	0.349	0.237	0.405	0.316	0.2	0.455
'08027127'	0.341	1.0	0.4	0.472	0.167	0.359	0.333	0.432	0.5	0.421	0.333
'08029463'	0.378	0.389	1.0	0.441	0.333	0.375	0.421	0.306	0.429	0.286	0.436
'08035117'	0.447	0.472	0.455	1.0	0.528	0.444	0.324	0.382	0.432	0.425	0.459
'08042735'	0.2	0.143	0.227	0.514	1.0	0.31	0.205	0.295	0.279	0.417	0.405
'08044099'	0.429	0.412	0.441	0.457	0.406	1.0	0.333	0.474	0.439	0.395	0.556
'08066089'	0.333	0.429	0.5	0.423	0.364	0.478	1.0	0.5	0.6	0.481	0.393
'08069519'	0.341	0.41	0.297	0.325	0.351	0.429	0.389	1.0	0.512	0.436	0.459
'08086509'	0.293	0.444	0.419	0.432	0.333	0.419	0.419	0.467	1.0	0.405	0.435
'08104114'	0.195	0.381	0.316	0.486	0.556	0.395	0.342	0.436	0.415	1.0	0.359
'NA12878'	0.444	0.295	0.472	0.425	0.486	0.455	0.289	0.447	0.455	0.304	1.0
