Data File Name,2100 expert_High Sensitivity DNA Assay_DE13807144_2017-08-04_14-04-08.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\data\2017-08-04
Date Created,04 August 2017 14:04:08
Date Last Modified,04 August 2017 15:40:00
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,CEG56_171_1PC
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,81.1,43.00,121.8,2.9,0.0,185.8
47,45.48,"1,471.9",,15.0,44.84,15.0,1.5,1.0,32.9
231,9.07,59.5,,5.3,63.61,6.6,1.3,0.2,8.0
294,"2,303.95","11,879.4",,"1,584.8",69.49,427.5,11.0,63.3,"2,166.5"
369,20.42,83.8,,16.8,75.51,26.9,0.6,0.6,21.0
438,"1,024.43","3,543.2",,930.4,80.04,202.8,9.2,32.0,"1,095.9"
560,15.54,42.0,,16.3,86.46,24.9,0.6,0.5,17.7
572,68.13,180.4,,72.6,87.05,28.4,3.8,2.4,78.3
"10,380",75.00,10.9,Upper Marker,136.5,113.00,132.2,3.1,0.0,112.2
"12,646",0.00,0.0,,5.5,115.33,6.8,0.9,0.0,4.4
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,62.07,92.04,"3,413.1",98,359,24.0,"3,456.17","15,721.8",12930121
 
 
Sample Name,CEG56_171_2PC
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,95.0,43.00,134.1,3.2,0.0,217.6
45,50.22,"1,684.7",,19.8,44.58,19.5,1.5,1.6,43.6
55,9.26,253.9,,3.9,45.94,5.4,1.1,0.3,8.3
291,"1,289.53","6,713.5",,"1,065.4",69.23,285.5,11.6,52.5,"1,466.4"
431,881.94,"3,102.9",,962.6,79.63,205.5,10.4,40.9,"1,143.9"
553,30.39,83.3,,38.0,86.09,30.1,1.4,1.5,41.6
566,17.81,47.7,,22.7,86.73,34.3,0.6,0.9,24.7
583,46.36,120.4,,60.6,87.59,32.0,3.3,2.3,65.2
"10,380",75.00,10.9,Upper Marker,164.8,113.00,162.1,2.8,0.0,136.1
"12,794",0.00,0.0,,3.4,115.49,6.5,0.7,0.0,2.7
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,61.19,92.24,"2,768.9",97,374,24.7,"2,284.73","10,073.0",12930121
 
 
Sample Name,CEG56_171_3PC
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,107.2,43.00,154.5,3.5,0.0,247.9
45,53.92,"1,813.2",,22.4,44.57,22.2,1.7,0.8,49.8
55,9.64,263.9,,4.3,45.95,6.0,1.2,0.2,9.2
230,11.72,77.3,,8.7,63.51,11.4,1.3,0.2,13.3
296,"2,720.64","13,908.0",,"2,393.2",69.73,598.9,11.5,56.0,"3,312.4"
455,"1,620.20","5,389.4",,"1,892.8",81.02,368.9,10.0,37.9,"2,240.0"
599,133.59,338.0,,187.6,88.35,65.7,3.0,3.4,203.0
638,59.53,141.4,,83.4,89.54,70.8,3.6,1.5,89.0
"10,380",75.00,10.9,Upper Marker,172.8,113.00,173.4,2.7,0.0,144.9
"12,303",0.00,0.0,,4.8,114.98,8.9,0.6,0.0,3.9
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,62.21,93.26,"5,886.2",98,387,25.9,"4,542.37","19,526.6",12930121
 
 
Sample Name,CEG56_171_4PC
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,84.5,43.00,138.0,3.1,0.0,197.4
45,39.91,"1,346.4",,14.6,44.54,14.8,1.6,0.9,32.9
231,6.03,39.6,,4.0,63.59,6.1,0.9,0.2,6.1
297,"1,990.27","10,160.9",,"1,545.7",69.76,391.8,11.4,57.5,"2,164.8"
453,"1,159.25","3,874.0",,"1,192.1",80.90,238.4,10.3,38.0,"1,431.1"
580,23.41,61.2,,28.2,87.41,33.1,0.9,0.8,31.2
592,75.29,192.7,,92.3,88.01,36.0,4.9,2.6,101.5
"10,380",75.00,10.9,Upper Marker,152.2,113.00,158.2,2.9,0.0,129.4
"12,832",0.00,0.0,,3.0,115.53,6.3,0.6,0.0,2.5
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,61.72,92.50,"3,756.7",98,380,25.2,"3,260.90","14,216.8",12930121
 
 
Sample Name,CEG56_171_5P
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,51.2,43.00,123.9,0.9,0.0,120.9
87,10.47,182.1,,4.8,49.59,11.3,0.7,0.3,9.7
159,12.79,122.0,,7.3,56.80,7.0,1.5,0.3,12.8
288,"1,380.54","7,250.8",,"1,139.7",68.99,218.2,11.1,43.3,"1,632.8"
301,"1,666.87","8,396.5",,"1,418.1",70.13,215.5,11.5,53.0,"1,997.3"
466,55.48,180.4,,62.5,81.60,30.6,2.4,2.0,75.2
519,18.31,53.4,,21.8,84.45,16.8,1.5,0.7,25.3
552,11.08,30.4,,13.9,86.06,11.5,1.4,0.4,15.8
"10,380",75.00,10.9,Upper Marker,165.0,113.00,169.0,4.0,0.0,142.0
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,58.09,93.09,"3,990.6",97,319,22.8,"3,293.02","16,608.0",12930121
 
 
Sample Name,CEG56_171_6P
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,55.2,43.00,133.6,1.0,0.0,130.8
88,17.83,305.6,,7.7,49.74,15.9,1.0,0.5,15.6
158,17.77,169.9,,9.5,56.76,7.0,2.5,0.6,16.8
287,"2,640.20","13,938.7",,"2,043.0",68.85,166.4,26.6,98.9,"2,952.4"
"10,380",75.00,10.9,Upper Marker,155.2,113.00,154.0,2.5,0.0,134.5
"11,910",0.00,0.0,,6.3,114.58,10.9,0.7,0.0,5.4
"12,652",0.00,0.0,,7.9,115.34,8.3,1.1,0.0,6.7
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,58.14,88.34,"2,917.6",96,308,19.3,"2,560.81","13,186.4",12930121
 
