QueryName	ReferenceStart	ReferenceEnd	PrimerPair	Primer1	Primer1Start	Primer2	Primer2Start	IsSecondary	IsSupplementary	Start	End	CorrectlyPaired
8db09f2a-de97-4ebd-80ac-fdd69d356cad	19	405	nCoV-2019_1_LEFT_nCoV-2019_1_RIGHT	nCoV-2019_1_LEFT	11	nCoV-2019_1_RIGHT	5	False	False	30	410	1
7e19f74f-8d51-427d-8345-f3e264bfe09f	19	402	nCoV-2019_1_LEFT_nCoV-2019_1_RIGHT	nCoV-2019_1_LEFT	11	nCoV-2019_1_RIGHT	8	False	False	30	410	1
20f9fdf4-5fd8-43a1-95d6-702c9f85bcc3	19	408	nCoV-2019_1_LEFT_nCoV-2019_1_RIGHT	nCoV-2019_1_LEFT	11	nCoV-2019_1_RIGHT	2	False	False	30	410	1
4b849e15-66ba-4000-ad67-70f6aef47389	19	414	nCoV-2019_1_LEFT_nCoV-2019_1_RIGHT	nCoV-2019_1_LEFT	11	nCoV-2019_1_RIGHT	4	False	False	30	410	1
075a058d-0d1d-4741-a766-2d8ff1a91e8c	19	410	nCoV-2019_1_LEFT_nCoV-2019_1_RIGHT	nCoV-2019_1_LEFT	11	nCoV-2019_1_RIGHT	0	False	False	30	410	1
41e763e0-9273-4ec2-aca5-04d9c5413644	20	410	nCoV-2019_1_LEFT_nCoV-2019_1_RIGHT	nCoV-2019_1_LEFT	10	nCoV-2019_1_RIGHT	0	False	False	30	410	1
9518353b-8dcc-460f-9801-2be35ffc6a19	22	411	nCoV-2019_1_LEFT_nCoV-2019_1_RIGHT	nCoV-2019_1_LEFT	8	nCoV-2019_1_RIGHT	1	False	False	30	410	1
9bd6c9e7-e630-471b-88f5-f0f46e5b3767	23	410	nCoV-2019_1_LEFT_nCoV-2019_1_RIGHT	nCoV-2019_1_LEFT	7	nCoV-2019_1_RIGHT	0	False	False	30	410	1
2912dba0-4acb-4b30-aa79-115c7c6e3c6c	23	413	nCoV-2019_1_LEFT_nCoV-2019_1_RIGHT	nCoV-2019_1_LEFT	7	nCoV-2019_1_RIGHT	3	False	False	30	410	1
80de96c0-f65f-45b6-9962-0646f207ffb2	23	410	nCoV-2019_1_LEFT_nCoV-2019_1_RIGHT	nCoV-2019_1_LEFT	7	nCoV-2019_1_RIGHT	0	False	False	30	410	1
44523a40-9bde-4046-89ef-7ca03a2f3cb3	23	410	nCoV-2019_1_LEFT_nCoV-2019_1_RIGHT	nCoV-2019_1_LEFT	7	nCoV-2019_1_RIGHT	0	False	False	30	410	1
c57294a2-2078-43a5-896d-d83ec0b9fe98	23	410	nCoV-2019_1_LEFT_nCoV-2019_1_RIGHT	nCoV-2019_1_LEFT	7	nCoV-2019_1_RIGHT	0	False	False	30	410	1
317fbf56-b542-4a0f-acf3-e36f025b4101	23	410	nCoV-2019_1_LEFT_nCoV-2019_1_RIGHT	nCoV-2019_1_LEFT	7	nCoV-2019_1_RIGHT	0	False	False	30	410	1
a4cd4659-062a-4dc9-82c2-d61f3ad0d9f6	23	410	nCoV-2019_1_LEFT_nCoV-2019_1_RIGHT	nCoV-2019_1_LEFT	7	nCoV-2019_1_RIGHT	0	False	False	30	410	1
78fb8f49-a575-4539-8fba-8288bb9d9f21	23	410	nCoV-2019_1_LEFT_nCoV-2019_1_RIGHT	nCoV-2019_1_LEFT	7	nCoV-2019_1_RIGHT	0	False	False	30	410	1
67eb7df5-1ecd-42a4-a0b3-2b80badd2aa9	23	410	nCoV-2019_1_LEFT_nCoV-2019_1_RIGHT	nCoV-2019_1_LEFT	7	nCoV-2019_1_RIGHT	0	False	False	30	410	1
a4a7a211-436f-44e0-8827-7cfc8088b69c	23	410	nCoV-2019_1_LEFT_nCoV-2019_1_RIGHT	nCoV-2019_1_LEFT	7	nCoV-2019_1_RIGHT	0	False	False	30	410	1
1b224db2-acce-49b6-be69-959d7168e1af	23	410	nCoV-2019_1_LEFT_nCoV-2019_1_RIGHT	nCoV-2019_1_LEFT	7	nCoV-2019_1_RIGHT	0	False	False	30	410	1
b262bb87-ac45-4d70-9cea-ceef35f15715	23	396	nCoV-2019_1_LEFT_nCoV-2019_1_RIGHT	nCoV-2019_1_LEFT	7	nCoV-2019_1_RIGHT	14	False	False	30	410	1
ba7bb039-336b-41d3-9874-f77f6b9fe9ed	23	410	nCoV-2019_1_LEFT_nCoV-2019_1_RIGHT	nCoV-2019_1_LEFT	7	nCoV-2019_1_RIGHT	0	False	False	30	410	1
b08f18d5-e241-419c-84a7-b8fd2ef62f7b	23	410	nCoV-2019_1_LEFT_nCoV-2019_1_RIGHT	nCoV-2019_1_LEFT	7	nCoV-2019_1_RIGHT	0	False	False	30	410	1
