#Deviation	14.735
#DeviationSub	13.828
#Quality	Match	Sub	Ins	Del	TrueQuality	TrueQualitySub
0	44	0	0	0	60.00	60.00
1	0	0	0	0		
2	258758	354198	3128	903	2.36	2.41
3	10549232	10328848	51774	20503	3.04	3.07
4	19159544	14112904	72388	29036	3.71	3.74
5	20034018	10722782	59464	23459	4.55	4.59
6	20492560	8250524	51356	19799	5.39	5.43
7	21845596	6781762	46254	17904	6.22	6.26
8	22887384	5554360	41838	16264	7.06	7.10
9	25382082	4871252	41802	15925	7.89	7.94
10	26572114	4062748	38026	15106	8.73	8.78
11	29962240	3691948	38242	15245	9.54	9.60
12	30875904	3060100	35686	14635	10.38	10.46
13	34790012	2799932	36986	15208	11.21	11.29
14	38168308	2506294	37116	15586	12.02	12.11
15	42818214	2314006	37956	16572	12.81	12.91
16	46257394	2027372	37476	16560	13.66	13.77
17	50067054	1808820	38532	17246	14.45	14.58
18	55646742	1660026	40174	18361	15.23	15.39
19	60669412	1502580	41144	19515	16.00	16.17
20	67593774	1393100	43804	20954	16.75	16.95
21	70104330	1208990	43790	21260	17.48	17.71
22	84419476	1225892	49168	24296	18.19	18.45
23	87097840	1056778	48378	25054	18.92	19.22
24	95094640	984090	51552	26584	19.57	19.90
25	105458900	936862	54842	29280	20.18	20.56
26	121477542	927190	60720	32342	20.79	21.21
27	122438710	818834	59204	32494	21.32	21.78
28	147870238	867552	69106	38810	21.84	22.34
29	156025998	812552	71586	40453	22.30	22.86
30	171634980	801152	76694	43423	22.73	23.33
31	199988676	851656	86010	49658	23.09	23.73
32	210690416	812466	89760	53276	23.45	24.16
33	238970834	852608	98808	58497	23.76	24.49
34	276586004	928356	110570	67384	24.00	24.76
35	305553894	972856	118180	73108	24.21	24.99
36	383681932	1166692	136124	85055	24.43	25.19
37	622580498	2016896	153400	96941	24.40	24.91
38	1039360968	3024118	231694	162503	24.84	25.38
39	855372480	2328312	243094	166127	24.96	25.67
40	863146188	2302878	261150	179577	24.99	25.75
41	40269752198	91234792	13148546	9564775	25.49	26.46
