#Deviation	14.6051
#BaseNum	Read1_linear	Read1_log	Read1_measured
1	32.549	29.329	19.956
2	32.872	31.405	16.946
3	32.892	31.084	60.000
4	36.255	33.733	60.000
5	36.335	34.759	60.000
6	36.406	33.672	60.000
7	36.389	33.757	60.000
8	36.396	33.704	60.000
9	38.261	34.545	19.956
10	37.527	28.308	16.946
11	38.150	34.705	19.956
12	38.165	34.273	19.956
13	38.178	33.798	19.956
14	39.307	33.453	19.956
15	39.459	34.743	19.956
16	39.540	35.939	19.956
17	39.634	33.525	19.956
18	39.634	34.003	19.956
19	39.655	34.109	19.956
20	39.257	31.898	19.956
21	39.378	33.508	19.956
22	39.423	33.054	19.956
23	39.093	31.543	16.946
24	39.356	32.983	19.956
25	39.396	33.179	19.956
26	39.524	33.340	19.956
27	39.567	33.204	19.956
28	39.470	33.116	19.956
29	39.635	33.298	19.956
30	39.398	32.769	19.956
31	39.418	32.910	19.956
32	39.402	31.340	19.956
33	39.451	32.031	60.000
34	39.516	32.187	60.000
35	39.573	31.657	60.000
36	39.478	32.327	60.000
37	39.528	32.139	60.000
38	39.468	31.769	60.000
39	39.463	32.723	60.000
40	39.311	31.815	60.000
41	38.833	31.364	19.956
42	38.667	31.549	60.000
43	38.615	31.416	60.000
44	38.587	31.469	60.000
45	38.500	30.673	19.956
46	38.449	31.044	60.000
47	38.328	31.072	60.000
48	38.383	31.349	60.000
49	38.379	30.927	60.000
50	38.295	30.932	60.000
51	38.193	30.658	60.000
52	37.912	30.223	60.000
53	37.744	30.034	60.000
54	37.801	30.245	19.956
55	37.687	29.996	60.000
56	37.708	30.455	60.000
57	37.568	29.623	60.000
58	37.669	29.900	19.956
59	37.662	30.030	60.000
60	37.226	29.108	19.956
61	37.316	29.550	60.000
62	37.211	29.165	60.000
63	37.020	28.518	19.956
64	36.626	29.265	19.956
65	36.494	28.245	60.000
66	36.437	28.992	60.000
67	36.141	28.129	60.000
68	36.063	28.364	60.000
69	35.750	28.238	60.000
70	35.362	28.551	60.000
71	35.124	28.059	60.000
72	34.881	27.222	60.000
73	34.591	25.914	19.956
74	34.560	25.795	60.000
75	34.489	26.115	19.956
76	32.229	24.601	19.956
77	33.548	25.532	60.000
78	34.116	24.787	60.000
79	34.055	22.799	16.946
80	33.714	20.289	15.185
81	33.410	18.543	19.956
82	33.072	17.096	16.946
83	32.641	15.679	12.967
84	31.963	14.754	12.967
85	31.722	14.291	12.967
86	31.653	13.725	12.967
87	31.411	13.268	12.967
88	31.067	12.545	12.175
89	30.239	11.908	10.925
90	29.980	11.483	12.175
91	28.994	10.950	12.175
92	29.092	10.753	12.175
93	28.981	10.542	16.946
94	28.563	10.351	12.175
95	28.580	10.205	12.175
96	27.787	9.984	11.505
97	28.045	9.980	10.925
98	27.909	9.873	12.175
99	28.078	9.796	10.414
100	28.226	9.680	3.144
101	28.186	9.545	0.462
102	27.917	9.410	0.366
103	27.427	9.094	0.414
104	27.218	8.907	3.054
105	27.025	8.763	9.542
106	26.660	8.557	9.956
107	25.895	8.160	3.144
108	25.437	7.936	3.235
109	24.419	7.628	9.542
110	23.841	7.325	12.175
111	23.155	6.938	3.522
112	21.437	6.240	3.522
113	20.798	6.010	8.495
114	19.749	5.653	3.424
115	18.040	5.140	0.512
116	17.373	4.939	0.366
117	15.923	4.592	0.272
118	14.846	4.378	0.318
119	13.543	4.071	0.366
120	12.991	3.941	0.318
121	12.743	3.888	0.414
122	12.381	3.831	0.462
123	12.208	3.777	0.414
124	11.849	3.706	0.512
125	10.553	3.636	0.512
