#File	/data/sdb1/Lenti_sequencing/RNASEQ-LV001/runs/mRNA/CTL019_OXBLV4_mRNA/pretrim/mRNA_OXBv19_S19_1.fastq.gz	/data/sdb1/Lenti_sequencing/RNASEQ-LV001/runs/mRNA/CTL019_OXBLV4_mRNA/pretrim/mRNA_OXBv19_S19_2.fastq.gz
#Total	50541602	7581240300
#Matched	20143179	39.85465%
#Name	Reads	ReadsPct	Bases	BasesPct
Reverse_adapter	8214013	16.25198%	1232101950	16.25198%
pcr_dimer	4442327	8.78945%	666349050	8.78945%
PCR_Primers	3374847	6.67736%	506227050	6.67736%
TruSeq_Adapter_Index_1_6	2674887	5.29245%	401233050	5.29245%
Nextera_LMP_Read2_External_Adapter	1153135	2.28156%	172970250	2.28156%
TruSeq_Universal_Adapter	240160	0.47517%	36024000	0.47517%
TruSeq_Adapter_Index_9	7806	0.01544%	1170900	0.01544%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]504	7393	0.01463%	1108950	0.01463%
TruSeq_Adapter_Index_10	4818	0.00953%	722700	0.00953%
TruSeq_Adapter_Index_6	4517	0.00894%	677550	0.00894%
Illumina Small RNA v1.5 3p Adapter	4291	0.00849%	643650	0.00849%
Bisulfite_R1	2942	0.00582%	441300	0.00582%
Bisulfite_R2	2739	0.00542%	410850	0.00542%
Nextera_LMP_Read1_External_Adapter	1986	0.00393%	297900	0.00393%
I7_Nextera_Transposase_2	1495	0.00296%	224250	0.00296%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]505	763	0.00151%	114450	0.00151%
PhiX_read2_adapter	745	0.00147%	111750	0.00147%
PhiX_read1_adapter	644	0.00127%	96600	0.00127%
I5_Nextera_Transposase_1	426	0.00084%	63900	0.00084%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]501	337	0.00067%	50550	0.00067%
I5_Primer_Nextera_XT_Index_Kit_v2_S510	325	0.00064%	48750	0.00064%
