# bamsormadup

##METRICS
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
example	1405	537832	1499	938	44447	68	0.0834041	3076351

## HISTOGRAM
BIN	VALUE
1	1.00012
2	1.83981
3	2.54483
4	3.13676
5	3.63374
6	4.05101
7	4.40135
8	4.6955
9	4.94246
10	5.14981
11	5.32391
12	5.47008
13	5.5928
14	5.69584
15	5.78235
16	5.85499
17	5.91597
18	5.96717
19	6.01016
20	6.04626
21	6.07656
22	6.10201
23	6.12337
24	6.14131
25	6.15637
26	6.16901
27	6.17963
28	6.18854
29	6.19602
30	6.2023
31	6.20758
32	6.21201
33	6.21573
34	6.21885
35	6.22147
36	6.22367
37	6.22552
38	6.22707
39	6.22837
40	6.22947
41	6.23039
42	6.23116
43	6.23181
44	6.23235
45	6.23281
46	6.23319
47	6.23351
48	6.23378
49	6.23401
50	6.2342
51	6.23436
52	6.23449
53	6.2346
54	6.2347
55	6.23478
56	6.23484
57	6.2349
58	6.23495
59	6.23499
60	6.23502
61	6.23505
62	6.23507
63	6.23509
64	6.23511
65	6.23512
66	6.23513
67	6.23514
68	6.23515
69	6.23516
70	6.23516
71	6.23517
72	6.23517
73	6.23518
74	6.23518
75	6.23518
76	6.23518
77	6.23518
78	6.23519
79	6.23519
80	6.23519
81	6.23519
82	6.23519
83	6.23519
84	6.23519
85	6.23519
86	6.23519
87	6.23519
88	6.23519
89	6.23519
90	6.23519
91	6.23519
92	6.23519
93	6.23519
94	6.23519
95	6.23519
96	6.23519
97	6.23519
98	6.23519
99	6.23519
100	6.23519
