BISCUITqc CpG Retention by Read Position Table
ReadInPair	Position	Conversion/Retention	Count
1	0	C	18398
1	0	R	82980
1	1	C	34963
1	1	R	168378
1	2	C	36226
1	2	R	168072
1	3	C	38314
1	3	R	164513
1	4	C	37666
1	4	R	166769
1	5	C	38882
1	5	R	172259
1	6	C	38530
1	6	R	168283
1	7	C	37786
1	7	R	163460
1	8	C	38095
1	8	R	164093
1	9	C	38587
1	9	R	164461
1	10	C	38729
1	10	R	165833
1	11	C	38621
1	11	R	165724
1	12	C	38414
1	12	R	166105
1	13	C	38479
1	13	R	166966
1	14	C	38944
1	14	R	165671
1	15	C	38904
1	15	R	166971
1	16	C	38944
1	16	R	169213
1	17	C	38920
1	17	R	167732
1	18	C	38835
1	18	R	166815
1	19	C	39046
1	19	R	168418
1	20	C	39187
1	20	R	168820
1	21	C	39192
1	21	R	170019
1	22	C	39348
1	22	R	171269
1	23	C	40157
1	23	R	172302
1	24	C	39875
1	24	R	173977
1	25	C	40033
1	25	R	172731
1	26	C	39655
1	26	R	171917
1	27	C	39559
1	27	R	169195
1	28	C	39417
1	28	R	167851
1	29	C	39780
1	29	R	170922
1	30	C	40304
1	30	R	172455
1	31	C	39810
1	31	R	173690
1	32	C	40179
1	32	R	173831
1	33	C	39945
1	33	R	171764
1	34	C	39788
1	34	R	171367
1	35	C	39567
1	35	R	171928
1	36	C	39962
1	36	R	172252
1	37	C	39449
1	37	R	169017
1	38	C	39768
1	38	R	168992
1	39	C	39949
1	39	R	172538
1	40	C	39786
1	40	R	171922
1	41	C	39986
1	41	R	170362
1	42	C	40028
1	42	R	169427
1	43	C	39393
1	43	R	169453
1	44	C	39544
1	44	R	169380
1	45	C	39498
1	45	R	170356
1	46	C	39427
1	46	R	170090
1	47	C	39385
1	47	R	169062
1	48	C	39199
1	48	R	167823
1	49	C	38607
1	49	R	165598
1	50	C	32442
1	50	R	139717
1	51	C	26591
1	51	R	115450
1	52	C	26737
1	52	R	115532
1	53	C	26715
1	53	R	115133
1	54	C	26580
1	54	R	115738
1	55	C	26818
1	55	R	116629
1	56	C	26518
1	56	R	116439
1	57	C	26530
1	57	R	114965
1	58	C	27055
1	58	R	116230
1	59	C	26674
1	59	R	115501
1	60	C	26592
1	60	R	115294
1	61	C	26590
1	61	R	115294
1	62	C	26819
1	62	R	115466
1	63	C	26702
1	63	R	115849
1	64	C	26410
1	64	R	114197
1	65	C	26361
1	65	R	112826
1	66	C	26164
1	66	R	112784
1	67	C	26083
1	67	R	113161
1	68	C	26221
1	68	R	113229
1	69	C	26191
1	69	R	112708
1	70	C	25956
1	70	R	113105
1	71	C	25990
1	71	R	113118
1	72	C	25691
1	72	R	112166
1	73	C	25609
1	73	R	111260
1	74	C	25383
1	74	R	109912
1	75	C	20729
1	75	R	89449
1	76	C	15304
1	76	R	67941
1	77	C	15375
1	77	R	68012
1	78	C	15276
1	78	R	67592
1	79	C	15202
1	79	R	67688
1	80	C	15448
1	80	R	67826
1	81	C	15304
1	81	R	67859
1	82	C	15075
1	82	R	67389
1	83	C	15181
1	83	R	66959
1	84	C	15224
1	84	R	66785
1	85	C	15190
1	85	R	66529
1	86	C	15358
1	86	R	66650
1	87	C	15077
1	87	R	66152
1	88	C	14986
1	88	R	66257
1	89	C	15029
1	89	R	65686
1	90	C	15090
1	90	R	64738
1	91	C	14625
1	91	R	64782
1	92	C	14590
1	92	R	63848
1	93	C	14303
1	93	R	63344
1	94	C	14324
1	94	R	62785
1	95	C	14149
1	95	R	61867
1	96	C	13985
1	96	R	60229
1	97	C	13595
1	97	R	58299
1	98	C	13162
1	98	R	56678
1	99	C	13079
1	99	R	54415
1	100	C	8325
1	100	R	34378
1	101	C	1866
1	101	R	7515
2	0	C	183216
2	0	R	3475
2	1	C	248391
2	1	R	40534
2	2	C	87732
2	2	R	103029
2	3	C	44034
2	3	R	136961
2	4	C	43816
2	4	R	146731
2	5	C	41345
2	5	R	154990
2	6	C	41616
2	6	R	161897
2	7	C	41753
2	7	R	159304
2	8	C	39971
2	8	R	153134
2	9	C	41380
2	9	R	154926
2	10	C	41160
2	10	R	156118
2	11	C	40620
2	11	R	155135
2	12	C	40018
2	12	R	153074
2	13	C	39919
2	13	R	152595
