BISCUITqc CpH Retention by Read Position Table
ReadInPair	Position	Conversion/Retention	Count
1	0	C	2101082
1	0	R	38525
1	1	C	4293469
1	1	R	63709
1	2	C	4403974
1	2	R	45778
1	3	C	4435103
1	3	R	38191
1	4	C	4473633
1	4	R	33954
1	5	C	4579192
1	5	R	32418
1	6	C	4600303
1	6	R	32219
1	7	C	4605404
1	7	R	31620
1	8	C	4562594
1	8	R	31209
1	9	C	4551654
1	9	R	31508
1	10	C	4644602
1	10	R	31203
1	11	C	4635925
1	11	R	31621
1	12	C	4629004
1	12	R	30717
1	13	C	4624366
1	13	R	30377
1	14	C	4626835
1	14	R	30686
1	15	C	4621916
1	15	R	30847
1	16	C	4626133
1	16	R	30384
1	17	C	4645323
1	17	R	30290
1	18	C	4659788
1	18	R	30495
1	19	C	4668388
1	19	R	30466
1	20	C	4663912
1	20	R	30542
1	21	C	4679088
1	21	R	30611
1	22	C	4688697
1	22	R	30457
1	23	C	4694719
1	23	R	30609
1	24	C	4692171
1	24	R	30748
1	25	C	4682192
1	25	R	30944
1	26	C	4686198
1	26	R	30735
1	27	C	4659577
1	27	R	30689
1	28	C	4652421
1	28	R	30695
1	29	C	4685456
1	29	R	30467
1	30	C	4685334
1	30	R	30323
1	31	C	4683426
1	31	R	30536
1	32	C	4685368
1	32	R	30610
1	33	C	4681461
1	33	R	30576
1	34	C	4678051
1	34	R	31161
1	35	C	4672619
1	35	R	30647
1	36	C	4672186
1	36	R	30468
1	37	C	4587168
1	37	R	36098
1	38	C	4585869
1	38	R	36423
1	39	C	4663013
1	39	R	30288
1	40	C	4657013
1	40	R	30670
1	41	C	4656834
1	41	R	30539
1	42	C	4658674
1	42	R	30061
1	43	C	4633111
1	43	R	29924
1	44	C	4634832
1	44	R	30380
1	45	C	4644977
1	45	R	30224
1	46	C	4640589
1	46	R	30347
1	47	C	4640216
1	47	R	30223
1	48	C	4623584
1	48	R	30004
1	49	C	4575951
1	49	R	29798
1	50	C	3857539
1	50	R	25191
1	51	C	3162504
1	51	R	20435
1	52	C	3157439
1	52	R	20765
1	53	C	3147066
1	53	R	20499
1	54	C	3145205
1	54	R	20288
1	55	C	3159668
1	55	R	20450
1	56	C	3152577
1	56	R	21573
1	57	C	3147237
1	57	R	21262
1	58	C	3152600
1	58	R	20909
1	59	C	3152960
1	59	R	20956
1	60	C	3152642
1	60	R	20893
1	61	C	3149420
1	61	R	20573
1	62	C	3151843
1	62	R	20662
1	63	C	3144457
1	63	R	20564
1	64	C	3139844
1	64	R	20523
1	65	C	3136110
1	65	R	20548
1	66	C	3132367
1	66	R	20685
1	67	C	3131960
1	67	R	20548
1	68	C	3128613
1	68	R	20364
1	69	C	3118633
1	69	R	20238
1	70	C	3105374
1	70	R	20278
1	71	C	3099490
1	71	R	20095
1	72	C	3087487
1	72	R	19847
1	73	C	3068611
1	73	R	19656
1	74	C	3051763
1	74	R	19403
1	75	C	2407707
1	75	R	16732
1	76	C	1768524
1	76	R	12827
1	77	C	1770806
