BISCUITqc Depth Distribution - Q40 Top GC Bases
depth	count
0	162242677
1	87311781
2	32061048
3	9245264
4	2256858
5	492877
6	103702
7	22861
8	6319
9	2687
10	1628
11	1141
12	793
13	815
14	676
15	423
16	373
17	358
18	257
19	191
20	219
21	174
22	195
23	153
24	117
25	122
26	122
27	160
28	119
29	121
30	114
31	108
32	88
33	66
34	70
35	60
36	107
37	60
38	42
39	41
40	35
41	44
42	51
43	67
44	70
45	72
46	38
47	55
48	48
49	35
50	52
51	29
52	14
53	25
54	24
55	8
56	5
57	6
58	9
59	10
60	7
61	7
62	20
63	9
64	18
65	14
66	12
67	9
68	8
69	11
70	12
71	13
72	16
73	17
74	18
75	50
76	11
77	14
78	6
79	12
80	8
81	8
82	7
83	7
84	15
85	6
86	9
87	10
88	9
89	7
90	5
91	9
92	4
93	4
94	5
95	4
96	7
97	1
98	2
99	8
100	6
101	7
102	5
103	5
104	4
105	3
106	1
107	3
108	5
109	2
110	2
111	5
112	4
113	1
114	2
115	2
116	4
117	6
118	6
119	9
120	3
121	3
122	15
123	8
124	8
125	12
126	8
127	15
128	8
129	3
131	2
132	3
133	5
134	1
135	4
136	3
137	9
138	6
139	11
140	4
141	3
142	5
143	2
144	4
145	5
146	4
147	4
148	4
149	9
150	12
151	7
152	6
153	4
154	7
155	5
156	6
157	7
158	6
159	4
160	5
161	6
162	3
163	1
164	1
165	3
166	3
167	2
168	2
169	1
170	2
171	2
172	4
173	2
174	3
175	7
176	4
177	12
178	16
179	8
180	12
181	11
182	19
183	16
184	16
185	19
186	11
187	15
188	7
189	12
190	9
191	11
192	12
193	5
194	8
195	9
196	10
197	9
198	10
199	8
200	6
201	10
202	7
203	4
204	6
205	2
207	1
208	2
209	2
210	5
211	3
213	1
214	2
215	1
217	1
219	1
220	2
221	2
222	2
223	2
225	1
226	1
