BISCUITqc Mapping Quality Table
MapQ	Count
unmapped	794210
0	6196191
1	119195
2	85283
3	113228
4	93275
5	77616
6	125231
7	95039
8	73649
9	90324
10	95042
11	76303
12	143281
13	176357
14	34952
15	344246
16	38352
17	29013
18	74613
19	40476
20	25530
21	57924
22	32325
23	29161
24	47592
25	40124
26	28954
27	57501
28	40026
29	33938
30	250094
31	96605
32	25172
33	191698
34	20705
35	31090
36	38648
37	30339
38	29515
39	58880
40	2519185
41	133681
42	133857
43	152191
44	147016
45	170489
46	158943
47	111460
48	125854
49	104792
50	120665
51	139408
52	214043
53	102644
54	187737
55	128181
56	91611
57	106818
58	139227
59	40692
60	51506597
