BISCUITqc CpG Retention by Read Position Table
ReadInPair	Position	Conversion/Retention	Count
1	0	C	20193
1	0	R	13887
1	1	C	43665
1	1	R	26802
1	2	C	47327
1	2	R	27588
1	3	C	48570
1	3	R	29856
1	4	C	53323
1	4	R	30748
1	5	C	59093
1	5	R	39483
1	6	C	54747
1	6	R	39439
1	7	C	62087
1	7	R	35128
1	8	C	70989
1	8	R	55105
1	9	C	67917
1	9	R	58700
1	10	C	62527
1	10	R	40133
1	11	C	55477
1	11	R	37082
1	12	C	54282
1	12	R	41166
1	13	C	63865
1	13	R	46888
1	14	C	63228
1	14	R	53581
1	15	C	53874
1	15	R	83019
1	16	C	53903
1	16	R	82991
1	17	C	53563
1	17	R	62895
1	18	C	54552
1	18	R	80302
1	19	C	54358
1	19	R	75113
1	20	C	55574
1	20	R	47536
1	21	C	55376
1	21	R	43174
1	22	C	55896
1	22	R	41415
1	23	C	54167
1	23	R	41222
1	24	C	54894
1	24	R	41949
1	25	C	56585
1	25	R	47173
1	26	C	57234
1	26	R	54131
1	27	C	54972
1	27	R	52631
1	28	C	53745
1	28	R	43675
1	29	C	54121
1	29	R	41327
1	30	C	54465
1	30	R	41327
1	31	C	54290
1	31	R	41391
1	32	C	54145
1	32	R	43945
1	33	C	54360
1	33	R	41786
1	34	C	55496
1	34	R	41029
1	35	C	54872
1	35	R	41238
1	36	C	54422
1	36	R	41935
1	37	C	54103
1	37	R	43016
1	38	C	55144
1	38	R	43034
1	39	C	54685
1	39	R	42165
1	40	C	54238
1	40	R	41299
1	41	C	55122
1	41	R	41186
1	42	C	54047
1	42	R	40959
1	43	C	54574
1	43	R	40912
1	44	C	55244
1	44	R	41804
1	45	C	54918
1	45	R	41545
1	46	C	54590
1	46	R	42450
1	47	C	54224
1	47	R	41816
1	48	C	54056
1	48	R	40763
1	49	C	54591
1	49	R	40675
1	50	C	54193
1	50	R	40013
1	51	C	54502
1	51	R	38637
1	52	C	54688
1	52	R	38730
1	53	C	54289
1	53	R	39210
1	54	C	54207
1	54	R	39501
1	55	C	53583
1	55	R	39191
1	56	C	54458
1	56	R	39131
1	57	C	53762
1	57	R	39245
1	58	C	53975
1	58	R	39455
1	59	C	53330
1	59	R	38504
1	60	C	52912
1	60	R	38535
1	61	C	52930
1	61	R	37960
1	62	C	52992
1	62	R	38168
1	63	C	53453
1	63	R	38419
1	64	C	53103
1	64	R	38431
1	65	C	52656
1	65	R	38111
1	66	C	52312
1	66	R	37577
1	67	C	51812
1	67	R	38182
1	68	C	52094
1	68	R	38351
1	69	C	51135
1	69	R	38342
1	70	C	51496
1	70	R	38124
1	71	C	51103
1	71	R	37333
1	72	C	50639
1	72	R	37188
1	73	C	50785
1	73	R	37472
1	74	C	50713
1	74	R	37098
1	75	C	50902
1	75	R	36833
1	76	C	50282
1	76	R	37207
1	77	C	50227
1	77	R	36751
1	78	C	49445
1	78	R	36645
1	79	C	49337
1	79	R	36652
1	80	C	48398
1	80	R	36135
1	81	C	49257
1	81	R	36040
1	82	C	49686
1	82	R	35754
1	83	C	48689
1	83	R	35363
1	84	C	48374
1	84	R	34157
1	85	C	48537
1	85	R	34319
1	86	C	47892
1	86	R	33871
1	87	C	47920
1	87	R	33420
1	88	C	47181
1	88	R	32458
1	89	C	47073
1	89	R	32193
1	90	C	46993
1	90	R	31333
1	91	C	46755
1	91	R	31204
1	92	C	46551
1	92	R	31164
1	93	C	46902
1	93	R	30633
1	94	C	46554
1	94	R	30031
1	95	C	46110
1	95	R	30108
1	96	C	46077
1	96	R	29961
1	97	C	45252
1	97	R	29259
1	98	C	45175
1	98	R	28850
1	99	C	44752
1	99	R	27722
1	100	C	22359
1	100	R	13319
2	0	C	17775
2	0	R	11362
2	1	C	38992
2	1	R	24875
2	2	C	43937
2	2	R	27035
2	3	C	48118
2	3	R	27542
2	4	C	53064
2	4	R	29565
2	5	C	55444
2	5	R	33814
2	6	C	61809
2	6	R	41267
2	7	C	61408
2	7	R	41626
2	8	C	58613
2	8	R	50211
2	9	C	75036
2	9	R	59180
2	10	C	74956
2	10	R	49690
2	11	C	58561
2	11	R	46473
2	12	C	56693
2	12	R	49628
2	13	C	57822
2	13	R	53437
2	14	C	56609
2	14	R	56029
2	15	C	54790
2	15	R	63264
2	16	C	54513
2	16	R	65952
2	17	C	54599
2	17	R	61928
2	18	C	55087
2	18	R	61482
2	19	C	55453
2	19	R	56534
2	20	C	54551
2	20	R	48939
2	21	C	55229
2	21	R	46625
2	22	C	55729
2	22	R	44915
2	23	C	55249
2	23	R	44472
2	24	C	53868
2	24	R	45428
2	25	C	54792
2	25	R	46814
2	26	C	54237
2	26	R	47154
2	27	C	54615
2	27	R	46166
2	28	C	54808
2	28	R	43244
2	29	C	54033
2	29	R	41417
2	30	C	54783
2	30	R	40695
2	31	C	54714
2	31	R	40740
2	32	C	54933
2	32	R	41079
2	33	C	54851
2	33	R	41578
2	34	C	55348
2	34	R	41575
2	35	C	55053
2	35	R	41586
2	36	C	54764
2	36	R	41658
2	37	C	54813
2	37	R	41455
2	38	C	55004
2	38	R	42182
2	39	C	55072
2	39	R	41373
2	40	C	54839
2	40	R	41403
2	41	C	55278
2	41	R	41579
2	42	C	54641
2	42	R	41106
2	43	C	54901
2	43	R	40851
2	44	C	54504
2	44	R	41497
2	45	C	54422
2	45	R	41164
2	46	C	54568
2	46	R	40896
2	47	C	54273
2	47	R	41056
2	48	C	53635
2	48	R	40336
2	49	C	54149
2	49	R	40863
2	50	C	54295
2	50	R	40375
2	51	C	54417
2	51	R	39842
2	52	C	54194
2	52	R	39447
2	53	C	53893
2	53	R	39390
2	54	C	54156
2	54	R	39528
2	55	C	54110
2	55	R	39311
2	56	C	53538
2	56	R	39565
2	57	C	53105
2	57	R	39507
2	58	C	53469
2	58	R	39331
2	59	C	53355
2	59	R	38549
2	60	C	53133
2	60	R	38808
2	61	C	53691
2	61	R	38669
2	62	C	52954
2	62	R	38293
2	63	C	53231
2	63	R	38285
2	64	C	52724
2	64	R	38314
2	65	C	52304
2	65	R	38050
2	66	C	52843
2	66	R	40552
2	67	C	51677
2	67	R	40931
2	68	C	52000
2	68	R	41139
2	69	C	51433
2	69	R	41359
2	70	C	51671
2	70	R	42888
2	71	C	51377
2	71	R	42058
2	72	C	50868
2	72	R	37765
2	73	C	50181
2	73	R	37657
2	74	C	50474
2	74	R	37676
2	75	C	50296
2	75	R	37425
2	76	C	49766
2	76	R	37192
2	77	C	49978
2	77	R	37160
2	78	C	49533
2	78	R	36880
2	79	C	49280
2	79	R	36726
2	80	C	48821
2	80	R	36743
2	81	C	48968
2	81	R	35942
2	82	C	49044
2	82	R	36297
2	83	C	48596
2	83	R	35698
2	84	C	48443
2	84	R	34554
2	85	C	48108
2	85	R	34616
2	86	C	47661
2	86	R	33831
2	87	C	47764
2	87	R	33459
2	88	C	47249
2	88	R	32950
2	89	C	47638
2	89	R	32549
2	90	C	47264
2	90	R	31955
2	91	C	46476
2	91	R	31474
2	92	C	47038
2	92	R	31328
2	93	C	46460
2	93	R	31110
2	94	C	46014
2	94	R	30944
2	95	C	45911
2	95	R	30311
2	96	C	46341
2	96	R	30476
2	97	C	46275
2	97	R	29495
2	98	C	46009
2	98	R	29323
2	99	C	45481
2	99	R	28596
2	100	C	22709
2	100	R	14211
