BISCUITqc CpG Depth Distribution (Q40)
depth	count
0	16368516
1	1921750
2	1381998
3	674754
4	480589
5	280034
6	203843
7	131839
8	99414
9	68089
10	52864
11	37931
12	30612
13	22982
14	18627
15	14273
16	12132
17	9319
18	8314
19	6197
20	5630
21	4184
22	3949
23	3027
24	2881
25	2001
26	1969
27	1384
28	1596
29	1083
30	1057
31	780
32	896
33	656
34	698
35	471
36	589
37	369
38	464
39	327
40	409
41	249
42	319
43	244
44	292
45	169
46	245
47	172
48	214
49	131
50	205
51	125
52	177
53	111
54	145
55	93
56	150
57	93
58	109
59	91
60	125
61	75
62	98
63	60
64	111
65	48
66	104
67	65
68	89
69	45
70	97
71	43
72	79
73	53
74	65
75	36
76	72
77	31
78	67
79	47
80	63
81	28
82	59
83	26
84	84
85	35
86	53
87	48
88	42
89	37
90	45
91	30
92	40
93	28
94	56
95	25
96	40
97	34
98	47
99	25
100	34
101	25
102	42
103	32
104	33
105	22
106	28
107	19
108	43
109	28
110	32
111	15
112	22
113	15
114	30
115	16
116	20
117	13
118	17
119	18
120	37
121	18
122	15
123	13
124	24
125	27
126	23
127	16
128	27
129	18
130	20
131	18
132	18
133	16
134	26
135	16
136	24
137	12
138	17
139	17
140	28
141	17
142	28
143	9
144	16
145	12
146	18
147	10
148	20
149	11
150	13
151	12
152	10
153	16
154	19
155	10
156	17
157	11
158	24
159	7
160	14
161	8
162	10
163	10
164	9
165	9
166	17
167	12
168	13
169	9
170	17
171	7
172	18
173	8
174	20
175	13
176	15
177	12
178	15
179	9
180	8
181	13
182	9
183	12
184	12
185	14
186	6
187	5
188	13
189	12
190	19
191	5
192	8
193	6
194	10
195	15
196	8
197	12
198	8
199	4
200	6
201	10
202	15
203	7
204	16
205	11
206	13
207	8
208	10
209	5
210	9
211	6
212	8
213	9
214	15
215	6
216	7
217	2
218	22
219	3
220	16
221	8
222	12
223	6
224	9
225	7
226	23
227	1
228	2
229	7
230	14
231	12
232	10
233	6
234	2
235	7
236	14
237	2
238	7
239	6
240	8
241	6
242	9
243	11
244	11
245	6
246	6
247	5
248	9
249	8
250	4
251	5
252	9
253	5
254	8
255	9
256	4
257	3
258	8
259	5
260	8
261	4
262	4
263	5
264	7
265	6
266	9
267	4
268	8
269	5
270	7
272	7
273	5
274	11
275	5
276	10
277	4
278	5
279	1
280	10
281	9
282	8
283	5
284	6
285	3
286	11
287	5
288	3
289	3
290	9
291	3
292	3
293	3
294	9
295	3
296	6
297	4
298	6
300	8
301	3
302	3
303	3
304	3
305	2
306	4
307	5
308	5
309	3
310	7
312	5
313	2
314	5
315	5
316	3
317	6
318	4
319	8
320	5
321	1
322	4
323	3
324	5
325	2
326	11
327	4
328	3
330	6
331	7
332	5
333	2
334	4
335	3
336	7
337	2
338	3
339	5
340	7
341	3
342	6
343	2
344	6
345	4
346	3
347	5
348	6
349	4
350	4
351	1
352	3
353	4
354	8
355	1
356	5
357	4
358	5
359	5
360	3
361	3
362	1
363	4
364	4
365	1
366	2
367	6
368	2
369	3
370	1
371	5
372	9
373	2
374	3
375	2
376	1
377	7
378	4
379	5
380	6
381	4
382	4
383	4
384	1
385	5
386	2
387	6
388	4
389	5
390	2
391	5
392	5
393	4
394	4
396	5
397	2
398	6
399	3
400	5
401	4
402	1
403	6
404	5
405	2
406	3
407	1
408	6
409	4
410	5
411	3
412	2
413	4
414	4
415	2
416	6
417	2
418	4
419	2
420	3
421	5
422	7
423	2
424	4
426	3
427	1
428	2
429	1
432	2
433	1
434	7
435	2
437	3
438	2
439	3
440	8
441	4
442	3
443	2
444	6
445	3
446	3
447	3
448	5
449	1
450	3
451	1
452	5
453	5
454	5
455	1
456	1
457	2
458	1
459	5
460	3
462	7
463	3
464	1
465	1
466	8
467	1
468	3
470	4
471	3
472	5
473	1
474	1
475	1
476	5
479	3
480	6
481	4
482	6
483	1
484	2
485	2
486	1
487	2
488	3
489	5
490	3
491	3
492	4
493	1
494	5
495	1
496	1
497	5
498	3
499	1
500	2
501	3
502	3
503	2
504	7
505	3
506	3
507	6
508	2
509	4
510	2
511	1
512	2
513	4
515	1
516	2
518	5
519	3
520	1
521	2
522	2
523	3
524	3
525	3
526	4
527	4
528	3
529	2
530	2
531	3
532	6
534	3
535	1
536	1
537	1
538	1
541	4
544	1
545	3
546	1
547	2
548	1
549	2
550	5
551	1
552	2
553	1
555	4
556	3
558	6
559	1
560	4
561	2
562	6
564	1
566	3
567	5
568	1
569	1
571	1
574	3
575	4
576	2
577	1
579	2
581	1
582	4
583	1
584	1
586	3
587	1
588	1
589	1
590	1
591	2
592	3
594	2
595	3
596	2
597	2
598	3
599	1
600	1
603	1
604	1
605	1
606	4
608	3
609	1
610	2
611	1
614	3
617	1
621	1
624	1
625	1
629	1
630	1
632	1
633	3
634	1
636	1
638	5
639	1
640	1
643	2
644	2
646	2
647	3
648	2
649	1
655	2
656	1
661	1
662	2
663	1
667	1
671	1
673	2
674	1
676	2
677	1
682	1
688	2
694	1
699	1
702	1
703	1
706	1
710	2
712	1
713	1
714	1
719	1
721	2
724	1
725	1
726	1
727	1
728	2
730	3
731	2
733	1
735	1
736	2
738	1
740	2
741	1
742	1
745	1
747	1
751	1
752	1
754	1
755	2
756	1
758	2
759	1
760	2
761	1
762	1
764	3
765	1
768	1
769	2
770	1
772	1
777	1
785	2
786	2
788	1
792	2
794	1
795	2
796	2
802	2
804	1
809	1
810	1
811	1
816	1
818	1
819	1
823	1
824	1
825	1
826	1
827	1
836	2
844	1
845	2
846	1
848	4
855	2
861	1
872	1
878	1
894	1
898	1
906	2
909	1
911	1
914	1
922	1
924	1
932	1
943	1
953	2
958	1
959	1
971	2
974	1
978	1
981	2
982	1
985	1
988	2
995	2
998	1
1000	2
1002	1
1006	1
1019	2
1023	2
1035	1
1037	2
1039	2
1040	1
1044	1
1046	1
1048	1
1057	1
1058	1
1060	2
1064	1
1066	1
1075	1
1077	1
1079	1
1082	1
1091	1
1119	1
1122	1
1124	1
1126	1
1134	1
1137	1
1140	1
1143	1
1148	1
1151	1
1163	1
1164	1
1167	1
1168	2
1178	1
1179	1
1182	1
1186	1
1187	1
1188	1
1190	2
1194	1
1196	2
1200	2
1202	3
1206	1
1210	1
1212	2
1223	2
1224	1
1228	1
1229	1
1234	1
1239	1
1244	1
1252	1
1256	1
1259	1
1272	3
1277	4
1282	1
1285	2
1305	1
1321	1
1329	1
1372	2
1374	1
1409	1
1413	1
1426	1
1433	3
1441	1
1475	1
1487	1
1498	1
1499	2
1505	2
1515	2
1516	1
1517	1
1520	1
1528	1
1529	2
1532	3
1543	2
1545	1
1557	1
1604	1
1628	1
1640	2
1656	2
1657	1
1666	1
1668	1
1673	3
1676	2
1693	1
1789	1
1795	1
1796	2
1799	1
1814	2
1817	1
1820	1
1821	1
1842	1
1861	2
1887	2
1902	1
1912	2
1918	1
1921	1
1956	3
1960	3
1967	2
1998	1
2019	1
2025	1
2029	1
2046	1
2051	2
2089	1
2108	1
2156	2
2159	1
2164	8
2230	1
2250	1
2284	1
2285	1
2286	1
2289	1
2293	1
2301	1
2302	1
2309	1
2312	2
2351	1
2352	2
2363	1
2405	1
2411	1
2414	1
2433	1
2474	3
2514	1
2548	1
2562	1
2642	1
2649	1
2707	1
2792	1
2793	1
2835	1
2844	1
2864	1
2872	2
3041	2
3110	2
3184	1
3247	1
3335	1
3348	2
3672	2
3911	1
4094	1
4352	1
4469	1
4575	1
4590	1
4591	1
4629	1
4631	1
4650	1
4654	2
4655	1
4696	1
4723	1
4800	1
4976	1
4983	1
5904	1
5977	1
6429	1
6774	1
6777	1
7274	1
7405	1
7443	1
7524	2
7640	2
7837	1
8526	1
8716	1
8738	1
8764	2
8832	2
10823	1
12473	2
13158	1
13162	2
20574	1
20576	1
21121	1
32998	1
34226	1
68404	2
