BISCUITqc CpG Depth Distribution (high GC, Q40)
depth	count
0	3714567
1	569500
2	483681
3	273137
4	216264
5	143279
6	112526
7	79941
8	63700
9	46626
10	37777
11	28518
12	23594
13	18614
14	15166
15	12028
16	10205
17	8178
18	7229
19	5620
20	4932
21	3789
22	3439
23	2789
24	2529
25	1854
26	1695
27	1278
28	1363
29	984
30	876
31	713
32	727
33	580
34	581
35	423
36	480
37	326
38	386
39	268
40	329
41	201
42	258
43	212
44	203
45	137
46	169
47	153
48	165
49	103
50	155
51	107
52	126
53	85
54	94
55	75
56	112
57	68
58	68
59	69
60	80
61	66
62	75
63	45
64	73
65	35
66	79
67	52
68	61
69	39
70	70
71	31
72	51
73	41
74	38
75	23
76	39
77	25
78	45
79	33
80	44
81	20
82	39
83	20
84	56
85	28
86	32
87	33
88	18
89	27
90	25
91	22
92	31
93	19
94	40
95	20
96	29
97	24
98	32
99	22
100	20
101	16
102	33
103	17
104	26
105	16
106	16
107	13
108	37
109	21
110	18
111	8
112	12
113	12
114	22
115	10
116	16
117	8
118	13
119	14
120	26
121	13
122	9
123	9
124	17
125	22
126	19
127	12
128	15
129	13
130	16
131	16
132	11
133	14
134	16
135	12
136	15
137	12
138	11
139	10
140	17
141	13
142	19
143	3
144	8
145	10
146	16
147	5
148	17
149	7
150	6
151	7
152	8
153	13
154	13
155	6
156	7
157	6
158	19
159	5
160	9
161	3
162	7
163	9
164	7
165	5
166	14
167	8
168	11
169	6
170	12
171	4
172	16
173	7
174	13
175	11
176	11
177	10
178	11
179	5
180	7
181	9
182	9
183	8
184	10
185	13
186	6
187	4
188	12
189	11
190	12
191	4
192	7
193	4
194	6
195	10
196	4
197	7
198	5
199	3
200	3
201	11
202	9
203	7
204	13
205	9
206	10
207	6
208	8
209	2
210	7
211	6
212	5
213	9
214	13
215	5
216	6
217	2
218	17
219	2
220	11
221	5
222	10
223	5
224	7
225	5
226	16
228	2
229	3
230	5
231	10
232	5
233	6
234	2
235	6
236	11
237	2
238	4
239	3
240	6
241	2
242	3
243	10
244	9
245	4
246	3
247	3
248	5
249	7
250	4
251	3
252	7
253	4
254	7
255	4
256	3
257	2
258	7
259	4
260	7
261	4
262	3
263	4
264	4
265	6
266	2
267	3
268	7
269	5
270	5
272	7
273	5
274	6
275	5
276	8
277	1
278	2
279	1
280	8
281	7
282	7
283	5
284	3
285	3
286	9
287	4
288	2
289	3
290	8
291	2
292	2
293	2
294	8
295	3
296	5
297	3
298	6
300	8
301	2
302	2
303	2
304	2
305	2
306	3
307	4
308	2
309	3
310	5
312	4
313	2
314	5
315	5
316	2
317	5
318	2
319	5
320	5
322	3
323	2
324	3
325	1
326	5
327	2
328	2
330	5
331	7
332	5
333	1
334	4
335	3
336	7
337	2
338	3
339	3
340	4
341	3
342	7
343	2
344	5
345	4
346	2
347	5
348	2
349	4
350	3
351	1
352	2
353	3
354	5
355	1
356	4
357	4
358	4
359	5
360	2
361	2
363	3
364	3
365	1
366	3
367	4
368	2
369	3
371	5
372	8
373	2
374	3
375	2
376	1
377	5
378	4
379	3
380	6
381	4
382	3
383	4
384	1
385	4
386	1
387	6
388	2
389	4
390	2
391	2
392	5
393	3
394	4
396	5
397	2
398	5
399	2
400	5
401	2
402	1
403	6
404	4
405	1
406	2
407	1
408	5
409	3
410	3
411	2
412	2
413	4
414	4
415	2
416	5
417	2
418	4
419	2
420	3
421	5
422	6
423	2
424	4
426	1
427	1
428	2
429	1
434	6
437	1
439	2
440	6
441	2
442	3
443	2
444	6
445	3
446	3
447	3
448	5
450	2
452	3
453	4
454	5
455	1
457	1
458	1
459	4
460	1
462	5
463	1
465	1
466	7
467	1
468	3
470	2
471	3
472	4
473	1
474	1
475	1
476	4
479	2
480	2
481	4
482	6
483	1
484	2
485	1
486	1
487	2
488	3
489	4
490	2
491	3
492	4
493	1
494	5
495	1
496	1
497	3
498	2
500	2
501	2
502	2
503	2
504	7
505	3
506	3
507	6
508	2
509	4
510	2
511	1
512	2
513	4
515	1
516	1
518	6
519	3
520	1
521	2
522	2
523	2
524	3
525	2
526	4
527	4
528	3
529	2
530	2
531	2
532	3
534	2
535	1
536	1
537	1
538	1
541	3
544	1
545	3
546	1
547	3
548	1
549	2
550	3
552	2
553	1
555	3
556	3
558	6
559	1
560	4
561	1
562	6
564	1
566	3
567	5
568	1
569	1
574	2
575	4
576	2
577	1
579	1
581	1
582	3
583	2
584	1
586	2
587	1
588	1
589	1
590	1
591	2
592	3
594	2
595	1
596	2
597	2
598	3
599	1
600	1
603	1
604	1
605	1
606	4
608	2
609	1
610	2
611	1
614	3
617	1
621	1
624	1
629	1
630	1
632	1
633	2
636	1
638	4
639	1
643	1
644	2
646	1
647	3
648	2
649	1
655	1
656	1
661	1
662	2
663	1
667	1
671	1
673	1
676	2
677	1
682	1
688	2
699	1
703	1
710	1
713	1
714	1
719	1
721	1
724	1
726	1
727	1
728	2
730	3
731	2
