BISCUITqc Depth Distribution (low GC, Q40)
depth	count
0	243583456
1	12019943
2	5671775
3	1794197
4	943196
5	342794
6	197186
7	81291
8	50104
9	24140
10	15504
11	7931
12	5059
13	2860
14	1948
15	978
16	939
17	582
18	428
19	349
20	283
21	273
22	399
23	135
24	241
25	168
26	106
27	95
28	93
29	72
30	62
31	60
32	81
33	58
34	45
35	30
36	40
37	48
38	30
39	112
40	17
41	21
42	68
43	18
44	59
45	29
46	26
47	19
48	30
49	23
50	57
51	27
52	34
53	20
54	34
55	53
56	30
57	41
58	38
59	28
60	38
61	32
62	28
63	36
64	37
65	19
66	26
67	32
68	33
69	30
70	61
71	53
72	38
73	42
74	40
75	22
76	23
77	42
78	42
79	24
80	18
81	15
82	28
83	18
84	13
85	21
86	15
87	25
88	29
89	4
90	26
91	9
92	1
93	3
94	22
95	4
96	11
97	10
98	10
99	11
100	4
103	13
104	5
105	5
106	1
111	1
113	1
120	4
121	19
128	1
129	1
136	2
140	1
142	1
143	1
148	1
151	1
155	1
156	11
165	2
166	1
172	1
174	1
181	1
182	6
183	1
190	18
193	1
198	2
204	1
208	1
212	1
215	1
218	1
219	1
220	1
222	1
226	1
228	1
229	1
231	1
232	18
233	4
234	13
242	1
243	1
244	3
245	11
246	1
247	6
248	9
249	8
250	2
251	1
252	15
407	1
441	17
1644	1
1647	1
1652	1
1653	1
1656	11
