BISCUITqc Retention Distribution Table
RetentionFraction	Count
  0	373689
  1	213
  2	175
  3	137
  4	125
  5	111
  6	156
  7	180
  8	338
  9	286
 10	401
 11	604
 12	965
 13	19
 14	1399
 15	35
 16	6
 17	2503
 18	76
 19	15
 20	4374
 21	17
 22	181
 23	27
 24	7
 25	8836
 26	13
 27	71
 28	13
 29	538
 30	82
 31	24
 32	10
 33	21611
 34	6
 35	21
 36	75
 37	13
 38	291
 39	7
 40	2210
 41	15
 42	51
 43	496
 44	143
 45	68
 46	30
 47	28
 48	10
 49	6
 50	6906
 51	3
 52	7
 53	46
 54	26
 55	58
 56	150
 57	468
 58	51
 59	16
 60	2333
 61	17
 62	265
 63	8
 64	79
 65	8
 66	1
 67	23974
 68	16
 69	23
 70	89
 71	533
 72	11
 73	66
 74	12
 75	9473
 76	18
 77	41
 78	193
 79	27
 80	4248
 81	28
 82	96
 83	2168
 84	17
 85	54
 86	1077
 87	37
 88	660
 89	410
 90	265
 91	189
 92	262
 93	158
 94	171
 95	145
 96	100
 97	119
 98	53
 99	34
100	326922
