BISCUITqc CpH Retention by Read Position Table
ReadInPair	Position	Conversion/Retention	Count
1	0	C	349701
1	0	R	94759
1	1	C	767557
1	1	R	159861
1	2	C	891276
1	2	R	128665
1	3	C	979871
1	3	R	123925
1	4	C	1017918
1	4	R	114573
1	5	C	985650
1	5	R	120422
1	6	C	926998
1	6	R	121340
1	7	C	914059
1	7	R	118116
1	8	C	886590
1	8	R	113227
1	9	C	907891
1	9	R	81430
1	10	C	1052877
1	10	R	58488
1	11	C	1162363
1	11	R	52187
1	12	C	1157645
1	12	R	59218
1	13	C	1138892
1	13	R	59356
1	14	C	1131058
1	14	R	61550
1	15	C	1136480
1	15	R	60046
1	16	C	1162696
1	16	R	54367
1	17	C	1164555
1	17	R	53709
1	18	C	1143077
1	18	R	70549
1	19	C	1138938
1	19	R	83862
1	20	C	1141756
1	20	R	79420
1	21	C	1150141
1	21	R	72166
1	22	C	1155680
1	22	R	63289
1	23	C	1159793
1	23	R	64835
1	24	C	1150449
1	24	R	66283
1	25	C	1144648
1	25	R	68577
1	26	C	1147439
1	26	R	63720
1	27	C	1159077
1	27	R	60998
1	28	C	1174381
1	28	R	58513
1	29	C	1170184
1	29	R	62383
1	30	C	1171191
1	30	R	60836
1	31	C	1178794
1	31	R	56475
1	32	C	1180790
1	32	R	56025
1	33	C	1183025
1	33	R	54241
1	34	C	1186433
1	34	R	51287
1	35	C	1191255
1	35	R	49780
1	36	C	1191909
1	36	R	49658
1	37	C	1190182
1	37	R	48634
1	38	C	1192604
1	38	R	47850
1	39	C	1197720
1	39	R	45758
1	40	C	1198108
1	40	R	43679
1	41	C	1199929
1	41	R	41906
1	42	C	1206598
1	42	R	40328
1	43	C	1205211
1	43	R	40105
1	44	C	1203954
1	44	R	39569
1	45	C	1206458
1	45	R	39149
1	46	C	1206984
1	46	R	38914
1	47	C	1207218
1	47	R	38013
1	48	C	1207763
1	48	R	38286
1	49	C	1208522
1	49	R	38053
1	50	C	1207927
1	50	R	37750
1	51	C	1210042
1	51	R	38029
1	52	C	1210357
1	52	R	37848
1	53	C	1208037
1	53	R	37815
1	54	C	1206903
1	54	R	37525
1	55	C	1202646
1	55	R	37855
1	56	C	1200033
1	56	R	37616
1	57	C	1196750
1	57	R	37884
1	58	C	1195260
1	58	R	37496
1	59	C	1193780
1	59	R	37648
1	60	C	1192819
1	60	R	38271
1	61	C	1185767
1	61	R	38539
1	62	C	1182454
1	62	R	38340
1	63	C	1181604
1	63	R	38222
1	64	C	1177493
1	64	R	38227
1	65	C	1174189
1	65	R	37904
1	66	C	1171833
1	66	R	37644
1	67	C	1167363
1	67	R	37840
1	68	C	1162407
1	68	R	37357
1	69	C	1157972
1	69	R	37203
1	70	C	1156466
1	70	R	37252
1	71	C	1152852
1	71	R	37145
1	72	C	1148476
1	72	R	36709
1	73	C	1141459
1	73	R	37275
1	74	C	1139593
1	74	R	37011
1	75	C	1137123
1	75	R	37501
1	76	C	1131467
1	76	R	37552
1	77	C	1125081
1	77	R	37582
1	78	C	1122403
1	78	R	37455
1	79	C	1114592
1	79	R	38094
1	80	C	1113754
1	80	R	37779
1	81	C	1109483
1	81	R	37304
1	82	C	1105433
1	82	R	37596
1	83	C	1100102
1	83	R	35028
1	84	C	1097955
1	84	R	34111
1	85	C	1091544
1	85	R	33421
1	86	C	1085766
1	86	R	32531
1	87	C	1082197
1	87	R	31969
1	88	C	1076790
1	88	R	31123
1	89	C	1070365
1	89	R	31082
1	90	C	1067187
1	90	R	30145
1	91	C	1062420
1	91	R	30123
1	92	C	1058167
1	92	R	30070
1	93	C	1054547
1	93	R	29921
1	94	C	1050733
1	94	R	30095
1	95	C	1047941
1	95	R	30804
1	96	C	1046927
1	96	R	30936
1	97	C	1041939
1	97	R	31422
1	98	C	1030718
1	98	R	32005
1	99	C	1017213
1	99	R	32297
1	100	C	504657
1	100	R	16191
2	0	C	289753
2	0	R	91253
2	1	C	606786
2	1	R	165349
2	2	C	681496
2	2	R	137741
2	3	C	744906
2	3	R	119555
2	4	C	752474
2	4	R	106350
2	5	C	728403
2	5	R	103334
2	6	C	721200
2	6	R	103827
2	7	C	697391
2	7	R	104434
2	8	C	670532
2	8	R	103484
2	9	C	833196
2	9	R	76418
2	10	C	1121002
2	10	R	51972
2	11	C	1247052
2	11	R	51657
2	12	C	1237205
2	12	R	52581
2	13	C	1216916
2	13	R	54733
2	14	C	1197812
2	14	R	56352
2	15	C	1190893
2	15	R	56447
2	16	C	1191894
2	16	R	56102
2	17	C	1192858
2	17	R	57461
2	18	C	1186329
2	18	R	63693
2	19	C	1183096
2	19	R	66088
2	20	C	1178732
2	20	R	64688
2	21	C	1177744
2	21	R	62424
2	22	C	1176909
2	22	R	59160
2	23	C	1174950
2	23	R	58049
2	24	C	1174476
2	24	R	59237
2	25	C	1172990
2	25	R	59229
2	26	C	1178029
2	26	R	57382
2	27	C	1178392
2	27	R	57005
2	28	C	1181813
2	28	R	55210
2	29	C	1182640
2	29	R	55941
2	30	C	1186703
2	30	R	55203
2	31	C	1188308
2	31	R	53919
2	32	C	1188549
2	32	R	54489
2	33	C	1188451
2	33	R	52770
2	34	C	1193962
2	34	R	51607
2	35	C	1197455
2	35	R	50369
2	36	C	1201574
2	36	R	49354
2	37	C	1205088
2	37	R	48583
2	38	C	1208536
2	38	R	48101
2	39	C	1212900
2	39	R	47293
2	40	C	1214993
2	40	R	46461
2	41	C	1217077
2	41	R	44873
2	42	C	1219109
2	42	R	43797
2	43	C	1221060
2	43	R	44289
2	44	C	1221483
2	44	R	44750
2	45	C	1223503
2	45	R	45246
2	46	C	1226891
2	46	R	44652
2	47	C	1227159
2	47	R	43893
2	48	C	1227334
2	48	R	43306
2	49	C	1225913
2	49	R	43490
2	50	C	1225960
2	50	R	43506
2	51	C	1224503
2	51	R	43257
2	52	C	1228209
2	52	R	43357
2	53	C	1226205
2	53	R	43177
2	54	C	1224137
2	54	R	43340
2	55	C	1222755
2	55	R	43388
2	56	C	1220717
2	56	R	42960
2	57	C	1217580
2	57	R	42825
2	58	C	1215611
2	58	R	43145
2	59	C	1215528
2	59	R	43130
2	60	C	1210691
2	60	R	43221
2	61	C	1209414
2	61	R	44145
2	62	C	1203548
2	62	R	43987
2	63	C	1200102
2	63	R	44134
2	64	C	1196584
2	64	R	44597
2	65	C	1197044
2	65	R	44450
2	66	C	1189994
2	66	R	43982
2	67	C	1187798
