BISCUITqc CpG Depth Distribution (All)
depth	count
0	14723710
1	2883087
2	1813895
3	833237
4	549810
5	309035
6	214508
7	135479
8	99057
9	66219
10	50582
11	35490
12	28297
13	20406
14	16847
15	12260
16	10423
17	7752
18	6881
19	4933
20	4619
21	3410
22	3223
23	2395
24	2359
25	1629
26	1644
27	1228
28	1343
29	963
30	1010
31	754
32	885
33	608
34	719
35	486
36	624
37	428
38	560
39	385
40	495
41	312
42	391
43	280
44	376
45	292
46	377
47	223
48	299
49	175
50	293
51	187
52	238
53	174
54	235
55	167
56	227
57	149
58	237
59	120
60	180
61	139
62	182
63	143
64	156
65	137
66	180
67	146
68	161
69	129
70	132
71	111
72	153
73	104
74	145
75	91
76	114
77	92
78	99
79	101
80	117
81	80
82	121
83	75
84	103
85	69
86	90
87	72
88	98
89	66
90	90
91	57
92	87
93	58
94	77
95	55
96	80
97	41
98	68
99	52
100	84
101	69
102	82
103	52
104	66
105	52
106	61
107	49
108	78
109	60
110	46
111	50
112	68
113	37
114	55
115	51
116	62
117	40
118	47
119	29
120	44
121	56
122	52
123	38
124	41
125	30
126	53
127	41
128	35
129	36
130	33
131	43
132	40
133	33
134	47
135	22
136	26
137	23
138	42
139	29
140	41
141	31
142	31
143	25
144	38
145	33
146	39
147	46
148	32
149	28
150	28
151	25
152	24
153	29
154	35
155	24
156	21
157	21
158	28
159	19
160	29
161	32
162	23
163	32
164	20
165	35
166	33
167	20
168	23
169	21
170	18
171	25
172	30
173	22
174	16
175	19
176	18
177	19
178	27
179	25
180	24
181	22
182	9
183	13
184	15
185	15
186	24
187	12
188	14
189	17
190	21
191	24
192	18
193	13
194	9
195	8
196	14
197	6
198	14
199	17
200	12
201	11
202	18
203	20
204	16
205	20
206	20
207	15
208	21
209	12
210	10
211	14
212	14
213	7
214	9
215	10
216	21
217	5
218	13
219	16
220	17
221	10
222	18
223	9
224	20
225	6
226	13
227	10
228	7
229	9
230	7
231	6
232	11
233	15
234	13
235	8
236	14
237	16
238	16
239	10
240	16
241	13
242	10
243	11
244	6
245	8
246	7
247	8
248	9
249	13
250	13
251	8
252	7
253	12
254	4
255	9
256	10
257	15
258	9
259	11
260	10
261	13
262	8
263	7
264	11
265	10
266	10
267	11
268	6
269	6
270	8
271	6
272	12
273	6
274	12
275	8
276	4
277	9
278	5
279	14
280	10
281	8
282	11
283	10
284	12
285	6
286	8
287	11
288	2
289	7
290	10
291	7
292	4
293	5
294	7
295	14
296	7
297	10
298	12
299	9
300	5
301	6
302	5
303	13
304	11
305	3
306	5
307	9
308	5
309	4
310	10
311	9
312	10
313	7
314	11
315	5
316	7
317	6
318	9
319	6
320	10
321	8
322	13
323	8
324	13
325	6
326	5
327	7
328	9
329	10
330	3
331	7
332	7
333	2
334	5
335	3
336	6
337	4
338	4
339	4
340	10
341	7
342	9
343	4
344	7
345	11
346	3
347	6
348	7
349	5
350	8
351	3
352	7
353	8
354	2
355	13
356	12
357	6
358	4
359	6
360	15
361	6
362	5
363	2
364	10
365	8
366	8
367	7
368	8
369	12
370	8
371	4
372	10
373	5
374	9
375	11
376	9
377	6
378	11
379	5
380	3
381	7
382	10
383	8
384	9
385	7
386	6
387	8
388	2
389	2
390	6
391	6
392	8
393	7
394	7
395	6
396	2
397	12
398	5
399	5
400	8
401	6
402	1
403	4
404	7
405	7
406	4
407	5
408	3
409	6
410	4
411	5
412	4
413	5
414	9
415	9
416	6
417	4
418	3
419	3
420	4
421	1
422	8
423	5
424	8
425	11
426	9
427	7
428	7
429	5
430	4
431	6
432	2
433	5
434	4
435	6
436	4
437	6
438	1
439	3
440	6
441	6
442	6
443	9
444	6
445	3
446	4
447	7
448	7
449	4
450	8
451	7
452	9
453	4
454	9
455	8
456	6
457	7
458	4
459	7
460	3
461	6
462	2
463	6
464	4
465	5
466	3
467	4
468	7
469	3
470	7
471	1
472	9
473	9
474	9
475	4
476	4
477	5
478	5
479	8
480	6
481	2
482	3
483	11
484	5
485	6
486	5
487	5
488	5
489	3
490	3
491	4
492	4
493	4
494	3
495	4
496	8
497	4
498	7
499	4
500	2
501	3
502	6
503	11
504	9
505	8
506	3
507	8
508	5
509	7
510	5
511	5
512	1
513	2
514	5
515	6
516	5
517	4
518	6
519	9
520	6
521	2
522	9
523	1
524	4
525	1
526	2
527	7
528	5
529	4
530	9
531	10
532	4
533	3
534	6
535	4
536	6
537	6
538	8
539	4
540	6
541	6
542	5
543	3
544	5
545	2
546	6
547	4
548	7
549	5
550	5
551	5
552	5
553	4
554	4
555	3
556	3
557	6
558	4
559	3
560	4
561	5
562	1
563	4
564	3
565	2
567	2
568	3
569	3
570	5
571	1
572	3
573	2
574	2
575	5
576	3
577	1
578	2
579	1
580	3
581	2
582	5
583	2
584	4
585	4
586	6
587	3
588	4
590	1
591	1
592	4
593	5
594	6
595	2
596	2
597	2
598	4
599	1
600	1
601	4
602	1
603	6
604	3
605	1
606	1
607	3
609	3
610	1
611	2
612	2
613	2
614	2
615	4
616	3
619	1
620	4
621	2
622	4
623	1
624	2
625	5
626	1
627	2
628	2
630	6
631	2
632	2
634	2
635	1
636	4
637	3
638	5
639	4
640	5
641	4
642	4
643	3
644	4
645	5
648	1
649	1
650	2
651	2
652	6
653	1
654	2
655	3
656	3
657	1
658	2
659	1
660	3
661	2
663	3
664	3
665	2
666	1
667	2
669	1
670	2
671	1
672	3
673	1
675	2
676	2
678	2
679	4
680	1
685	2
686	2
689	2
690	3
691	2
692	3
693	2
694	1
697	2
698	1
699	2
700	4
702	1
703	2
705	1
706	3
707	2
708	1
713	1
714	2
715	2
716	1
717	1
719	1
720	2
721	2
722	3
724	1
725	2
727	3
728	1
730	1
731	1
732	2
733	1
734	2
735	1
736	7
738	1
739	2
740	3
741	1
742	2
744	2
745	2
746	2
748	1
749	1
750	3
751	2
752	1
754	1
755	1
756	1
757	1
758	2
760	1
761	2
762	6
763	2
764	1
765	1
766	1
767	1
768	4
769	2
770	4
771	3
774	2
775	1
776	1
777	1
778	1
781	2
783	2
784	2
787	2
788	1
789	2
790	1
791	1
792	1
794	2
795	2
796	1
801	1
802	2
803	2
804	1
805	4
806	2
807	1
808	2
809	2
812	1
813	2
814	2
815	1
816	2
817	1
820	3
821	1
823	1
827	1
828	3
829	1
830	1
832	1
833	2
834	1
835	2
837	1
838	1
840	1
842	1
843	2
844	1
846	1
847	2
848	1
855	1
856	2
857	1
858	1
859	2
860	2
863	4
864	4
866	1
868	1
869	1
871	1
875	2
876	3
877	2
878	1
879	1
880	2
881	2
882	2
883	3
885	1
891	1
893	2
895	4
902	1
908	2
909	2
910	1
913	1
914	1
915	1
919	1
927	2
929	2
933	1
935	1
936	2
937	1
942	1
945	2
947	1
948	1
950	1
951	1
953	1
955	1
956	1
959	2
962	1
966	1
967	1
972	1
973	1
975	1
978	1
980	1
982	1
983	1
988	2
989	1
993	3
994	1
996	2
999	2
1000	1
1002	1
1006	1
1007	1
1010	1
1011	1
1012	1
1016	2
1019	2
1023	2
1028	1
1035	1
1037	2
1039	1
1040	2
1046	1
1047	1
1049	1
1053	1
1054	1
1058	1
1059	1
1063	2
1065	2
1066	1
1067	1
1068	1
1069	1
1070	1
1071	4
1072	1
1073	1
1075	4
1077	2
1078	1
1081	1
1084	1
1085	1
1086	1
1089	1
1090	2
1091	1
1092	2
1093	2
1095	1
1097	1
1113	1
1115	1
1116	3
1117	1
1120	1
1122	2
1124	2
1125	2
1126	3
1127	1
1132	1
1133	1
1136	1
1137	1
1144	1
1150	2
1152	3
1155	2
1156	3
1158	1
1159	2
1161	3
1162	3
1164	1
1165	1
1168	1
1171	1
1174	1
1176	1
1177	1
1178	1
1185	1
1186	2
1187	1
1188	1
1193	2
1197	1
1201	1
1203	1
1211	1
1222	1
1225	1
1226	3
1227	1
1231	1
1234	2
1235	1
1236	3
1237	1
1238	1
1240	3
1243	1
1248	1
1253	1
1254	1
1258	1
1259	1
1265	2
1269	2
1270	1
1271	1
1276	1
1279	1
1280	1
1282	1
1283	1
1287	1
1288	2
1297	1
1303	3
1305	2
1308	1
1315	2
1323	1
1328	1
1334	1
1342	1
1343	1
1345	1
1347	2
1349	1
1351	1
1352	1
1353	1
1354	1
1356	1
1358	1
1359	1
1360	1
1367	1
1369	1
1373	2
1375	1
1376	1
1377	2
1379	1
1380	1
1382	1
1384	1
1391	1
1392	1
1393	1
1394	2
1397	1
1405	1
1407	2
1409	2
1416	1
1420	1
1421	2
1422	1
1424	2
1431	1
1435	1
1436	1
1438	2
1439	1
1440	1
1441	1
1446	1
1447	1
1451	1
1472	1
1474	1
1479	2
1480	2
1482	1
1483	1
1495	1
1501	1
1506	1
1524	1
1525	2
1526	3
1530	1
1533	1
1537	1
1541	2
1543	1
1551	1
1560	1
1566	1
1572	2
1588	1
1589	3
1592	1
1599	1
1600	1
1605	1
1608	3
1613	1
1615	1
1632	1
1651	1
1654	1
1660	1
1662	2
1673	1
1675	1
1684	1
1690	1
1700	1
1710	1
1712	1
1715	1
1716	1
1724	1
1728	2
1741	1
1744	1
1753	1
1755	1
1760	3
1762	1
1765	1
1767	2
1770	1
1777	1
1784	1
1786	2
1797	1
1799	1
1816	1
1820	2
1830	1
1836	1
1850	1
1857	2
1860	1
1865	3
1866	1
1896	1
1898	1
1915	1
1916	1
1923	1
1926	1
1927	1
1934	1
1939	1
1945	1
1951	1
1953	1
1959	1
1960	1
1962	1
1964	2
1980	1
1981	1
1983	1
1986	2
1987	1
1989	1
2007	1
2009	1
2018	1
2034	1
2049	1
2054	3
2058	1
2064	1
2070	1
2076	1
2088	1
2095	1
2098	1
2100	4
2101	1
2104	1
2119	1
2133	1
2140	1
2149	1
2151	3
2153	1
2154	1
2156	1
2164	2
2165	1
2169	2
2171	1
2177	2
2180	1
2186	1
2194	1
2199	1
2201	1
2202	1
2203	1
2210	1
2222	1
2225	2
2233	1
2248	2
2252	1
2256	1
2262	1
2274	2
2287	2
2288	1
2294	1
2306	1
2314	2
2318	1
2326	2
2330	1
2340	2
2346	1
2349	1
2368	1
2372	1
2377	1
2379	1
2394	1
2397	1
2398	1
2411	1
2432	1
2446	1
2451	1
2467	1
2492	1
2498	1
2499	1
2514	1
2522	1
2529	1
2570	1
2589	1
2600	1
2602	2
2604	1
2606	1
2629	1
2640	1
2653	1
2654	1
2662	1
2675	2
2676	1
2683	1
2698	1
2699	1
2700	1
2707	1
2733	1
2734	1
2752	1
2758	1
2766	1
2767	1
2799	1
2845	1
2863	1
2882	1
2894	1
2903	1
2913	1
2934	1
2935	1
2955	2
2989	1
2994	2
2996	1
2997	1
3011	1
3021	1
3029	1
3071	2
3075	1
3127	1
3133	1
3138	1
3172	2
3199	1
3204	1
3212	1
3254	1
3271	3
3284	1
3286	1
3301	1
3305	1
3343	1
3390	1
3419	1
3422	1
3441	1
3481	1
3504	1
3510	1
3534	1
3557	1
3571	1
3576	1
3652	1
3671	2
3698	1
3703	1
3706	1
3726	1
3735	1
3757	1
3774	1
3790	1
3802	1
3813	1
3853	1
3893	1
3939	1
3958	1
3973	1
4070	1
4165	2
4327	1
4329	1
4346	1
4363	1
4380	1
4388	1
4424	1
4443	1
4557	1
4588	1
4617	1
4621	1
4623	1
4716	1
4839	1
4892	1
4966	1
5035	1
5056	1
5116	1
5154	1
5165	1
5168	1
5622	1
5665	1
5762	1
5768	1
5946	1
6039	1
6106	1
6279	1
6538	1
6573	1
6743	1
6838	1
6868	1
6872	1
7014	1
7125	1
7133	1
7170	1
7177	1
