BISCUITqc Depth Distribution (Q40)
depth	count
0	2307376701
1	207941611
2	115220116
3	43497819
4	25858238
5	11984594
6	7422081
7	3946112
8	2532041
9	1474692
10	1009100
11	619055
12	456058
13	286085
14	230970
15	142849
16	127239
17	77422
18	76485
19	46536
20	50259
21	30303
22	36459
23	20852
24	27238
25	14777
26	21802
27	11522
28	17572
29	9090
30	14733
31	7299
32	11620
33	6538
34	10526
35	5637
36	9528
37	4577
38	7611
39	4387
40	7188
41	3923
42	6482
43	3614
44	6003
45	3130
46	5630
47	2831
48	4834
49	2567
50	4913
51	2792
52	4338
53	2250
54	4230
55	2133
56	3612
57	2148
58	3660
59	1949
60	3177
61	1797
62	3408
63	1635
64	2632
65	1754
66	2627
67	1425
68	2477
69	1218
70	2173
71	1210
72	2184
73	1218
74	1993
75	1201
76	2173
77	1091
78	1812
79	977
80	1615
81	1011
82	1869
83	911
84	1588
85	1017
86	1190
87	816
88	1345
89	855
90	1535
91	784
92	1162
93	758
94	1328
95	737
96	1150
97	525
98	1341
99	768
100	1286
101	602
102	1097
103	673
104	901
105	475
106	904
107	566
108	930
109	711
110	885
111	505
112	739
113	475
114	750
115	440
116	749
117	575
118	833
119	436
120	758
121	388
122	612
123	349
124	562
125	364
126	594
127	420
128	584
129	330
130	581
131	368
132	570
133	300
134	667
135	325
136	515
137	252
138	627
139	425
140	542
141	362
142	603
143	334
144	610
145	346
146	542
147	349
148	520
149	289
150	512
151	304
152	517
153	287
154	482
155	219
156	347
157	293
158	389
159	271
160	321
161	300
162	404
163	283
164	370
165	255
166	296
167	325
168	321
169	165
170	480
171	242
172	400
173	201
174	425
175	199
176	492
177	259
178	347
179	224
180	379
181	179
182	263
183	186
184	267
185	151
186	359
187	251
188	390
189	193
190	250
191	194
192	387
193	194
194	305
195	189
196	277
197	221
198	302
199	151
200	208
201	208
202	233
203	186
204	203
205	192
206	251
207	165
208	223
209	200
210	186
211	118
212	294
213	219
214	324
215	180
216	255
217	141
218	282
219	122
220	230
221	132
222	251
223	141
224	214
225	189
226	243
227	138
228	148
229	87
230	167
231	126
232	212
233	108
234	249
235	124
236	274
237	194
238	237
239	105
240	157
241	166
242	146
243	115
244	195
245	126
246	208
247	120
248	190
249	154
250	148
251	125
252	228
253	121
254	241
255	91
256	110
257	102
258	185
259	85
260	225
261	72
262	205
263	71
264	152
265	84
266	126
267	105
268	225
269	113
270	166
271	82
272	169
273	86
274	109
275	88
276	125
277	110
278	112
279	85
280	180
281	98
282	200
283	115
284	102
285	94
286	156
287	75
288	100
289	124
290	110
291	87
292	96
293	95
294	92
295	77
296	120
297	105
298	139
299	126
300	123
301	90
302	150
303	85
304	118
305	109
306	110
307	71
308	144
309	65
310	118
311	104
312	112
313	105
314	88
315	102
316	112
317	46
318	66
319	82
320	130
321	48
322	99
323	81
324	50
325	112
326	71
327	54
328	55
329	90
330	68
331	74
332	93
333	94
334	120
335	61
336	141
337	77
338	68
339	62
340	70
341	51
342	86
343	46
344	73
345	61
346	75
347	58
348	55
349	39
350	81
351	73
352	55
353	61
354	58
355	62
356	95
357	63
358	50
359	45
360	88
361	91
362	120
363	49
364	42
365	58
366	47
367	42
368	68
369	58
370	114
371	53
372	91
373	46
374	37
375	74
376	74
377	67
378	86
379	69
380	32
381	90
382	62
383	81
384	52
385	50
386	86
387	55
388	51
389	65
390	76
391	66
392	114
393	63
394	70
395	62
396	110
397	67
398	58
399	65
400	76
401	55
402	68
403	50
404	56
405	46
406	64
407	70
408	39
409	39
410	45
411	27
412	53
413	61
414	55
415	33
416	64
417	43
418	56
419	34
420	38
421	30
422	72
423	40
424	79
425	25
426	56
427	46
428	19
429	45
430	69
431	69
432	55
433	37
434	76
435	50
436	54
437	50
438	28
439	41
440	67
441	58
442	56
443	54
444	48
445	34
446	21
447	21
448	68
449	15
450	44
451	47
452	53
453	56
454	22
455	26
456	46
457	41
458	37
459	24
460	36
461	42
462	49
463	24
464	42
465	28
466	48
467	31
468	37
469	37
470	53
471	31
472	42
473	50
474	21
475	19
476	35
477	35
478	38
479	56
480	40
481	45
482	25
483	12
484	61
485	16
486	38
487	13
488	33
489	33
490	31
491	20
492	41
493	24
494	55
495	48
496	28
497	31
498	28
499	44
500	49
501	53
502	23
503	33
504	33
505	19
506	20
507	20
508	54
509	24
510	27
511	24
512	28
513	34
514	29
515	21
516	37
517	16
518	7
519	14
520	15
521	47
522	24
523	23
524	54
525	31
526	51
527	16
528	34
529	37
530	50
531	23
532	41
533	12
534	59
535	10
536	27
537	10
538	14
539	22
540	17
541	12
542	7
543	15
544	33
545	23
546	12
547	25
548	40
549	5
550	30
551	9
552	12
553	29
554	26
555	13
556	22
557	17
558	14
559	12
560	38
561	5
562	15
563	15
564	27
565	24
566	24
567	20
568	7
569	7
570	20
571	8
572	19
573	10
574	37
575	8
576	33
577	19
578	24
579	26
580	9
581	9
582	23
583	6
584	8
585	39
586	25
587	9
588	6
589	12
590	25
591	6
592	16
593	24
594	52
595	14
596	32
597	10
598	15
599	8
600	19
601	10
602	7
603	11
604	8
605	4
606	27
607	21
608	38
609	33
610	8
611	24
612	17
613	14
614	38
615	21
616	10
617	7
618	15
619	23
620	14
621	11
622	25
623	19
624	36
625	14
626	29
627	22
628	29
629	33
630	10
631	23
632	28
633	21
634	9
635	18
636	42
637	34
638	25
639	7
640	36
641	24
642	17
643	35
644	23
645	19
646	7
647	17
648	12
649	19
650	17
651	21
652	11
653	21
654	7
655	3
656	12
657	8
658	10
659	15
660	10
661	11
662	7
663	16
664	8
665	10
666	26
667	10
668	10
669	13
670	56
671	27
672	28
673	9
674	10
675	6
676	2
677	9
678	6
679	8
680	6
681	20
682	14
683	8
684	25
685	15
686	8
687	4
688	8
689	29
690	36
691	9
692	45
693	29
694	29
695	34
696	40
697	11
698	26
699	12
700	13
701	11
702	32
703	11
704	5
705	12
706	30
707	4
708	20
709	19
710	11
711	21
712	19
713	25
714	13
715	21
716	22
717	9
718	25
719	5
720	24
721	7
722	12
723	4
724	25
725	47
726	10
727	15
728	11
729	6
730	20
731	4
732	8
733	4
734	22
735	12
736	2
737	5
738	6
739	5
740	5
741	15
742	14
743	8
744	3
745	12
746	4
747	8
748	12
749	8
750	44
751	4
752	16
753	8
754	7
755	4
756	9
757	7
758	20
759	15
760	22
761	11
762	6
763	2
764	6
765	6
766	3
767	4
768	20
769	4
770	9
771	7
772	8
773	9
774	26
775	5
776	5
777	10
778	9
779	9
780	19
781	11
782	56
783	5
784	13
785	20
786	2
787	15
788	6
789	7
790	3
791	12
792	11
793	4
794	1
795	7
796	18
797	6
798	15
799	8
800	8
801	5
802	7
803	22
804	4
805	6
806	7
807	4
808	24
809	9
810	19
811	9
812	5
813	9
814	24
815	20
816	22
817	6
818	22
819	20
820	14
821	13
822	22
823	6
824	11
825	9
826	9
827	8
828	39
829	8
830	4
831	13
832	17
833	20
834	21
835	8
836	2
837	5
838	21
839	22
840	19
841	14
842	13
843	8
844	26
845	10
846	13
847	6
848	19
849	7
850	2
851	4
852	8
853	12
854	9
855	9
856	6
857	3
858	5
859	3
860	6
861	5
862	2
863	19
864	8
865	31
866	11
867	19
868	3
869	16
870	22
871	6
872	21
873	6
874	11
875	6
876	15
877	6
878	6
879	16
880	46
881	20
882	3
883	3
884	8
885	14
886	28
887	27
888	7
889	6
890	20
891	1
892	16
893	4
894	8
895	6
896	23
897	22
898	14
899	5
900	9
901	11
902	9
903	10
905	3
906	20
907	13
908	9
909	5
910	3
911	2
912	5
913	15
914	6
915	8
916	3
917	4
918	3
919	15
920	4
921	17
922	14
923	6
924	28
925	4
926	21
927	3
928	7
929	5
930	3
931	7
932	7
933	2
934	5
935	5
936	3
937	6
938	5
939	10
940	3
941	17
942	36
943	21
944	37
945	28
946	3
947	2
948	16
949	12
951	5
952	22
954	14
955	5
956	2
957	4
958	3
959	3
960	12
961	4
962	1
963	5
964	4
965	3
966	1
967	6
968	4
969	3
970	17
971	29
972	4
973	5
974	3
975	1
976	1
977	1
978	3
979	5
980	4
982	5
983	2
984	15
985	3
986	2
987	6
988	2
989	6
990	3
991	7
992	5
993	14
994	23
995	16
996	10
997	11
998	3
999	14
1000	1
1001	14
1002	17
1003	2
1004	18
1005	2
1006	1
1007	6
1008	2
1009	2
1010	1
1011	3
1012	3
1013	4
1014	2
1015	11
1016	20
1017	6
1018	8
1019	3
1020	3
1021	19
1022	2
1023	3
1024	4
1025	4
1026	4
1027	4
1028	2
1029	3
1030	19
1031	13
1032	2
1033	6
1034	2
1035	1
1036	6
1037	1
1038	6
1039	2
1041	3
1042	3
1043	2
1044	3
1045	2
1046	1
1047	2
1048	1
1049	2
1050	4
1051	4
1052	3
1053	2
1054	3
1055	2
1056	10
1057	2
1058	13
1059	6
1060	14
1061	20
1062	4
1063	4
1064	4
1065	5
1066	4
1067	8
1068	29
1069	2
1070	3
1071	2
1072	5
1073	4
1074	9
1075	7
1076	6
1077	16
1078	14
1080	3
1081	7
1082	2
1083	11
1084	3
1085	3
1086	15
1087	4
1088	6
1089	5
1090	10
1091	6
1092	21
1093	3
1094	15
1095	3
1096	3
1097	14
1098	1
1100	1
1101	4
1102	2
1103	4
1104	3
1105	3
1106	1
1107	2
1108	12
1109	1
1110	3
1111	5
1112	3
1113	3
1114	13
1115	1
1116	7
1117	2
1118	11
1119	7
1120	5
1121	5
1122	11
1123	7
1124	35
1125	7
1126	11
1127	3
1128	3
1129	3
1130	3
1131	4
1132	36
1133	4
1134	5
1136	4
1137	3
1138	13
1139	3
1140	2
1141	5
1142	5
1143	9
1144	7
1145	6
1146	2
1147	15
1148	1
1149	1
1150	2
1151	2
1152	2
1153	1
1154	4
1155	4
1156	1
1157	2
1160	1
1161	1
1162	2
1163	1
1164	2
1165	1
1166	1
1167	12
1168	3
1170	1
1171	3
1173	2
1174	3
1177	1
1178	2
1179	3
1180	3
1181	4
1182	1
1183	4
1184	1
1185	3
1186	5
1187	8
1188	7
1189	3
1191	2
1192	4
1194	5
1195	3
1196	3
1197	13
1199	5
1201	2
1202	3
1203	1
1204	4
1205	5
1206	1
1207	2
1208	3
1209	3
1211	3
1212	14
1213	1
1214	2
1215	3
1216	2
1217	5
1218	3
1219	7
1220	6
1221	7
1222	2
1223	6
1224	3
1225	3
1226	5
1227	6
1228	12
1229	5
1230	12
1231	6
1232	29
1233	7
1234	2
1236	1
1237	2
1238	10
1239	17
1240	7
1241	2
1242	4
1243	7
1244	17
1245	6
1246	19
1247	19
1248	2
1249	1
1251	2
1252	1
1253	1
1254	1
1255	1
1256	2
1257	3
1259	4
1260	2
1261	3
1262	15
1263	5
1264	4
1265	8
1266	2
1267	6
1268	2
1269	4
1270	4
1271	10
1272	2
1273	4
1274	3
1275	2
1276	2
1277	2
1278	4
1279	2
1280	4
1281	1
1282	1
1283	2
1284	3
1285	3
1286	4
1287	9
1288	5
1289	22
1290	2
1291	14
1292	3
1294	4
1295	5
1296	15
1297	3
1298	3
1299	1
1300	6
1301	7
1302	4
1303	2
1304	18
1305	15
1306	3
1307	6
1308	11
1309	23
1310	3
1311	17
1312	13
1313	5
1314	19
1315	15
1316	19
1317	4
1318	13
1320	2
1321	13
1323	3
1324	3
1325	2
1327	3
1328	2
1329	1
1330	2
1331	5
1332	12
1333	1
1334	5
1335	1
1337	2
1338	2
1339	3
1340	1
1341	2
1342	1
1344	2
1345	1
1346	2
1347	3
1348	2
1349	1
1350	2
1351	1
1352	1
1354	3
1355	1
1356	2
1357	1
1358	4
1360	5
1361	6
1362	1
1363	2
1364	14
1365	2
1366	1
1367	1
1369	1
1370	8
1371	3
1372	4
1373	4
1374	12
1375	5
1376	3
1377	4
1378	2
1380	2
1381	3
1383	1
1385	1
1386	1
1388	1
1390	1
1392	3
1393	2
1394	1
1397	1
1398	1
1399	3
1400	4
1401	2
1402	1
1403	1
1405	5
1406	2
1407	14
1408	2
1409	2
1410	14
1411	1
1412	1
1413	3
1414	20
1415	8
1416	7
1417	4
1418	11
1419	4
1420	1
1423	4
1424	3
1425	8
1426	1
1428	2
1429	2
1430	4
1432	2
1433	12
1434	4
1435	4
1437	4
1438	7
1439	3
1440	8
1441	6
1442	19
1443	1
1444	1
1445	1
1446	3
1447	2
1448	2
1449	2
1450	1
1453	2
1454	10
1455	4
1456	5
1459	1
1460	1
1461	2
1462	9
1464	1
1465	7
1466	1
1467	4
1468	1
1469	2
1470	1
1474	1
1475	1
1476	2
1478	2
1481	1
1482	3
1484	2
1485	1
1488	1
1493	2
1494	1
1496	1
1497	3
1498	2
1499	1
1500	1
1501	1
1502	2
1504	3
1506	2
1507	1
1508	2
1510	2
1511	1
1512	4
1513	2
1514	2
1515	1
1516	16
1518	1
1519	1
1521	1
1522	2
1523	1
1524	14
1525	4
1526	12
1527	15
1528	10
1529	1
1530	2
1532	3
1533	2
1534	2
1535	2
1536	1
1537	1
1538	12
1540	1
1541	2
1543	1
1544	4
1545	1
1546	1
1547	1
1548	2
1549	2
1550	1
1551	2
1552	3
1553	2
1554	2
1555	3
1556	4
1557	3
1558	11
1559	4
1560	2
1561	4
1562	1
1563	11
1564	4
1565	1
1566	7
1567	21
1568	4
1569	14
1570	3
1571	8
1572	2
1573	1
1574	13
1575	1
1578	3
1579	2
1580	3
1581	2
1582	12
1583	2
1584	2
1585	3
1586	1
1587	4
1588	2
1589	8
1590	1
1591	1
1592	1
1593	1
1595	2
1596	2
1599	1
1601	2
1603	3
1604	2
1605	1
1606	1
1607	6
1608	5
1609	9
1610	1
1611	1
1612	2
1613	3
1614	9
1615	1
1616	3
1617	9
1618	3
1619	1
1620	2
1623	2
1625	2
1626	2
1628	2
1630	2
1633	1
1634	14
1635	5
1636	10
1637	3
1638	2
1639	2
1640	16
1641	3
1642	7
1643	4
1645	2
1646	3
1647	1
1648	1
1649	1
1651	1
1653	3
1654	11
1655	2
1656	1
1657	1
1658	3
1659	1
1660	18
1661	1
1662	2
1664	3
1665	1
1667	2
1668	2
1669	2
1670	11
1671	2
1674	1
1676	1
1677	3
1678	4
1679	4
1680	6
1681	1
1683	1
1685	1
1686	2
1687	1
1688	1
1689	1
1691	2
1692	1
1693	14
1694	9
1695	1
1696	9
1697	11
1698	3
1699	21
1700	2
1701	1
1702	15
1703	1
1704	1
1705	1
1708	2
1710	1
1711	4
1712	2
1714	2
1715	4
1716	2
1717	2
1718	14
1719	6
1720	12
1722	8
1726	1
1727	1
1728	2
1729	2
1730	1
1731	2
1732	2
1733	4
1734	2
1735	1
1736	3
1737	1
1739	2
1740	1
1742	1
1743	2
1744	3
1745	1
1746	4
1748	3
1749	2
1750	20
1751	2
1752	4
1754	3
1755	3
1756	4
1757	8
1758	3
1759	15
1760	16
1761	1
1762	1
1763	1
1764	3
1767	1
1768	2
1769	1
1770	1
1771	3
1772	1
1774	1
1775	1
1776	7
1777	1
1778	2
1780	1
1783	1
1784	2
1785	3
1787	1
1788	2
1789	2
1791	10
1792	3
1795	1
1796	1
1798	1
1799	1
1800	1
1801	1
1806	3
1808	1
1809	1
1810	4
1811	2
1812	2
1813	5
1814	2
1815	3
1816	1
1817	1
1818	1
1820	1
1821	5
1823	2
1825	1
1826	2
1827	4
1828	2
1830	1
1831	4
1832	15
1833	2
1834	19
1835	2
1836	1
1837	1
1838	1
1839	1
1840	2
1841	1
1842	2
1843	3
1844	3
1845	5
1847	2
1848	12
1849	2
1850	5
1851	3
1852	16
1853	2
1854	1
1857	2
1858	1
1859	4
1860	7
