BISCUITqc Depth Distribution (high GC, Q40)
depth	count
0	185649304
1	29857561
2	20769146
3	9969768
4	6765525
5	3798678
6	2580303
7	1581079
8	1096039
9	703023
10	505097
11	335289
12	249481
13	170828
14	134243
15	89482
16	76318
17	51271
18	45395
19	30368
20	28903
21	19396
22	20159
23	13133
24	14487
25	9082
26	11323
27	6853
28	8897
29	5094
30	7093
31	4092
32	5752
33	3529
34	5274
35	3100
36	4248
37	2470
38	3309
39	2305
40	3136
41	2030
42	2888
43	1922
44	2712
45	1716
46	2615
47	1385
48	2135
49	1355
50	2432
51	1506
52	1916
53	1233
54	1856
55	1092
56	1608
57	1215
58	1548
59	955
60	1367
61	920
62	1443
63	937
64	1235
65	963
66	1154
67	744
68	1105
69	648
70	1103
71	663
72	1120
73	665
74	997
75	608
76	1041
77	537
78	785
79	454
80	742
81	491
82	742
83	443
84	801
85	535
86	561
87	529
88	610
89	530
90	740
91	393
92	500
93	421
94	608
95	405
96	513
97	329
98	617
99	478
100	557
101	281
102	574
103	400
104	442
105	244
106	500
107	289
108	372
109	417
110	445
111	297
112	410
113	234
114	461
115	265
116	369
117	276
118	457
119	253
120	403
121	242
122	258
123	206
124	238
125	209
126	282
127	247
128	299
129	200
130	324
131	207
132	323
133	143
134	386
135	178
136	173
137	150
138	256
139	246
140	311
141	177
142	292
143	195
144	200
145	179
146	242
147	214
148	261
149	185
150	283
151	185
152	277
153	125
154	187
155	123
156	158
157	145
158	203
159	140
160	162
161	125
162	167
163	128
164	178
165	145
166	134
167	173
168	178
169	111
170	304
171	134
172	165
173	142
174	188
175	131
176	290
177	176
178	141
179	157
180	187
181	85
182	109
183	99
184	147
185	86
186	197
187	137
188	176
189	130
190	121
191	92
192	134
193	94
194	133
195	115
196	175
197	128
198	201
199	80
200	88
201	89
202	148
203	98
204	123
205	137
206	140
207	93
208	137
209	128
210	112
211	74
212	151
213	126
214	133
215	123
216	63
217	86
218	133
219	74
220	113
221	83
222	127
223	79
224	115
225	122
226	118
227	82
228	96
229	67
230	69
231	69
232	126
233	59
234	92
235	86
236	157
237	132
238	172
239	61
240	59
241	81
242	101
243	84
244	134
245	74
246	88
247	66
248	137
249	99
250	105
251	76
252	120
253	64
254	65
255	68
256	73
257	72
258	121
259	64
260	128
261	48
262	85
263	52
264	105
265	65
266	58
267	64
268	133
269	77
270	116
271	64
272	110
273	45
274	51
275	51
276	78
277	74
278	64
279	59
280	119
281	82
282	132
283	63
284	50
285	74
286	109
287	58
288	57
289	91
290	51
291	55
292	51
293	44
294	55
295	48
296	57
297	38
298	78
299	95
300	56
301	50
302	78
303	72
304	77
305	98
306	78
307	57
308	89
309	52
310	84
311	70
312	83
313	65
314	46
315	63
316	68
317	31
318	47
319	41
320	61
321	38
322	59
323	64
324	38
325	56
326	57
327	42
328	26
329	45
330	40
331	40
332	40
333	56
334	58
335	44
336	77
337	67
338	43
339	52
340	42
341	39
342	51
343	22
344	29
345	26
346	19
347	30
348	27
349	22
350	29
351	40
352	24
353	41
354	41
355	28
