BISCUITqc Frequency of Total Retention per Read Table
CTXT	numRET	Cnt
CA	0	10031055
CA	1	2011526
CA	2	566910
CA	3	209975
CA	4	84854
CA	5	30249
CA	6	11454
CA	7	5598
CA	8	3607
CA	9	2661
CA	10	2198
CA	11	1731
CA	12	1399
CA	13	1071
CA	14	873
CA	15	767
CA	16	640
CA	17	513
CA	18	433
CA	19	422
CA	20	373
CA	21	433
CA	22	399
CA	23	400
CA	24	470
CA	25	472
CA	26	507
CA	27	545
CA	28	545
CA	29	618
CA	30	590
CA	31	610
CA	32	589
CA	33	515
CA	34	468
CA	35	393
CA	36	368
CA	37	257
CA	38	238
CA	39	191
CA	40	138
CA	41	109
CA	42	58
CA	43	46
CA	44	42
CA	45	21
CA	46	12
CA	47	8
CA	48	4
CA	49	1
CC	0	10394443
CC	1	1334611
CC	2	435151
CC	3	231646
CC	4	147507
CC	5	111686
CC	6	90711
CC	7	67097
CC	8	56646
CC	9	41907
CC	10	24614
CC	11	14141
CC	12	8369
CC	13	5192
CC	14	3266
CC	15	2417
CC	16	1769
CC	17	1253
CC	18	1047
CC	19	776
CC	20	620
CC	21	471
CC	22	389
CC	23	301
CC	24	247
CC	25	178
CC	26	151
CC	27	107
CC	28	99
CC	29	71
CC	30	63
CC	31	46
CC	32	51
CC	33	49
CC	34	37
CC	35	38
CC	36	17
CC	37	36
CC	38	17
CC	39	20
CC	40	17
CC	41	8
CC	42	11
CC	43	7
CC	44	7
CC	45	8
CC	46	3
CC	47	5
CC	48	4
CC	49	4
CC	50	8
CC	51	3
CC	52	9
CC	53	3
CC	59	1
CC	66	1
CG	0	6908138
CG	1	3693901
CG	2	1619360
CG	3	543751
CG	4	144669
CG	5	44688
CG	6	14492
CG	7	5233
CG	8	1879
CG	9	681
CG	10	307
CG	11	133
CG	12	54
CG	13	34
CG	14	16
CG	15	10
CG	16	5
CG	17	1
CG	18	2
CG	21	1
CG	23	1
CT	0	10488184
CT	1	1757714
CT	2	467770
CT	3	158490
CT	4	54458
CT	5	20150
CT	6	9475
CT	7	5714
CT	8	3693
CT	9	2595
CT	10	1732
CT	11	1339
CT	12	883
CT	13	634
CT	14	451
CT	15	386
CT	16	325
CT	17	235
CT	18	238
CT	19	215
CT	20	239
CT	21	206
CT	22	246
CT	23	204
CT	24	200
CT	25	218
CT	26	194
CT	27	202
CT	28	185
CT	29	190
CT	30	177
CT	31	122
CT	32	106
CT	33	78
CT	34	40
CT	35	28
CT	36	16
CT	37	14
CT	38	5
CT	39	3
CT	40	1
CT	45	1
