BISCUITqc Mapping Quality Table
MapQ	Count
unmapped	12264216
0	13113957
1	159295
2	102311
3	207803
4	129772
5	130906
6	251447
7	249698
8	55680
9	452341
10	68672
11	55906
12	137337
13	78484
14	36127
15	118473
16	53951
17	51841
18	117674
19	118676
20	25145
21	208528
22	32431
23	30807
24	62291
25	44865
26	29404
27	61046
28	42057
29	37950
30	82758
31	78487
32	15672
33	122595
34	19485
35	19796
36	48628
37	30152
38	18486
39	41559
40	1715740
41	46994
42	59310
43	93017
44	110513
45	185859
46	585871
47	46042
48	54263
49	81017
50	77156
51	72340
52	278430
53	43938
54	45428
55	66539
56	29285
57	51142
58	146641
59	34704
60	8620370
