CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	599238	171977	77.70	771215
2	427026	116991	78.49	544017
3	472543	157869	74.96	630412
4	625293	174235	78.21	799528
5	574846	176496	76.51	751342
6	609478	210010	74.37	819488
7	553579	177211	75.75	730790
8	633320	206958	75.37	840278
9	651494	206782	75.91	858276
10	618776	200672	75.51	819448
11	611346	197882	75.55	809228
12	623199	199586	75.74	822785
13	622081	200035	75.67	822116
14	626081	200954	75.70	827035
15	630333	203065	75.63	833398
16	638095	204924	75.69	843019
17	640145	205905	75.66	846050
18	644962	207162	75.69	852124
19	646136	206662	75.77	852798
20	651042	207402	75.84	858444
21	650973	207425	75.84	858398
22	654266	206318	76.03	860584
23	654108	206668	75.99	860776
24	653970	206665	75.99	860635
25	655531	207170	75.99	862701
26	655490	206917	76.01	862407
27	654469	206289	76.03	860758
28	656557	205536	76.16	862093
29	655202	206082	76.07	861284
30	661475	206648	76.20	868123
31	658673	206199	76.16	864872
32	655429	204824	76.19	860253
33	656242	204676	76.23	860918
34	654741	204165	76.23	858906
35	653050	204148	76.18	857198
36	657316	204414	76.28	861730
37	652002	203713	76.19	855715
38	652188	203151	76.25	855339
39	652808	203552	76.23	856360
40	652056	202861	76.27	854917
41	650241	201918	76.31	852159
42	651834	201301	76.40	853135
43	649977	201139	76.37	851116
44	645445	200208	76.33	845653
45	644957	200049	76.33	845006
46	642927	199257	76.34	842184
47	642172	198060	76.43	840232
48	637992	198598	76.26	836590
49	636668	196718	76.40	833386
50	633336	194328	76.52	827664
51	629356	194856	76.36	824212
52	626887	194182	76.35	821069
53	624049	193333	76.35	817382
54	619716	192640	76.29	812356
55	616292	190433	76.39	806725
56	611572	189313	76.36	800885
57	608771	188138	76.39	796909
58	603190	186387	76.39	789577
59	597776	185184	76.35	782960
60	594315	183812	76.38	778127
61	590938	183306	76.32	774244
62	582945	181316	76.28	764261
63	578925	180688	76.21	759613
64	571628	178974	76.16	750602
65	567193	176576	76.26	743769
66	561501	175843	76.15	737344
67	552802	174795	75.98	727597
68	545327	172301	75.99	717628
69	540185	170522	76.01	710707
70	530656	168721	75.88	699377
71	526343	165904	76.03	692247
72	517354	163787	75.95	681141
73	512767	161844	76.01	674611
74	506314	161319	75.84	667633
75	492367	155659	75.98	648026
76	493380	156615	75.91	649995
77	486809	155883	75.75	642692
78	475645	154657	75.46	630302
79	469748	153406	75.38	623154
80	458294	151445	75.16	609739
81	451526	149981	75.07	601507
82	440327	147539	74.90	587866
83	434439	145693	74.89	580132
84	422268	142186	74.81	564454
85	411771	139793	74.66	551564
86	400161	137170	74.47	537331
87	391852	134969	74.38	526821
88	376925	130845	74.23	507770
89	370070	128393	74.24	498463
90	353680	125134	73.87	478814
91	343442	121762	73.83	465204
92	326784	118244	73.43	445028
93	316320	113453	73.60	429773
94	295167	108145	73.19	403312
95	280086	104754	72.78	384840
96	258376	98338	72.43	356714
97	238478	91227	72.33	329705
98	216690	84758	71.88	301448
99	197503	79667	71.26	277170
100	178861	75128	70.42	253989
101	131989	66865	66.37	198854

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	141808	4006984	3.42	4148792
2	63646	3470935	1.80	3534581
3	47693	3795832	1.24	3843525
4	46645	3904132	1.18	3950777
5	38511	3811764	1.00	3850275
6	38421	3982226	0.96	4020647
7	37584	3985612	0.93	4023196
8	39295	4278449	0.91	4317744
9	40209	4254300	0.94	4294509
10	39003	4169851	0.93	4208854
11	38221	4149842	0.91	4188063
12	38406	4178071	0.91	4216477
13	38231	4184510	0.91	4222741
14	39034	4215704	0.92	4254738
15	38991	4225477	0.91	4264468
16	39047	4253748	0.91	4292795
17	38933	4251509	0.91	4290442
18	39137	4263175	0.91	4302312
19	39185	4277550	0.91	4316735
20	39713	4295366	0.92	4335079
21	39792	4306397	0.92	4346189
22	39909	4299585	0.92	4339494
23	39722	4305720	0.91	4345442
24	40061	4318839	0.92	4358900
25	39470	4306836	0.91	4346306
26	39643	4298989	0.91	4338632
27	39821	4308346	0.92	4348167
28	40190	4315962	0.92	4356152
29	39834	4317091	0.91	4356925
30	39901	4317973	0.92	4357874
31	40130	4310275	0.92	4350405
32	40021	4295172	0.92	4335193
33	39962	4290620	0.92	4330582
34	39802	4285711	0.92	4325513
35	39254	4278194	0.91	4317448
36	39495	4280698	0.91	4320193
37	39588	4293964	0.91	4333552
38	39906	4279645	0.92	4319551
39	39391	4271967	0.91	4311358
40	39825	4264727	0.93	4304552
41	39866	4262313	0.93	4302179
42	39444	4249795	0.92	4289239
43	39541	4251036	0.92	4290577
44	39055	4228638	0.92	4267693
45	39020	4225194	0.92	4264214
46	39131	4208426	0.92	4247557
47	38782	4207029	0.91	4245811
48	38522	4190486	0.91	4229008
49	38678	4178315	0.92	4216993
50	38699	4161760	0.92	4200459
51	38587	4143725	0.92	4182312
52	38349	4126032	0.92	4164381
53	38228	4117912	0.92	4156140
54	37690	4097242	0.91	4134932
55	37355	4074434	0.91	4111789
56	37065	4055262	0.91	4092327
57	36892	4042116	0.90	4079008
58	37015	4010568	0.91	4047583
59	36665	3990451	0.91	4027116
60	36605	3970251	0.91	4006856
61	36663	3942261	0.92	3978924
62	35819	3923629	0.90	3959448
63	35476	3891787	0.90	3927263
64	34869	3856827	0.90	3891696
65	34891	3831543	0.90	3866434
66	34239	3791102	0.90	3825341
67	34045	3763289	0.90	3797334
68	33620	3720535	0.90	3754155
69	33465	3692409	0.90	3725874
70	33291	3646139	0.90	3679430
71	32897	3619611	0.90	3652508
72	32397	3572516	0.90	3604913
73	32576	3568036	0.90	3600612
74	31225	3469768	0.89	3500993
75	31226	3425418	0.90	3456644
76	30812	3342728	0.91	3373540
77	30439	3344904	0.90	3375343
78	29509	3316142	0.88	3345651
79	29464	3294944	0.89	3324408
80	28681	3251177	0.87	3279858
81	28445	3211194	0.88	3239639
82	28147	3157306	0.88	3185453
83	27679	3119632	0.88	3147311
84	26579	3045300	0.87	3071879
85	26115	3002507	0.86	3028622
86	25620	2929493	0.87	2955113
87	25123	2880070	0.86	2905193
88	24212	2799037	0.86	2823249
89	23754	2742123	0.86	2765877
90	22832	2666653	0.85	2689485
91	22196	2598031	0.85	2620227
92	21398	2513902	0.84	2535300
93	20839	2425664	0.85	2446503
94	19394	2326085	0.83	2345479
95	18563	2243658	0.82	2262221
96	17068	2120801	0.80	2137869
97	15765	2026653	0.77	2042418
98	14851	1934650	0.76	1949501
99	13497	1869565	0.72	1883062
100	13156	1756434	0.74	1769590
101	10171	1524143	0.66	1534314

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	386065	10984140	3.40	11370205
2	205060	9822609	2.04	10027669
3	152039	10347328	1.45	10499367
4	157811	10711358	1.45	10869169
5	137769	11071585	1.23	11209354
6	143219	12060883	1.17	12204102
7	133296	11547324	1.14	11680620
8	135379	11926799	1.12	12062178
9	135767	11774491	1.14	11910258
10	131339	11557062	1.12	11688401
11	128998	11421554	1.12	11550552
12	127948	11397695	1.11	11525643
13	126549	11298795	1.11	11425344
14	128117	11299712	1.12	11427829
15	127532	11306396	1.12	11433928
16	128371	11287825	1.12	11416196
17	127913	11278620	1.12	11406533
18	127891	11311771	1.12	11439662
19	127092	11301702	1.11	11428794
20	127395	11289468	1.12	11416863
21	127110	11259125	1.12	11386235
22	127190	11240935	1.12	11368125
23	126895	11240267	1.12	11367162
24	127326	11218655	1.12	11345981
25	126099	11187853	1.11	11313952
26	125921	11169770	1.11	11295691
27	125942	11176804	1.11	11302746
28	125871	11156514	1.12	11282385
29	126084	11133692	1.12	11259776
30	125249	11119838	1.11	11245087
31	125231	11077377	1.12	11202608
32	124950	11033242	1.12	11158192
33	123139	11043155	1.10	11166294
34	123172	11012153	1.11	11135325
35	122549	10988613	1.10	11111162
36	123608	10987799	1.11	11111407
37	124036	10964513	1.12	11088549
38	124336	10957939	1.12	11082275
39	123557	10944250	1.12	11067807
40	123547	10930346	1.12	11053893
41	123887	10912219	1.12	11036106
42	123204	10892953	1.12	11016157
43	122316	10871749	1.11	10994065
44	121359	10857388	1.11	10978747
45	121208	10847129	1.11	10968337
46	120186	10819210	1.10	10939396
47	120069	10796687	1.10	10916756
48	119657	10770281	1.10	10889938
49	120157	10749348	1.11	10869505
50	119802	10707755	1.11	10827557
51	119137	10685308	1.10	10804445
52	118281	10644721	1.10	10763002
53	117617	10618678	1.10	10736295
54	117625	10601634	1.10	10719259
55	116317	10565595	1.09	10681912
56	116053	10535150	1.09	10651203
57	115786	10502842	1.09	10618628
58	114908	10450587	1.09	10565495
59	114365	10400056	1.09	10514421
60	113755	10377782	1.08	10491537
61	112919	10329521	1.08	10442440
62	111857	10286507	1.08	10398364
63	111586	10241343	1.08	10352929
64	110800	10175030	1.08	10285830
65	110053	10118914	1.08	10228967
66	109043	10069262	1.07	10178305
67	107890	9999640	1.07	10107530
68	107497	9934519	1.07	10042016
69	107353	9875634	1.08	9982987
70	106606	9789212	1.08	9895818
71	104779	9722465	1.07	9827244
72	103501	9631988	1.06	9735489
73	102360	9525639	1.06	9627999
74	100683	9403715	1.06	9504398
75	100293	9279057	1.07	9379350
76	98771	9229483	1.06	9328254
77	98290	9206966	1.06	9305256
78	96736	9170594	1.04	9267330
79	95560	9092210	1.04	9187770
80	93940	9003400	1.03	9097340
81	93212	8921937	1.03	9015149
82	91455	8803384	1.03	8894839
83	90164	8704321	1.03	8794485
84	87831	8577983	1.01	8665814
85	86719	8470798	1.01	8557517
86	84998	8330615	1.01	8415613
87	83550	8217876	1.01	8301426
88	81868	8065541	1.00	8147409
89	79733	7929990	1.00	8009723
90	77568	7768986	0.99	7846554
91	76158	7602936	0.99	7679094
92	72975	7419268	0.97	7492243
93	71489	7240488	0.98	7311977
94	68519	7031585	0.97	7100104
95	65903	6843055	0.95	6908958
96	62753	6609663	0.94	6672416
97	58879	6391568	0.91	6450447
98	52285	6097830	0.85	6150115
99	46044	5756199	0.79	5802243
100	38009	5077420	0.74	5115429
101	24538	4387351	0.56	4411889

