n_genes_by_counts	total_counts	pct_counts_mt	cellrank_n_genes_by_counts	cellrank_total_counts	cellrank_pct_counts_mt	cell_index
39	935.0	96.79144	5024	4901	1	1
43	955.0	96.5445	5019	4896	2	2
42	728.0	95.46703	5022	4942	3	3
58	1008.0	95.13889	5001	4884	4	4
49	836.0	95.095695	5013	4923	5	5
43	655.0	94.96184	5021	4970	6	6
56	948.0	94.51477	5004	4898	7	7
40	545.0	94.495415	5023	5012	8	8
38	502.0	94.42231	5025	5025	9	9
48	595.0	93.94958	5015	4994	10	10
52	688.0	93.89535	5009	4958	11	11
50	609.0	93.76026	5012	4989	12	12
47	634.0	93.69086	5016	4986	13	13
68	995.0	93.66834	4991	4888	14	14
55	707.0	93.63508	5006	4951	15	15
70	1021.0	93.53575	4989	4882	16	16
56	707.0	93.352196	5003	4952	17	17
51	685.0	93.284676	5010	4961	18	18
43	546.0	93.22344	5020	5011	19	19
46	509.0	93.12377	5018	5021	20	20
60	723.0	93.08437	5000	4944	21	21
62	780.0	93.07692	4995	4932	22	22
53	691.0	93.05354	5008	4957	23	23
47	567.0	92.94533	5017	5003	24	24
92	1227.0	92.74654	4978	4842	25	25
49	564.0	92.7305	5014	5005	26	26
73	932.0	92.596565	4987	4902	27	27
55	648.0	92.59259	5005	4977	28	28
50	503.0	92.047714	5011	5024	29	29
61	695.0	91.942444	4999	4955	30	30
61	634.0	91.79811	4998	4985	31	31
56	562.0	91.63701	5002	5006	32	32
67	728.0	91.34615	4992	4943	33	33
53	506.0	91.30435	5007	5022	34	34
77	764.0	91.09948	4984	4933	35	35
65	705.0	90.92199	4994	4953	36	36
68	637.0	90.58084	4990	4981	37	37
61	538.0	90.52045	4996	5016	38	38
61	560.0	90.17857	4997	5007	39	39
71	631.0	90.17433	4988	4987	40	40
87	757.0	89.82827	4980	4934	41	41
65	560.0	89.10715	4993	5008	42	42
79	659.0	89.074356	4983	4967	43	43
82	743.0	88.69448	4982	4937	44	44
91	713.0	88.07854	4979	4948	45	45
74	571.0	87.7408	4986	5001	46	46
394	3577.0	87.25189	4873	4429	47	47
152	1265.0	87.19367	4967	4834	48	48
76	575.0	86.95652	4985	4999	49	49
200	1722.0	86.875725	4962	4744	50	50
101	700.0	86.0	4975	4954	51	51
86	505.0	84.75248	4981	5023	52	52
104	694.0	84.72623	4974	4956	53	53
100	636.0	84.27673	4976	4982	54	54
93	543.0	82.50461	4977	5015	55	55
120	659.0	82.09408	4972	4969	56	56
179	965.0	81.1399	4964	4891	57	57
266	1646.0	81.04496	4938	4757	58	58
222	1207.0	79.70174	4951	4846	59	59
112	574.0	79.442505	4973	5000	60	60
256	1443.0	79.34858	4939	4796	61	61
137	634.0	78.70662	4970	4984	62	62
144	650.0	78.30769	4969	4973	63	63
128	546.0	74.908424	4971	5010	64	64
294	1394.0	73.17073	4925	4810	65	65
232	962.0	72.03742	4949	4894	66	66
307	1416.0	72.0339	4913	4806	67	67
148	606.0	71.617165	4968	4992	68	68
207	805.0	70.80745	4957	4928	69	69
403	1857.0	69.89768	4866	4715	70	70
361	1600.0	69.5	4891	4767	71	71
207	741.0	69.09582	4958	4940	72	72
369	1338.0	68.011955	4887	4817	73	73
200	838.0	67.6611	4961	4921	74	74
241	869.0	67.548904	4945	4916	75	75
284	1136.0	67.42958	4930	4862	76	76
454	1995.0	67.3183	4842	4686	77	77
298	1112.0	66.726616	4923	4866	78	78
273	1042.0	66.50672	4935	4880	79	79
302	1138.0	66.25659	4919	4859	80	80
362	1494.0	66.19813	4890	4788	81	81
208	673.0	66.12184	4956	4962	82	82
302	1057.0	66.03595	4918	4872	83	83
255	956.0	65.79498	4940	4895	84	84
322	1301.0	65.48809	4905	4825	85	85
551	2259.0	65.25011	4790	4627	86	86
235	834.0	65.22782	4947	4924	87	87
244	809.0	65.01854	4944	4926	88	88
219	709.0	64.73907	4952	4949	89	89
203	718.0	64.623955	4960	4947	90	90
722	2950.0	64.0	4707	4505	91	91
164	594.0	63.804714	4965	4996	92	92
208	649.0	63.174118	4954	4975	93	93
5160	46913.0	62.89941	21	1	94	94
514	1939.0	62.764313	4813	4695	95	95
213	650.0	62.307693	4953	4974	96	96
539	2122.0	62.252594	4797	4654	97	97
431	1529.0	62.197514	4850	4780	98	98
330	1128.0	62.05674	4902	4864	99	99
316	1075.0	61.30233	4908	4870	100	100
456	1444.0	61.149586	4840	4795	101	101
378	1427.0	60.686756	4884	4801	102	102
189	571.0	60.420315	4963	5002	103	103
304	996.0	60.040157	4916	4887	104	104
252	744.0	59.67742	4942	4936	105	105
293	937.0	59.658485	4927	4900	106	106
498	1628.0	59.152336	4820	4761	107	107
459	1500.0	58.999996	4838	4785	108	108
313	1191.0	58.606213	4911	4851	109	109
434	1220.0	57.86885	4849	4843	110	110
406	1267.0	57.8532	4863	4833	111	111
610	2033.0	57.79636	4764	4678	112	112
532	1773.0	57.30401	4801	4730	113	113
657	2295.0	57.124184	4738	4620	114	114
307	1048.0	57.06107	4914	4877	115	115
359	987.0	56.636272	4894	4889	116	116
658	2291.0	56.35094	4737	4621	117	117
308	857.0	56.242706	4912	4919	118	118
273	723.0	55.87829	4934	4945	119	119
1428	5664.0	55.13771	4344	3985	120	120
462	1445.0	54.18685	4836	4794	121	121
228	608.0	54.111843	4950	4991	122	122
240	671.0	54.098362	4946	4963	123	123
301	834.0	53.956837	4920	4925	124	124
268	687.0	53.85735	4937	4959	125	125
490	1305.0	53.639847	4823	4824	126	126
782	2315.0	53.52052	4668	4616	127	127
381	1050.0	53.428574	4883	4876	128	128
246	640.0	53.281246	4943	4979	129	129
346	962.0	53.118504	4898	4893	130	130
391	1326.0	52.790348	4877	4820	131	131
545	1495.0	52.77592	4794	4787	132	132
619	1844.0	52.49458	4761	4718	133	133
520	1380.0	52.173912	4808	4812	134	134
502	1763.0	52.07034	4818	4735	135	135
1011	3579.0	51.886005	4547	4428	136	136
527	1496.0	51.270058	4805	4786	137	137
968	3527.0	51.261692	4571	4434	138	138
649	2208.0	51.132244	4742	4642	139	139
476	1219.0	50.861366	4831	4845	140	140
517	1430.0	50.769234	4810	4800	141	141
352	867.0	50.634373	4897	4918	142	142
451	1136.0	50.44014	4844	4861	143	143
687	2214.0	50.090336	4729	4640	144	144
392	1136.0	50.08803	4874	4860	145	145
529	1536.0	49.739586	4803	4778	146	146
530	1701.0	49.500294	4802	4747	147	147
300	906.0	49.22737	4922	4909	148	148
404	1271.0	49.0952	4865	4832	149	149
592	1766.0	48.867496	4776	4734	150	150
394	1295.0	48.72587	4872	4828	151	151
294	846.0	48.699764	4926	4920	152	152
605	2055.0	48.515816	4768	4672	153	153
925	3177.0	48.253067	4585	4466	154	154
486	1295.0	48.10811	4824	4827	155	155
301	796.0	47.864323	4921	4930	156	156
424	1307.0	47.666412	4852	4822	157	157
524	1486.0	47.57739	4807	4789	158	158
684	1615.0	47.368423	4732	4765	159	159
551	1442.0	47.364773	4792	4797	160	160
700	1860.0	47.2043	4726	4712	161	161
516	1732.0	47.113167	4811	4742	162	162
353	921.0	47.014114	4896	4905	163	163
482	1416.0	46.539547	4826	4807	164	164
539	1875.0	46.239998	4798	4706	165	165
394	896.0	46.205357	4871	4911	166	166
390	1046.0	45.984703	4878	4879	167	167
313	643.0	45.72317	4910	4978	168	168
515	1291.0	45.623547	4812	4829	169	169
303	743.0	45.356663	4917	4938	170	170
375	1008.0	45.238094	4886	4885	171	171
748	2239.0	45.020096	4693	4633	172	172
473	1240.0	45.0	4832	4838	173	173
419	916.0	44.978165	4857	4907	174	174
540	1419.0	44.53841	4795	4804	175	175
