#plotPCA --outFileNameData
Component	Example_130.dedup.sorted.bam	Example_120.dedup.sorted.bam	Example_119.dedup.sorted.bam	Example_103.dedup.sorted.bam	Example_129.dedup.sorted.bam	Example_125.dedup.sorted.bam	Example_109.dedup.sorted.bam	Example_115.dedup.sorted.bam	Example_114.dedup.sorted.bam	Example_124.dedup.sorted.bam	Example_102.dedup.sorted.bam	Example_132.dedup.sorted.bam	Example_122.dedup.sorted.bam	Example_105.dedup.sorted.bam	Example_126.dedup.sorted.bam	Example_117.dedup.sorted.bam	Example_127.dedup.sorted.bam	Example_116.dedup.sorted.bam	Example_121.dedup.sorted.bam	Example_131.dedup.sorted.bam	Example_110.dedup.sorted.bam	Example_104.dedup.sorted.bam	Example_112.dedup.sorted.bam	Example_106.dedup.sorted.bam	Example_108.dedup.sorted.bam	Example_111.dedup.sorted.bam	Example_113.dedup.sorted.bam	Example_133.dedup.sorted.bam	Example_128.dedup.sorted.bam	Example_118.dedup.sorted.bam	Example_101.dedup.sorted.bam	Example_107.dedup.sorted.bam	Example_123.dedup.sorted.bam	Eigenvalue
1	0.0344995021729	0.106307387799	0.197411037525	0.0441228588438	0.206179756772	0.0594949660465	0.0945041443366	0.0590294179627	0.197671284319	0.207103041224	0.207532240738	0.168606798423	0.189711121453	0.197987441467	0.110386852093	0.203078431088	0.197362678636	0.0873293366664	0.161562803855	0.181521839679	0.14647116746	0.13843197828	0.208316534994	0.20904696209	0.198916793017	0.204835443899	0.205218303832	0.204517332129	0.206870867875	0.204932531314	0.204818196491	0.199907677661	0.201315178377	22017.9418458
2	0.352562977648	0.323572551052	-0.0205785964714	0.356303579389	-0.0084364187999	0.33116189271	0.329217112603	0.35578375889	-0.0133999221787	-0.024299407921	-0.012509147767	0.142136447917	0.115727054518	0.0815450377327	-0.20498875392	0.0719196579405	0.0803239796513	-0.227737203597	-0.190595988894	-0.14132579169	-0.197174352764	-0.207792472359	-0.00855687650161	-0.0241082801096	-0.0230852550373	0.0530311900812	-0.0342463064733	-0.0318155437361	-0.0367485905882	-0.037665646106	-0.0380282129679	-0.040426104517	-0.0429991755083	6073.13318272
3	0.199185209461	0.14330841704	-0.0262708135925	0.201508631696	-0.0769724299962	0.170964563596	0.16432236546	0.191999676314	-0.0490239539853	-0.0641614294333	-0.0870236477576	0.00169866713951	-0.0103847776703	-0.0499550884917	0.401319376744	-0.0523085391754	-0.0473598646017	0.419163619599	0.261171563775	0.223008103627	0.314663674478	0.327181321058	-0.0934831505618	-0.0845257449669	-0.0896034715965	-0.0800203608759	-0.11050815256	-0.117642051992	-0.0905008775581	-0.105430745231	-0.10700311742	-0.12738566392	-0.116980694681	2921.60440238
4	0.0330763193112	0.0113441764389	0.238055704566	0.118173403159	0.133712864857	0.199157074352	0.140999674474	0.105284439707	0.241449574302	0.129771249362	0.115355782778	-0.497977866839	-0.369153092524	-0.310672352778	-0.0347932462433	-0.236713132365	-0.30173253677	-0.0398071544714	-0.00457144216854	-0.00307848222166	-0.0111151089592	-0.0134926800937	0.0414311146033	0.0505084450546	0.200112463846	-0.195606700214	0.068628435302	0.0704508804542	0.0664960417041	0.0704543062674	0.0718059270635	0.083316098446	0.0804792642217	779.444254569
5	0.066231482429	0.0723085447018	-0.399005762437	0.0568920018532	-0.215130170815	0.0276879499035	0.0388127504822	0.0507351986153	-0.388277141855	-0.202810358172	-0.157552795509	-0.14319349142	-0.0658630523463	-0.0849754062742	0.00809722819446	-0.0519087734246	-0.0569930582585	-0.0114751022976	0.0282465721441	0.0319257900561	0.0317695798627	0.0368337924951	0.0365300672576	0.0951543850461	-0.28152316609	-0.0467540351537	0.216572928548	0.226758587005	0.196570479461	0.230963498666	0.229555708338	0.31029898559	0.294271015112	523.236537695
6	0.22194735799	-0.212851739625	0.0286415197459	0.342080846404	-0.0366181650356	-0.743657131284	0.265203525804	0.102989899877	0.0437195868763	0.0335494461556	-0.0108123768284	0.23760070879	-0.129287288617	-0.0209185479883	0.0361328111548	-0.0493966009107	-0.214438986341	-0.000689725646472	0.0169703530381	-0.0635450270739	-0.0179327100069	-0.0114216768546	-0.0506690434512	-0.0240189608837	0.0966841157851	0.0241672179499	0.0209170548813	0.0219584857238	0.0119073842372	0.0245438954258	0.0275978829939	0.0556877074344	0.0491478501444	213.627161486
7	-0.720654664693	0.0260525216835	-0.0809133825728	0.359563217708	0.0350667120192	-0.0846316429197	0.395424249419	0.0117421157833	-0.0822430508711	-0.0111325132391	0.0243037396678	-0.289239725808	0.112938250357	0.143266300106	-0.00194653906363	0.102904029114	0.0135291515873	-0.0142160019303	-0.00989483621966	0.0598532108017	0.0022674078186	-0.00788770010755	0.0662131958788	0.0330496330914	-0.0756264475981	0.109179957667	-0.0284909656222	-0.035537345514	-0.0206544804394	-0.0405780127571	-0.0423024544125	-0.0738089746847	-0.0748973013924	142.828528091
8	0.129922169712	0.550661023933	-0.0102196297104	-0.179739441721	0.15027732196	-0.4570585594	-0.165822501428	0.188594822002	-0.0617345744023	0.111874657354	0.106999019938	-0.30369458218	0.0184076112352	-0.0467266921363	0.00057010778251	0.0659615166879	0.0783257747196	-0.0700005103643	0.0361467564786	0.103608854457	-0.00766843349601	-0.0412880161285	0.260190065741	0.142886329181	-0.238869237972	-0.0863030041192	-0.0225397382945	-0.0268955299785	0.00914193572674	-0.0440522230686	-0.0647479561917	-0.148451002862	-0.138216247709	84.7462588948
9	-0.402347278654	0.312877401719	0.061509948773	-0.143569710462	-0.123872671777	-0.087063104348	-0.227352123866	0.548343059945	0.126814027307	-0.0784322073648	-0.12849747547	0.200508255689	0.0930916328305	-0.0978660015987	0.0483848014799	-0.0391941114539	-0.133125969297	0.0441627392351	-0.0412905415399	-0.108727091255	-0.00852200532739	0.0235339377345	-0.271206763988	-0.159392361168	0.237205491172	-0.0574731459803	0.0168356328837	0.0238518831496	-0.00855503046403	0.0449750607137	0.0523987530143	0.14611843701	0.141656279873	63.0486565835
10	0.187396539723	0.236855377348	-0.228643857068	0.0940300258658	-0.145151707087	-0.129370630352	-0.0380535218187	-0.291977219219	-0.0159313011701	0.00693931962376	-0.0176135825832	-0.402883163541	0.193961396765	0.140710747779	0.108047893186	-0.0906064904565	0.207572459431	0.0645329865739	-0.0713223847116	-0.065027169933	-0.0339563200062	-0.0118813705996	-0.252584529152	-0.123112571058	0.569995185027	0.105034749179	-0.022207012725	-0.0248291716093	-0.0415450007501	-0.0063422268544	0.0369475454257	0.0465304926816	0.0614608492825	39.5355779548
