COVERAGE SUMMARY,,Aligned bases,6818958437
COVERAGE SUMMARY,,Aligned bases in genome,6818958437,100.00
COVERAGE SUMMARY,,Average alignment coverage over genome,2.28
COVERAGE SUMMARY,,Uniformity of coverage (PCT > 0.2*mean) over genome,7.11
COVERAGE SUMMARY,,Uniformity of coverage (PCT > 0.4*mean) over genome,7.11
COVERAGE SUMMARY,,PCT of genome with coverage [1500x: inf),0.00
COVERAGE SUMMARY,,PCT of genome with coverage [1000x: inf),0.00
COVERAGE SUMMARY,,PCT of genome with coverage [ 500x: inf),0.00
COVERAGE SUMMARY,,PCT of genome with coverage [ 100x: inf),0.85
COVERAGE SUMMARY,,PCT of genome with coverage [  50x: inf),1.77
COVERAGE SUMMARY,,PCT of genome with coverage [  20x: inf),2.57
COVERAGE SUMMARY,,PCT of genome with coverage [  15x: inf),2.81
COVERAGE SUMMARY,,PCT of genome with coverage [  10x: inf),3.14
COVERAGE SUMMARY,,PCT of genome with coverage [   3x: inf),4.15
COVERAGE SUMMARY,,PCT of genome with coverage [   1x: inf),7.11
COVERAGE SUMMARY,,PCT of genome with coverage [   0x: inf),100.00
COVERAGE SUMMARY,,PCT of genome with coverage [1000x:1500x),0.00
COVERAGE SUMMARY,,PCT of genome with coverage [ 500x:1000x),0.00
COVERAGE SUMMARY,,PCT of genome with coverage [ 100x: 500x),0.85
COVERAGE SUMMARY,,PCT of genome with coverage [  50x: 100x),0.92
COVERAGE SUMMARY,,PCT of genome with coverage [  20x:  50x),0.80
COVERAGE SUMMARY,,PCT of genome with coverage [  15x:  20x),0.24
COVERAGE SUMMARY,,PCT of genome with coverage [  10x:  15x),0.33
COVERAGE SUMMARY,,PCT of genome with coverage [   3x:  10x),1.01
COVERAGE SUMMARY,,PCT of genome with coverage [   1x:   3x),2.96
COVERAGE SUMMARY,,PCT of genome with coverage [   0x:   1x),92.89
COVERAGE SUMMARY,,Average chr X coverage over genome,1.20
COVERAGE SUMMARY,,Average chr Y coverage over genome,0.45
COVERAGE SUMMARY,,Average mitochondrial coverage over genome,184.70
COVERAGE SUMMARY,,Average autosomal coverage over genome,2.41
COVERAGE SUMMARY,,Median autosomal coverage over genome,0.00
COVERAGE SUMMARY,,Mean/Median autosomal coverage ratio over genome,inf
COVERAGE SUMMARY,,Aligned reads,69293634
COVERAGE SUMMARY,,Aligned reads in genome,69293634,100.00
