COVERAGE SUMMARY,,Aligned bases,2946670263
COVERAGE SUMMARY,,Aligned bases in QC coverage region,2715483017,8.56
COVERAGE SUMMARY,,Average alignment coverage over QC coverage region,27.64
COVERAGE SUMMARY,,Uniformity of coverage (PCT > 0.2*mean) over QC coverage region,38.82
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [1500x: inf),0.006
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [1000x: inf),0.019
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [ 500x: inf),0.023
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [ 100x: inf),0.03
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [  50x: inf),4.75
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [  20x: inf),56.14
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [  15x: inf),65.14
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [  10x: inf),79.34
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [   3x: inf),84.18
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [   1x: inf),99.97
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [   0x: inf),100.00
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [1000x:1500x),0.0001
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [ 500x:1000x),0.0004
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [ 100x: 500x),0.0007
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [  50x: 100x),0.72
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [  20x:  50x),0.81
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [  15x:  20x),0.76
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [  10x:  15x),0.88
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [   3x:  10x),0.44
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [   1x:   3x),0.16
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [   0x:   1x),0.01
COVERAGE SUMMARY,,Average chr X coverage over QC coverage region,94.78
COVERAGE SUMMARY,,Average chr Y coverage over QC coverage region,118.68
COVERAGE SUMMARY,,Average mitochondrial coverage over QC coverage region,23.8
COVERAGE SUMMARY,,Average autosomal coverage over QC coverage region,25.64
COVERAGE SUMMARY,,Median autosomal coverage over QC coverage region,49.91
COVERAGE SUMMARY,,Mean/Median autosomal coverage ratio over QC coverage region,15.67
COVERAGE SUMMARY,,Aligned reads,2124858553
COVERAGE SUMMARY,,Aligned reads in QC coverage region,2763882560,77.43
