COVERAGE SUMMARY,,Aligned bases,2893234893
COVERAGE SUMMARY,,Aligned bases in target bed,1293045769,63.21
COVERAGE SUMMARY,,Average alignment coverage over target bed,34.27
COVERAGE SUMMARY,,Uniformity of coverage (PCT > 0.2*mean) over target bed,52.65
COVERAGE SUMMARY,,PCT of target bed with coverage [1500x: inf),0.004
COVERAGE SUMMARY,,PCT of target bed with coverage [1000x: inf),0.02
COVERAGE SUMMARY,,PCT of target bed with coverage [ 500x: inf),0.026
COVERAGE SUMMARY,,PCT of target bed with coverage [ 100x: inf),0.038
COVERAGE SUMMARY,,PCT of target bed with coverage [  50x: inf),4.84
COVERAGE SUMMARY,,PCT of target bed with coverage [  20x: inf),53.34
COVERAGE SUMMARY,,PCT of target bed with coverage [  15x: inf),62.96
COVERAGE SUMMARY,,PCT of target bed with coverage [  10x: inf),72.13
COVERAGE SUMMARY,,PCT of target bed with coverage [   3x: inf),88.34
COVERAGE SUMMARY,,PCT of target bed with coverage [   1x: inf),96.96
COVERAGE SUMMARY,,PCT of target bed with coverage [   0x: inf),100.00
COVERAGE SUMMARY,,PCT of target bed with coverage [1000x:1500x),0.001
COVERAGE SUMMARY,,PCT of target bed with coverage [ 500x:1000x),0.0007
COVERAGE SUMMARY,,PCT of target bed with coverage [ 100x: 500x),0.0008
COVERAGE SUMMARY,,PCT of target bed with coverage [  50x: 100x),0.93
COVERAGE SUMMARY,,PCT of target bed with coverage [  20x:  50x),0.79
COVERAGE SUMMARY,,PCT of target bed with coverage [  15x:  20x),0.55
COVERAGE SUMMARY,,PCT of target bed with coverage [  10x:  15x),0.56
COVERAGE SUMMARY,,PCT of target bed with coverage [   3x:  10x),0.92
COVERAGE SUMMARY,,PCT of target bed with coverage [   1x:   3x),0.12
COVERAGE SUMMARY,,PCT of target bed with coverage [   0x:   1x),0.002
COVERAGE SUMMARY,,Average chr X coverage over target bed,47.69
COVERAGE SUMMARY,,Average chr Y coverage over target bed,35.95
COVERAGE SUMMARY,,Average mitochondrial coverage over target bed,25.2
COVERAGE SUMMARY,,Average autosomal coverage over target bed,32.32
COVERAGE SUMMARY,,Median autosomal coverage over target bed,21.29
COVERAGE SUMMARY,,Mean/Median autosomal coverage ratio over target bed,62.24
COVERAGE SUMMARY,,Aligned reads,1893972640
COVERAGE SUMMARY,,Aligned reads in target bed,2299894892,58.29
