Depth,Overall
0,1338540
1,132575
2,149574
3,85329
4,101638
5,74776
6,84031
7,69248
8,76090
9,67132
10,70487
11,66599
12,69862
13,66062
14,69404
15,67568
16,69463
17,68048
18,70521
19,69805
20,73025
21,71723
22,74472
23,74533
24,76043
25,77551
26,77680
27,78984
28,80622
29,81766
30,84082
31,85002
32,87329
33,89146
34,91067
35,92024
36,93999
37,96519
38,98068
39,100402
40,103406
41,104429
42,105652
43,108473
44,109828
45,112406
46,113703
47,115982
48,118851
49,119847
50,122921
51,125484
52,128207
53,130182
54,132542
55,133583
56,135597
57,138890
58,140711
59,143493
60,145201
61,147241
62,150952
63,151611
64,153084
65,156252
66,158322
67,159870
68,162164
69,163786
70,167142
71,168198
72,171136
73,171919
74,175855
75,178130
76,179825
77,182360
78,184143
79,186184
80,188274
81,190781
82,193171
83,195116
84,197031
85,198017
86,200549
87,203737
88,205435
89,205983
90,205981
91,209249
92,209802
93,210593
94,212865
95,214451
96,215722
97,218042
98,216447
99,218925
100,219583
101,221560
102,222896
103,224152
104,225231
105,225153
106,227284
107,227657
108,226555
109,229312
110,229300
111,230960
112,230256
113,231210
114,231015
115,231639
116,232966
117,231692
118,231461
119,231844
120,232309
121,230528
122,231800
123,232675
124,232455
125,230833
126,230401
127,230295
128,229970
129,230576
130,229448
131,228193
132,227211
133,226813
134,226372
135,225413
136,225628
137,224629
138,224595
139,223317
140,222015
141,221376
142,219309
143,217358
144,216843
145,216161
146,216137
147,215460
148,213845
149,211448
150,209588
151,207951
152,207075
153,207001
154,205595
155,204948
156,202548
157,202107
158,201211
159,199435
160,198466
161,195686
162,193139
163,192732
164,191855
165,189128
166,187608
167,185715
168,185004
169,183126
170,181540
171,180487
172,179124
173,177223
174,175827
175,173704
176,173107
177,171153
178,169901
179,168803
180,167107
181,165222
182,164551
183,163212
184,160413
185,158376
186,157413
187,155792
188,153509
189,153764
190,151408
191,149555
192,148255
193,146710
194,145719
195,143463
196,141687
197,139936
198,138712
199,136949
200,135302
201,134714
202,132702
203,131716
204,129496
205,128363
206,126580
207,125101
208,123362
209,122523
210,120639
211,120528
212,119059
213,117103
214,115646
215,114328
216,113179
217,111607
218,110658
219,109462
220,108033
221,106738
222,105856
223,104028
224,102871
225,101876
226,99980
227,99067
228,97160
229,96141
230,95330
231,94326
232,92921
233,92187
234,90396
235,89238
236,88217
237,86819
238,85431
239,85166
240,84584
241,82832
242,81434
243,80918
244,79593
245,79071
246,77620
247,76904
248,76095
249,75096
250,73852
251,73345
252,72475
253,71503
254,70673
255,69715
256,68958
257,68619
258,66873
259,66309
260,65216
261,64466
262,63733
263,63148
264,62531
265,61376
266,60621
267,59839
268,58801
269,58097
270,57761
271,57088
272,55863
273,55128
274,54485
275,54047
276,53565
277,53026
278,52273
279,51504
280,51063
281,50335
282,49412
283,49608
284,48374
285,47158
286,47101
287,46451
288,45719
289,45274
290,44350
291,43691
292,43029
293,42917
294,42220
295,41916
296,41401
297,40800
298,40160
299,39599
300,38993
301,38290
302,37797
303,37199
304,36994
305,36154
306,36253
307,35606
308,35115
309,34737
310,34448
311,34002
312,33729
313,32694
314,32300
315,31917
316,32142
317,31601
318,31048
319,30352
320,30041
321,29443
322,28742
323,28990
324,28277
325,27909
326,27254
327,27266
328,26949
329,26593
330,26323
331,25384
332,25487
333,25080
334,25086
335,24152
336,24182
337,23708
338,23158
339,23022
340,22767
341,22518
342,22090
343,21470
344,21648
345,21451
346,21029
347,20552
348,20652
349,20260
350,20195
351,19624
352,19631
353,19174
354,18916
355,18723
356,18338
357,17900
358,17895
359,17798
360,17783
361,17198
362,16673
363,16617
364,16469
365,16309
366,15947
367,15587
368,15183
369,15291
370,15033
371,15001
372,14713
373,14433
374,14012
375,13860
376,13796
377,13556
378,13301
379,13397
380,13386
381,12812
382,12449
383,12568
384,12410
385,12274
386,12091
387,11674
388,11568
389,11521
390,11334
391,11271
392,11141
393,10774
394,10640
395,10500
396,10463
397,10218
398,10038
399,10042
400,9860
401,9843
402,9362
403,9492
404,9307
405,9290
406,8990
407,8989
408,9032
409,8478
410,8753
411,8555
412,8411
413,8169
414,8033
415,7897
416,7769
417,7671
418,7543
419,7595
420,7373
421,7207
422,7207
423,7010
424,6879
425,6904
426,6707
427,6497
428,6785
429,6438
430,6265
431,6177
432,6305
433,6075
434,6094
435,5959
436,5761
437,5855
438,5631
439,5638
440,5429
441,5500
442,5366
443,5220
444,5257
445,5124
446,4973
447,4917
448,4832
449,4827
450,4839
451,4821
452,4634
453,4466
454,4602
455,4533
456,4407
457,4329
458,4344
459,4144
460,4152
461,4071
462,3972
463,3971
464,4008
465,3928
466,3838
467,3855
468,3823
469,3670
470,3710
471,3665
472,3503
473,3510
474,3379
475,3355
476,3391
477,3333
478,3162
479,3181
480,3070
481,3139
482,3059
483,2945
484,3036
485,3049
486,3014
487,2814
488,2872
489,2829
490,2637
491,2597
492,2663
493,2630
494,2610
495,2577
496,2623
497,2399
498,2412
499,2503
500,2434
501,2444
502,2311
503,2188
504,2378
505,2361
506,2212
507,2205
508,2210
509,2154
510,2081
511,2178
512,2095
513,2069
514,2050
515,1931
516,2036
517,1963
518,1907
519,1854
520,1862
521,1916
522,1846
523,1812
524,1818
525,1776
526,1770
527,1646
528,1680
529,1700
530,1702
531,1626
532,1577
533,1633
534,1556
535,1476
536,1481
537,1456
538,1481
539,1445
540,1483
541,1459
542,1302
543,1407
544,1397
545,1360
546,1343
547,1344
548,1255
549,1348
550,1240
551,1229
552,1252
553,1281
554,1252
555,1205
556,1208
557,1212
558,1194
559,1170
560,1204
561,1101
562,1192
563,1143
564,1112
565,1121
566,1125
567,1143
568,1127
569,1080
570,1055
571,1103
572,1038
573,984
574,1046
575,1040
576,1061
577,979
578,1000
579,908
580,973
581,995
582,897
583,1006
584,999
585,901
586,886
587,923
588,910
589,920
590,851
591,917
592,886
593,894
594,784
595,840
596,790
597,785
598,855
599,788
600,754
601,787
602,808
603,774
604,703
605,749
606,702
607,722
608,692
609,693
610,683
611,689
612,679
613,684
614,692
615,661
616,679
617,649
618,686
619,649
620,646
621,616
622,626
623,657
624,628
625,632
626,605
627,621
628,614
629,622
630,570
631,587
632,607
633,579
634,552
635,536
636,520
637,520
638,558
639,567
640,576
641,561
642,557
643,526
644,558
645,590
646,553
647,545
648,545
649,568
650,545
651,509
652,541
653,519
654,513
655,511
656,524
657,494
658,466
659,481
660,487
661,457
662,442
663,504
664,472
665,460
666,445
667,477
668,476
669,428
670,431
671,415
672,412
673,443
674,423
675,426
676,387
677,398
678,395
679,401
680,423
681,392
682,378
683,369
684,389
685,374
686,364
687,334
688,350
689,339
690,342
691,349
692,343
693,363
694,350
695,322
696,354
697,341
698,372
699,334
700,298
701,306
702,292
703,292
704,278
705,320
706,286
707,311
708,283
709,287
710,291
711,279
712,276
713,299
714,304
715,293
716,282
717,262
718,262
719,256
720,237
721,253
722,283
723,281
724,286
725,277
726,270
727,239
728,228
729,261
730,265
731,245
732,251
733,244
734,228
735,244
736,237
737,231
738,228
739,238
740,255
741,200
742,257
743,222
744,229
745,227
746,216
747,203
748,231
749,214
750,218
751,238
752,222
753,219
754,210
755,218
756,216
757,205
758,206
759,208
760,183
761,199
762,183
763,199
764,191
765,209
766,182
767,203
768,233
769,187
770,183
771,185
772,175
773,178
774,164
775,167
776,185
777,173
778,207
779,179
780,178
781,163
782,169
783,191
784,170
785,172
786,150
787,171
788,160
789,178
790,162
791,156
792,178
793,157
794,123
795,147
796,137
797,146
798,170
799,147
800,131
801,137
802,157
803,137
804,134
805,138
806,137
807,136
808,152
809,147
810,135
811,135
812,130
813,159
814,156
815,129
816,109
817,145
818,134
819,102
820,128
821,109
822,113
823,103
824,109
825,117
826,117
827,105
828,102
829,115
830,108
831,115
832,107
833,119
834,122
835,108
836,121
837,123
838,120
839,101
840,120
841,127
842,119
843,114
844,112
845,103
846,94
847,110
848,98
849,97
850,108
851,117
852,109
853,106
854,108
855,98
856,100
857,101
858,94
859,80
860,97
861,105
862,96
863,103
864,81
865,78
866,100
867,78
868,111
869,92
870,85
871,102
872,104
873,76
874,103
875,93
876,80
877,88
878,99
879,82
880,76
881,82
882,80
883,76
884,84
885,78
886,79
887,86
888,72
889,69
890,64
891,67
892,86
893,80
894,87
895,76
896,65
897,64
898,81
899,76
900,73
901,66
902,71
903,69
904,63
905,69
906,88
907,69
908,73
909,84
910,78
911,75
