COVERAGE SUMMARY,,Aligned bases,139064098059
COVERAGE SUMMARY,,Aligned bases in genome,139064098059,100.00
COVERAGE SUMMARY,,Average alignment coverage over genome,45.61
COVERAGE SUMMARY,,Uniformity of coverage (PCT > 0.2*mean) over genome,95.31
COVERAGE SUMMARY,,PCT of genome with coverage [100x: inf),0.22
COVERAGE SUMMARY,,PCT of genome with coverage [ 50x: inf),44.01
COVERAGE SUMMARY,,PCT of genome with coverage [ 20x: inf),92.79
COVERAGE SUMMARY,,PCT of genome with coverage [ 15x: inf),94.51
COVERAGE SUMMARY,,PCT of genome with coverage [ 10x: inf),95.31
COVERAGE SUMMARY,,PCT of genome with coverage [  3x: inf),96.09
COVERAGE SUMMARY,,PCT of genome with coverage [  1x: inf),96.58
COVERAGE SUMMARY,,PCT of genome with coverage [  0x: inf),100.00
COVERAGE SUMMARY,,PCT of genome with coverage [ 50x:100x),43.78
COVERAGE SUMMARY,,PCT of genome with coverage [ 20x: 50x),48.79
COVERAGE SUMMARY,,PCT of genome with coverage [ 15x: 20x),1.72
COVERAGE SUMMARY,,PCT of genome with coverage [ 10x: 15x),0.80
COVERAGE SUMMARY,,PCT of genome with coverage [  3x: 10x),0.78
COVERAGE SUMMARY,,PCT of genome with coverage [  1x:  3x),0.49
COVERAGE SUMMARY,,PCT of genome with coverage [  0x:  1x),3.42
COVERAGE SUMMARY,,Average chr X coverage over genome,23.18
COVERAGE SUMMARY,,Average chr Y coverage over genome,1.60
COVERAGE SUMMARY,,Average mitochondrial coverage over genome,18694.79
COVERAGE SUMMARY,,Average autosomal coverage over genome,47.50
COVERAGE SUMMARY,,Median autosomal coverage over genome,48.24
COVERAGE SUMMARY,,Mean/Median autosomal coverage ratio over genome,0.98
COVERAGE SUMMARY,,Aligned reads,938046842
COVERAGE SUMMARY,,Aligned reads in genome,938046842,100.00
