Depth,Overall
0,104231614
1,9430586
2,5546235
3,4072360
4,3522951
5,3209758
6,3126135
7,3129561
8,3272394
9,3491873
10,3799001
11,4194418
12,4703510
13,5364896
14,6202844
15,7295003
16,8658976
17,10272420
18,12125830
19,14103967
20,16140942
21,18019229
22,19676743
23,20943688
24,21801489
25,22215122
26,22267490
27,22057911
28,21708394
29,21450568
30,21447748
31,21892945
32,22916058
33,24718539
34,27386360
35,30981006
36,35545181
37,41086873
38,47482226
39,54672552
40,62443523
41,70662385
42,79006179
43,87226282
44,95052802
45,102185760
46,108267826
47,113174211
48,116650590
49,118561427
50,118894227
51,117537963
52,114576464
53,110289140
54,104723794
55,98137369
56,90770462
57,82875128
58,74693779
59,66526015
60,58532551
61,50943870
62,43804391
63,37232537
64,31300466
65,26048707
66,21441198
67,17487624
68,14115069
69,11300987
70,8970208
71,7088158
72,5545540
73,4323148
74,3360754
75,2602405
76,2019281
77,1577880
78,1234728
79,976626
80,779974
81,631208
82,522014
83,439813
84,380640
85,336668
86,301438
87,275683
88,256342
89,240822
90,228598
91,216972
92,208384
93,200090
94,194105
95,188206
96,183997
97,178113
98,173910
99,169180
100,163715
101,158956
102,155160
103,149885
104,144467
105,138946
106,133987
107,128869
108,124213
109,119944
110,115580
111,111252
112,107303
113,102427
114,99053
115,95782
116,92898
117,89240
118,85835
119,82764
120,81377
121,78596
122,76705
123,74391
124,73471
125,70607
126,68526
127,67829
128,65233
129,64828
130,62722
131,61655
132,59954
133,59302
134,58438
135,56682
136,56246
137,55012
138,54094
139,52629
140,51878
141,50491
142,50146
143,49217
144,49021
145,48276
146,46834
147,46409
148,45131
149,44181
150,42799
151,41608
152,40519
153,38822
154,37909
155,37137
156,36046
157,34945
158,34462
159,33231
160,32069
161,31055
162,30293
163,29648
164,28483
165,27838
166,26807
167,26418
168,25254
169,24852
170,24023
171,23632
172,22710
173,22054
174,21133
175,20422
176,19663
177,19422
178,18943
179,18312
180,18208
181,18015
182,17319
183,16916
184,16623
185,16354
186,15911
187,15854
188,15255
189,15215
190,14945
191,15005
192,14636
193,14339
194,14267
195,14078
196,13937
197,13809
198,13527
199,13313
200,13016
201,12837
202,12491
203,12675
204,12623
205,12172
206,12209
207,12049
208,12338
209,11699
210,11789
211,11489
212,11369
213,11375
214,11009
215,11124
216,10725
217,10971
218,10754
219,10811
220,10811
221,10938
222,10679
223,10520
224,10376
225,10389
226,10273
227,10163
228,9831
229,9711
230,9485
231,9274
232,9108
233,9185
234,8951
235,9142
236,8769
237,8757
238,8768
239,8736
240,8646
241,8500
242,8407
243,8289
244,8338
245,8174
246,8282
247,8175
248,8152
249,8307
250,8021
251,7899
252,7640
253,7711
254,7655
255,7676
256,7509
257,7549
258,7382
259,7271
260,7089
261,7099
262,6905
263,6767
264,6496
265,6573
266,6421
267,5954
268,5910
269,5954
270,6174
271,5882
272,5666
273,5620
274,5296
275,5266
276,5471
277,5158
278,4993
279,5101
280,4784
281,4809
282,4671
283,4502
284,4375
285,4388
286,4311
287,4259
288,4028
289,4128
290,3994
291,3978
292,3904
293,3839
294,3817
295,3738
296,3701
297,3598
298,3684
299,3683
300,3573
301,3618
302,3479
303,3402
304,3437
305,3342
306,3273
307,3314
308,3229
309,3164
310,3165
311,2989
312,3013
313,2883
314,2900
315,2845
316,2828
317,2861
318,2942
319,2953
320,2903
321,2773
322,2753
323,2714
324,2747
325,2668
326,2740
327,2799
328,2727
329,2680
330,2676
331,2719
332,2578
