Depth,Overall
0,94273072
1,9203110
2,5113745
3,3504499
4,2801871
5,2342109
6,2069849
7,1869234
8,1738902
9,1619830
10,1540057
11,1482902
12,1437284
13,1416124
14,1403849
15,1410813
16,1432165
17,1464454
18,1501651
19,1545739
20,1607015
21,1669444
22,1757581
23,1871607
24,2009191
25,2193926
26,2425882
27,2714759
28,3048078
29,3436995
30,3877436
31,4339416
32,4851467
33,5374927
34,5893236
35,6411323
36,6900774
37,7366384
38,7784886
39,8179833
40,8542308
41,8885630
42,9231940
43,9555851
44,9912869
45,10285322
46,10730701
47,11207910
48,11741792
49,12347351
50,13029038
51,13783122
52,14616717
53,15547739
54,16586002
55,17701283
56,18935934
57,20278914
58,21744641
59,23346790
60,25058023
61,26919379
62,28893122
63,30993344
64,33181699
65,35446643
66,37736989
67,40063758
68,42376960
69,44646267
70,46802070
71,48853374
72,50756458
73,52483203
74,53996270
75,55279976
76,56322735
77,57122518
78,57684741
79,57942915
80,57961722
81,57782743
82,57371163
83,56794011
84,56017091
85,55092493
86,54031989
87,52866539
88,51656028
89,50326874
90,48958526
91,47540243
92,46105574
93,44655935
94,43195772
95,41709664
96,40262194
97,38809047
98,37361441
99,35941521
100,34558085
101,33187572
102,31823172
103,30473471
104,29155807
105,27860515
106,26622861
107,25413913
108,24230764
109,23079574
110,21953689
111,20852691
112,19809076
113,18791878
114,17816532
115,16882026
116,15975977
117,15102387
118,14277701
119,13487046
120,12733155
121,11996137
122,11317138
123,10684471
124,10067932
125,9499267
126,8959157
127,8459129
128,7977470
129,7534858
130,7107140
131,6711265
132,6341200
133,5995190
134,5665773
135,5351269
136,5060606
137,4787364
138,4524222
139,4281083
140,4046427
141,3823445
142,3615546
143,3417958
144,3226112
145,3049900
146,2874912
147,2716955
148,2561390
149,2418104
150,2281709
151,2149316
152,2024220
153,1906950
154,1791144
155,1687483
156,1590986
157,1494677
158,1405121
159,1319842
160,1238213
161,1159354
162,1085266
163,1019971
164,956893
165,895704
166,841970
167,789117
168,740131
169,693808
170,651836
171,611310
172,573843
173,542743
174,510509
175,481542
176,453585
177,427750
178,402461
179,379759
180,358461
181,337313
182,318653
183,301643
184,285047
185,270462
186,256857
187,244027
188,231137
189,218717
190,207612
191,197834
192,188808
193,178324
194,169629
195,161586
196,153839
197,145531
198,139293
199,133046
200,126527
201,120988
202,115788
203,110201
204,105564
205,100691
206,96500
207,92561
208,89218
209,86207
210,82894
211,80124
212,76961
213,74914
214,72378
215,70381
216,68599
217,66117
218,63933
219,62209
220,60700
221,58880
222,57104
223,55583
224,54798
225,53376
226,52430
227,51042
228,49966
229,48878
230,48070
231,46819
232,46187
233,44861
234,44140
235,43477
236,42612
237,41889
238,40819
239,40575
240,39863
241,39213
242,38992
243,38561
244,38128
245,37179
246,37378
247,36639
248,36293
249,35597
250,35193
251,35428
252,35285
253,35081
254,34540
255,34146
256,33845
257,33021
258,33007
259,32490
260,32140
261,31221
262,31027
263,30478
264,30300
265,29616
266,29184
267,29147
268,28781
269,28288
270,27731
271,27327
272,27223
273,27024
274,26439
275,26035
276,25262
277,25026
278,24261
279,24207
280,23571
281,23364
282,23396
283,23168
284,22912
285,22646
286,22197
287,22133
288,21527
289,21378
290,20914
291,20705
292,20546
293,20234
294,19720
295,19657
296,18868
297,18772
298,18392
299,18009
300,17923
301,17640
302,17180
303,17020
304,16791
305,16586
306,16178
307,15844
308,15427
309,15400
310,15322
311,15285
312,15149
313,14759
314,14280
315,14203
316,14283
317,13906
318,13820
319,13428
320,13270
321,12988
322,13044
323,12851
324,12482
325,12267
326,12257
327,11996
328,11771
329,11703
330,11451
331,11651
332,11396
333,11197
334,11229
335,10980
336,10796
337,10576
338,10182
339,10108
340,9820
341,9757
342,9566
343,9532
344,9454
345,9399
346,9085
347,9057
348,8858
349,8670
350,8399
351,8425
352,8449
353,8231
354,7985
355,8179
356,7914
357,8060
358,7982
359,7871
360,7675
361,7598
362,7599
363,7598
364,7368
365,7273
366,7400
367,7227
368,7180
369,7196
370,6927
371,6891
372,6839
373,6918
374,6909
375,6760
376,6741
377,6673
378,6344
379,6276
380,6426
381,6411
382,6344
383,6400
384,6302
385,6256
386,6251
387,6404
388,6060
389,5983
390,5948
391,5864
392,5893
393,5693
394,5683
395,5528
396,5605
397,5513
398,5492
399,5738
400,5529
401,5604
402,5413
403,5380
404,5333
405,5243
406,5226
407,5200
408,5120
409,5068
410,5248
411,5303
412,5191
413,5197
414,5245
415,5185
416,5053
417,5162
418,5144
419,5044
420,4946
421,4872
422,4811
423,4936
424,4968
425,4819
426,4801
427,4871
428,4768
429,4805
430,4765
431,4838
432,4777
433,4801
434,4778
435,4744
436,4705
437,4720
438,4490
439,4471
440,4482
441,4369
442,4394
443,4346
444,4187
445,4259
446,4185
447,4190
448,4197
449,4242
450,4205
451,4112
452,4116
453,4030
454,4055
455,4109
456,4059
457,3973
458,4114
459,3990
460,3947
461,3907
462,3841
463,3846
464,3889
465,3882
466,3756
467,3754
468,3624
469,3655
470,3753
471,3608
472,3664
473,3625
474,3563
475,3512
476,3499
477,3276
478,3347
479,3252
480,3334
481,3194
482,3182
483,3190
484,3124
485,3132
486,3111
487,3074
488,2998
