RG	ID	Q25	Q50	Q75	MEAN	STD	MIN-INS	MAX-INS	RESCUE-MIN-INS	RESCUE-MAX-INS	NPAIRS	INTSIZE	STALLS	DELAY	
0	249	0	0	0	0	10000	1	40000	1	1000	0	0	0	6	
0	250	0	0	0	0	10000	1	40000	1	1000	0	0	0	5	
0	251	0	0	0	0	10000	1	40000	1	1000	0	0	0	4	
0	252	0	0	0	0	10000	1	40000	1	1000	0	0	0	3	
0	253	0	0	0	0	10000	1	40000	1	1000	0	0	0	2	
0	254	0	0	0	0	10000	1	40000	1	1000	0	0	0	1	
1	249	0	0	0	0	10000	1	40000	1	1000	0	0	0	6	
1	250	0	0	0	0	10000	1	40000	1	1000	0	0	0	5	
1	251	0	0	0	0	10000	1	40000	1	1000	0	0	0	4	
1	252	0	0	0	0	10000	1	40000	1	1000	0	0	0	3	
1	253	0	0	0	0	10000	1	40000	1	1000	0	0	0	2	
1	254	0	0	0	0	10000	1	40000	1	1000	0	0	0	1	
0	0	328	377	436	383.141	82.6667	4	760	176	590	91343	92098	0	0	
1	0	324	376	438	383.011	87.5835	1	780	164	602	90949	91847	0	0	
