Depth,Overall
0,104167632
1,9037600
2,5370210
3,3928430
4,3390828
5,3077886
6,2980179
7,2982720
8,3094862
9,3284437
10,3512113
11,3784849
12,4097589
13,4467151
14,4907127
15,5447962
16,6144499
17,7008273
18,8053501
19,9267296
20,10591436
21,11999992
22,13463654
23,14873446
24,16164857
25,17280052
26,18160683
27,18807199
28,19232011
29,19486152
30,19626260
31,19752162
32,19876350
33,20167154
34,20689170
35,21540591
36,22822809
37,24590131
38,26875948
39,29694738
40,33111698
41,37034067
42,41492036
43,46382239
44,51646024
45,57174830
46,62826754
47,68475657
48,74006451
49,79257444
50,84084086
51,88366179
52,91955563
53,94833230
54,96873733
55,97979522
56,98216044
57,97538802
58,95968561
59,93524901
60,90362704
61,86551273
62,82177525
63,77364867
64,72186370
65,66795753
66,61331613
67,55864240
68,50466535
69,45222685
70,40218672
71,35524775
72,31112818
73,27059387
74,23384260
75,20062407
76,17101378
77,14478856
78,12177188
79,10191432
80,8480787
81,7011325
82,5764436
83,4729320
84,3862524
85,3139697
86,2548077
87,2067472
88,1672100
89,1354883
90,1103168
91,900528
92,738370
93,610820
94,509081
95,431192
96,373283
97,325973
98,287781
99,258810
100,236020
101,216229
102,202875
103,191345
104,182245
105,173858
106,167933
107,162492
108,157033
109,152282
110,148988
111,145912
112,142637
113,138275
114,135100
115,131377
116,128242
117,125236
118,121154
119,116881
120,113675
121,111169
122,108662
123,105355
124,102503
125,98863
126,95733
127,93068
128,89437
129,87072
130,85173
131,81671
132,78579
133,77538
134,75713
135,73365
136,71519
137,69476
138,67560
139,66287
140,64889
141,63048
142,61773
143,60196
144,58817
145,58034
146,57102
147,55715
148,54840
149,53914
150,52859
151,51548
152,51038
153,50079
154,48973
155,47945
156,47500
157,46113
158,45319
159,44674
160,43492
161,42898
162,42444
163,41553
164,40814
165,39816
166,38805
167,38754
168,37588
169,36514
170,36481
171,35717
172,34798
173,34371
174,33548
175,32613
176,31472
177,31030
178,29772
179,29506
180,28873
181,27692
182,27045
183,26657
184,26157
185,25538
186,24885
187,24121
188,23495
189,22717
190,22379
191,21825
192,21181
193,20293
194,19869
195,19065
196,19363
197,18520
198,18029
199,17806
200,17939
201,17140
202,16387
203,16145
204,15757
205,15529
206,15111
207,15004
208,14701
209,14514
210,14188
211,14061
212,13534
213,13341
214,13377
215,13394
216,13135
217,12740
218,12331
219,12197
220,12312
221,12018
222,11791
223,11791
224,11626
225,11626
226,11617
227,11228
228,10981
229,11026
230,10814
231,10833
232,10882
233,10537
234,10654
235,10340
236,10195
237,10207
238,10037
239,10087
240,9811
241,9822
242,9789
243,9831
244,9480
245,9350
246,9385
247,9408
248,9180
249,9413
250,9064
251,9365
252,9143
253,9189
254,8872
255,8917
256,8655
257,8634
258,8594
259,8495
260,8381
261,8366
262,8315
263,8109
264,8112
265,7994
266,7882
267,7832
268,7733
269,7533
270,7675
271,7556
272,7585
273,7300
274,7558
275,7386
276,7252
277,7260
278,6993
279,7164
280,7006
281,6826
282,6877
283,6961
284,6767
285,6789
286,6684
287,6542
288,6551
289,6630
290,6505
291,6344
292,6396
293,6350
294,6339
295,6234
296,6288
297,6020
298,6008
299,5702
300,5635
301,5470
302,5608
303,5482
304,5555
305,5563
306,5478
307,5222
308,5083
309,4945
310,4752
311,4840
312,4760
313,4755
314,4564
315,4586
316,4383
317,4415
318,4492
319,4192
320,4160
321,4013
322,4009
323,3900
324,3863
325,3828
326,3833
327,3704
328,3632
329,3757
330,3541
331,3380
332,3493
333,3297
334,3350
335,3323
336,3109
337,3156
338,3141
339,3218
340,3256
341,3224
342,3110
343,2991
344,3003
345,2957
346,2863
347,2866
348,2827
349,2838
350,2829
351,2854
352,2847
353,2751
354,2721
355,2684
356,2666
357,2647
358,2546
359,2557
360,2584
361,2532
362,2514
363,2405
364,2288
365,2357
366,2361
367,2374
368,2275
369,2231
370,2265
371,2249
372,2246
373,2179
374,2237
375,2253
376,2141
377,2091
378,2067
379,2074
380,2049
381,2041
382,2032
383,2105
384,2094
385,1967
386,2027
387,2028
388,2056
389,1920
390,1934
391,1879
392,1893
393,1830
394,1868
395,1829
396,1746
397,1729
398,1763
399,1727
400,1669
401,1707
402,1627
403,1730
404,1691
405,1681
406,1656
407,1671
408,1572
409,1629
410,1596
411,1623
412,1618
413,1493
414,1534
415,1517
416,1436
417,1399
418,1418
419,1362
420,1401
421,1376
422,1293
423,1354
424,1338
425,1315
426,1326
427,1364
428,1322
429,1311
430,1292
431,1302
432,1314
433,1272
434,1230
435,1256
436,1166
437,1177
438,1192
439,1204
440,1219
441,1150
442,1153
443,1197
444,1125
445,1105
446,1141
447,1113
448,1056
449,1033
450,1082
451,1038
452,1023
453,1043
454,1122
455,1079
456,1065
457,1080
458,1081
459,1062
460,991
461,1009
462,1048
463,949
464,940
465,1054
466,966
467,1003
468,1064
469,942
470,992
471,979
472,958
473,891
474,911
475,936
476,950
477,856
478,896
479,849
480,910
481,888
482,880
483,850
484,834
485,801
486,758
487,850
488,852
489,804
490,831
491,832
492,829
493,822
494,830
495,748
496,779
497,770
498,783
499,782
500,797
501,763
502,814
503,814
504,765
505,734
506,775
507,716
508,719
509,721
510,725
511,721
512,751
513,818
514,707
515,716
516,674
517,766
518,728
519,743
520,648
521,700
522,686
523,655
524,698
525,650
526,719
527,722
528,672
529,726
530,694
531,680
532,676
533,697
534,732
535,705
536,653
537,649
538,685
539,645
540,685
541,669
542,656
543,655
544,733
545,622
546,684
547,698
548,671
549,704
550,710
551,731
552,723
553,697
554,684
555,718
556,672
557,742
558,733
559,689
560,715
561,675
562,693
563,613
564,699
565,624
566,642
567,680
568,669
569,638
570,675
571,665
572,620
573,619
574,650
575,547
576,569
577,627
578,605
579,548
580,584
581,597
582,581
583,623
584,617
585,545
586,576
587,546
588,555
589,564
590,536
591,540
592,551
593,539
594,577
595,547
596,541
597,531
598,543
599,540
600,563
601,574
602,516
603,550
604,499
605,503
606,492
607,499
608,526
609,525
610,460
611,543
612,551
613,512
614,501
615,477
616,486
617,510
618,500
619,488
620,494
621,515
622,439
623,492
624,464
625,496
626,479
627,473
628,441
629,477
630,460
631,459
632,463
633,424
634,455
635,461
636,489
637,466
638,425
639,475
640,499
641,452
642,441
643,443
644,439
645,401
646,422
647,414
648,420
649,407
650,475
651,437
652,490
653,449
654,467
655,447
656,447
657,413
658,430
659,440
660,404
661,444
662,401
663,427
664,418
665,429
666,392
667,392
668,397
669,362
670,393
671,413
672,366
673,368
674,379
675,432
676,389
677,356
678,431
679,373
680,354
681,371
682,380
683,371
684,399
685,377
686,389
687,398
688,428
689,383
690,364
691,322
692,408
693,421
694,434
695,401
696,373
697,408
698,392
699,413
700,399
701,392
702,361
703,388
704,352
705,372
706,375
707,372
708,347
709,366
710,376
711,390
712,355
713,369
714,396
715,345
716,376
717,330
718,354
719,353
720,342
721,337
722,333
723,420
724,367
725,355
726,360
727,376
728,336
729,334
730,343
731,322
732,367
733,348
734,329
735,385
736,336
737,330
738,310
739,309
740,319
741,310
742,354
743,298
744,321
745,341
746,343
747,307
748,356
749,312
750,340
751,334
752,281
753,351
754,328
755,315
756,321
757,348
758,339
759,357
760,328
761,323
762,349
763,331
764,400
765,307
766,375
767,323
768,310
769,323
770,348
771,319
772,373
773,368
774,327
775,327
776,335
777,309
778,339
779,334
780,334
781,321
782,315
783,337
784,299
785,347
786,324
787,311
788,314
789,342
790,289
791,307
792,308
793,315
794,341
795,332
796,303
797,321
798,320
799,320
800,287
801,295
802,296
803,294
804,307
805,273
806,308
807,329
808,330
809,304
810,322
811,267
812,311
813,300
814,305
815,290
816,297
817,286
818,325
819,298
820,334
821,298
822,308
823,302
824,344
825,294
826,347
827,303
828,301
829,324
830,302
831,331
832,254
833,308
834,280
835,290
836,277
837,259
838,281
839,303
840,283
841,267
842,281
843,288
844,293
845,286
846,269
847,253
848,272
849,263
850,284
851,285
852,269
853,275
854,275
855,254
856,266
857,251
858,283
859,286
860,250
861,253
862,276
863,291
864,248
865,273
866,267
867,267
868,257
869,248
870,261
871,268
872,232
873,249
874,242
875,259
876,249
877,250
878,255
879,249
880,273
881,267
882,272
883,249
884,227
885,259
886,265
887,226
888,271
889,252
890,243
891,250
892,264
893,237
894,209
895,229
896,232
897,211
898,242
899,245
900,242
901,239
902,224
903,256
904,263
905,297
906,258
907,254
908,259
909,271
910,246
911,258
912,264
913,244
914,264
915,222
916,247
917,268
918,275
919,233
920,259
921,232
922,233
923,248
924,252
925,232
926,211
927,277
928,237
929,275
930,253
931,216
932,237
933,234
934,211
935,262
936,223
937,224
938,218
939,223
940,242
941,204
942,221
943,215
944,272
945,199
946,220
947,216
948,226
949,210
950,224
951,192
952,226
953,208
954,223
955,244
956,211
957,208
958,206
959,231
960,219
961,241
962,197
963,203
964,236
965,225
966,230
967,230
968,249
969,227
970,204
971,239
972,224
973,225
974,231
975,240
976,241
977,194
978,178
979,217
980,223
981,222
982,215
983,231
984,244
985,223
986,261
987,225
988,226
989,238
990,234
991,231
992,212
993,205
994,224
995,206
996,214
997,198
998,201
999,223
1000+,223901
