Depth,Overall
0,94141711
1,8675646
2,4881922
3,3314920
4,2653088
5,2186992
6,1939430
7,1743044
8,1599801
9,1480481
10,1401136
11,1333196
12,1277632
13,1241741
14,1207801
15,1193800
16,1186158
17,1186017
18,1195851
19,1213859
20,1238117
21,1265717
22,1306052
23,1353633
24,1410042
25,1469986
26,1543663
27,1627208
28,1731076
29,1851025
30,1994369
31,2157173
32,2334262
33,2531836
34,2752272
35,2975842
36,3233339
37,3498903
38,3778163
39,4060997
40,4354180
41,4657523
42,4936649
43,5220255
44,5506905
45,5788428
46,6066582
47,6330409
48,6587778
49,6816228
50,7079961
51,7323710
52,7568404
53,7823925
54,8098533
55,8376295
56,8682140
57,9011881
58,9370481
59,9747666
60,10161852
61,10615613
62,11113785
63,11643472
64,12223781
65,12844045
66,13514040
67,14227190
68,14984580
69,15795522
70,16657186
71,17574369
72,18522133
73,19538465
74,20573655
75,21666949
76,22783435
77,23928950
78,25114828
79,26334725
80,27549406
81,28780583
82,29993624
83,31214507
84,32425433
85,33604990
86,34748412
87,35861320
88,36878060
89,37877996
90,38806231
91,39651481
92,40442576
93,41135443
94,41723918
95,42262025
96,42690088
97,43021537
98,43250571
99,43380565
100,43442969
101,43397349
102,43268176
103,43070534
104,42799322
105,42419054
106,41977472
107,41470876
108,40939038
109,40327741
110,39665294
111,38977844
112,38243416
113,37492048
114,36709739
115,35878949
116,35051080
117,34206891
118,33353121
119,32493018
120,31615947
121,30761998
122,29893802
123,29037560
124,28183995
125,27333827
126,26496979
127,25672147
128,24856079
129,24054976
130,23257062
131,22479976
132,21725849
133,20973663
134,20254511
135,19547315
136,18860986
137,18175800
138,17512466
139,16859695
140,16230917
141,15617510
142,15019564
143,14447874
144,13888097
145,13341303
146,12805408
147,12284058
148,11782592
149,11312642
150,10831726
151,10378861
152,9941541
153,9529362
154,9120562
155,8724269
156,8345828
157,7986277
158,7632564
159,7301446
160,6977434
161,6666357
162,6369043
163,6090702
164,5813976
165,5555764
166,5307825
167,5064679
168,4835772
169,4620738
170,4410517
171,4213085
172,4021667
173,3843303
174,3669722
175,3505680
176,3348001
177,3197387
178,3053991
179,2917605
180,2783476
181,2654900
