#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Cat	10000	9996	99.96	2	0.02	0	0.00	2	0.02	0	0.00
Chicken	10000	9998	99.98	1	0.01	0	0.00	1	0.01	0	0.00
Cow	10000	9999	99.99	0	0.00	0	0.00	1	0.01	0	0.00
Drosophila	10000	10000	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Human	10000	9997	99.97	0	0.00	0	0.00	3	0.03	0	0.00
Mouse	10000	9998	99.98	0	0.00	0	0.00	1	0.01	1	0.01
Opossum	10000	9997	99.97	2	0.02	1	0.01	0	0.00	0	0.00
Pig	10000	9995	99.95	2	0.02	0	0.00	2	0.02	1	0.01
Rat	10000	9999	99.99	0	0.00	0	0.00	0	0.00	1	0.01
Zebrafish	10000	9995	99.95	2	0.02	1	0.01	2	0.02	0	0.00
Arabidopsis	10000	10000	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Grape	10000	9998	99.98	1	0.01	0	0.00	1	0.01	0	0.00
Potato	10000	9999	99.99	1	0.01	0	0.00	0	0.00	0	0.00
Tomato	10000	9998	99.98	1	0.01	0	0.00	1	0.01	0	0.00
Adapters	10000	10000	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Brachybacterium	10000	10000	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Pseudomonas	10000	10000	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Massilia_oculi	10000	10000	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Ecoli	10000	9573	95.73	401	4.01	22	0.22	1	0.01	3	0.03
Lambda	10000	9997	99.97	0	0.00	0	0.00	3	0.03	0	0.00
MT	10000	10000	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	10000	10000	100.00	0	0.00	0	0.00	0	0.00	0	0.00
rRNA	10000	10000	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Wasp	10000	10000	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	10000	9995	99.95	0	0.00	0	0.00	4	0.04	1	0.01
Worm	10000	9999	99.99	0	0.00	0	0.00	0	0.00	1	0.01
Yeast	10000	10000	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Mycoplasma	10000	9999	99.99	0	0.00	0	0.00	1	0.01	0	0.00

%Hit_no_genomes: 95.54
