##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	00050101.aligned-bwa.sorted-samtools.merged.rh.dedupped.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	873870503
Sequences flagged as poor quality	0
Sequence length	30-151
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.9983611873898	37.0	37.0	37.0	37.0	37.0
2	35.76024767939787	37.0	37.0	37.0	37.0	37.0
3	35.95214518986917	37.0	37.0	37.0	37.0	37.0
4	35.88724931593211	37.0	37.0	37.0	37.0	37.0
5	35.97719763519699	37.0	37.0	37.0	37.0	37.0
6	36.18404775587213	37.0	37.0	37.0	37.0	37.0
7	36.101977548954984	37.0	37.0	37.0	37.0	37.0
8	36.096845557447544	37.0	37.0	37.0	37.0	37.0
9	36.22026646664374	37.0	37.0	37.0	37.0	37.0
10-14	36.08429818302266	37.0	37.0	37.0	37.0	37.0
15-19	36.036591698301095	37.0	37.0	37.0	37.0	37.0
20-24	35.99267004713168	37.0	37.0	37.0	37.0	37.0
25-29	35.903099205993	37.0	37.0	37.0	37.0	37.0
30-34	35.84651841931684	37.0	37.0	37.0	37.0	37.0
35-39	35.80832942300576	37.0	37.0	37.0	37.0	37.0
40-44	35.74482351785429	37.0	37.0	37.0	37.0	37.0
45-49	35.6812848586256	37.0	37.0	37.0	37.0	37.0
50-54	35.663355925243145	37.0	37.0	37.0	37.0	37.0
55-59	35.609092125893696	37.0	37.0	37.0	37.0	37.0
60-64	35.549679155560874	37.0	37.0	37.0	37.0	37.0
65-69	35.489279338460655	37.0	37.0	37.0	37.0	37.0
70-74	35.42653485217379	37.0	37.0	37.0	37.0	37.0
75-79	35.39240690524644	37.0	37.0	37.0	37.0	37.0
80-84	35.3518364517882	37.0	37.0	37.0	37.0	37.0
85-89	35.27813393337219	37.0	37.0	37.0	34.6	37.0
90-94	35.172183625465394	37.0	37.0	37.0	25.0	37.0
95-99	35.15795267382474	37.0	37.0	37.0	25.0	37.0
100-104	35.09855895385623	37.0	37.0	37.0	25.0	37.0
105-109	35.03856686998624	37.0	37.0	37.0	25.0	37.0
110-114	34.91392851848861	37.0	37.0	37.0	25.0	37.0
115-119	34.85741392379123	37.0	37.0	37.0	25.0	37.0
120-124	34.82175416964172	37.0	37.0	37.0	25.0	37.0
125-129	34.70923207928831	37.0	37.0	37.0	25.0	37.0
130-134	34.65203557429656	37.0	37.0	37.0	25.0	37.0
135-139	34.526976032638274	37.0	37.0	37.0	25.0	37.0
140-144	34.464522112928826	37.0	37.0	37.0	25.0	37.0
145-149	34.3407719701336	37.0	37.0	37.0	25.0	37.0
150-151	33.90808747431438	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.1435981316624364
1101	2	-0.15088729032135006
1101	3	-0.10784768453621041
1101	4	-0.1427697023036174
1101	5	-0.1426300063166508
1101	6	-0.09385761460433883
1101	7	-0.06646596532872451
1101	8	-0.07107995338512296
1101	9	-0.06140829978746609
1101	10-14	-0.05392733514045034
1101	15-19	-0.05883579378994597
1101	20-24	-0.06087874386278713
1101	25-29	-0.1572806475355577
1101	30-34	-0.11548008027481416
1101	35-39	-0.09928525729579718
1101	40-44	-0.10003663658795148
1101	45-49	-0.07135478111450766
1101	50-54	-0.09019193129649494
1101	55-59	-0.09948680705871027
1101	60-64	-0.14931881012385873
1101	65-69	-0.08663106276177501
1101	70-74	-0.06581677481140957
1101	75-79	-0.10043702047396863
1101	80-84	-0.09077481899419126
1101	85-89	-0.08802359729360631
1101	90-94	-0.06598872790898014
1101	95-99	-0.07286780367869738
1101	100-104	-0.06825198908920527
1101	105-109	-0.08032522461933667
1101	110-114	-0.08348298974090795
1101	115-119	-0.09280252839429437
1101	120-124	-0.015164123877120517
1101	125-129	0.013060240964740899
1101	130-134	-0.03899913088386597
1101	135-139	6.501827071403454E-4
1101	140-144	0.05591896553391962
1101	145-149	0.04209115044928069
1101	150-151	0.0554756764684754
1102	1	-0.2731517611630281
1102	2	-0.21826404668094312
1102	3	-0.19505790241839804
1102	4	-0.17234435494989953
1102	5	-0.16462545170475096
1102	6	-0.11654963547547936
1102	7	-0.08972643437127203
1102	8	-0.09103718201303934
1102	9	-0.14731913684448728
1102	10-14	-0.09212065650124401
1102	15-19	-0.11122654789377862
1102	20-24	-0.13002583486084518
1102	25-29	-0.13387599980529075
1102	30-34	-0.13265230454204158
1102	35-39	-0.13612844058653906
1102	40-44	-0.12790607061204184
1102	45-49	-0.12782122726519418
1102	50-54	-0.12568572637461983
1102	55-59	-0.16483523239435272
1102	60-64	-0.1363232359275628
1102	65-69	-0.10725354146580202
1102	70-74	-0.14355643511226646
1102	75-79	-0.11553399301373446
1102	80-84	-0.11468697953451112
1102	85-89	-0.10862480818433795
1102	90-94	-0.14644645335743434
1102	95-99	-0.13587814793311281
1102	100-104	-0.11698695210200327
1102	105-109	-0.08096178810561838
1102	110-114	-0.08359945285523196
1102	115-119	-0.08681954980038142
1102	120-124	-0.04638973188308171
1102	125-129	-0.002243140315655978
1102	130-134	-0.04837206578391573
1102	135-139	-0.01472919275590101
1102	140-144	0.06563509380855947
1102	145-149	-0.007622873457798107
1102	150-151	0.024954871973008608
1103	1	-0.08054665757924084
1103	2	-0.04359619604348808
1103	3	-0.13414290360881864
1103	4	-0.10881252054294066
1103	5	-0.09896510208419329
1103	6	-0.046378988940681154
1103	7	-0.0512751760337693
1103	8	-0.08236845299726525
1103	9	-0.06110101943822599
1103	10-14	-0.0360019958243214
1103	15-19	-0.04068569441278669
1103	20-24	-0.04377392796047275
