ab_size	ba_size	count	fraction	fraction_gt_or_eq_size
1	0	3898545	0.589279	1
1	1	163717	0.024746	0.064372
2	0	1469639	0.222141	0.385975
2	1	126345	0.019097	0.039626
2	2	24548	0.003711	0.00958
3	0	528174	0.079835	0.141026
3	1	46385	0.007011	0.016818
3	2	18766	0.002837	0.005869
3	3	3554	0.000537	0.00139
4	0	188528	0.028497	0.050805
4	1	16702	0.002525	0.006433
4	2	6850	0.001035	0.002495
4	3	2671	0.000404	0.000853
4	4	481	0.000073	0.0002
5	0	67404	0.010188	0.018272
5	1	5970	0.000902	0.002396
5	2	2545	0.000385	0.000984
5	3	1030	0.000156	0.000377
5	4	398	0.00006	0.000127
5	5	72	0.000011	0.000029
6	0	24180	0.003655	0.00657
6	1	2155	0.000326	0.000883
6	2	948	0.000143	0.000372
6	3	388	0.000059	0.00015
6	4	143	0.000022	0.000056
6	5	56	8.4646E-6	0.000018
6	6	14	2.11615E-6	4.68576E-6
7	0	8548	0.001292	0.002355
7	1	764	0.000115	0.000323
7	2	348	0.000053	0.000138
7	3	149	0.000023	0.000059
7	4	72	0.000011	0.000024
7	5	16	2.41846E-6	7.25537E-6
7	6	8	1.20923E-6	2.56961E-6
7	7	1	1.51154E-7	4.53461E-7
8	0	3090	0.000467	0.000858
8	1	288	0.000044	0.000117
8	2	103	0.000016	0.000048
8	3	52	7.85998E-6	0.000022
8	4	24	3.62768E-6	9.37152E-6
8	5	4	6.04614E-7	3.47653E-6
8	6	2	3.02307E-7	1.20923E-6
8	7	1	1.51154E-7	3.02307E-7
9	0	1157	0.000175	0.000319
9	1	108	0.000016	0.000046
9	2	44	6.65076E-6	0.00002
9	3	19	2.87192E-6	9.22037E-6
9	4	6	9.06921E-7	4.68576E-6
9	5	8	1.20923E-6	2.41846E-6
9	6	2	3.02307E-7	7.55768E-7
10	0	392	0.000059	0.000116
10	1	42	6.34845E-6	0.000018
10	2	17	2.56961E-6	8.16229E-6
10	3	7	1.05807E-6	3.92999E-6
10	4	8	1.20923E-6	2.2673E-6
10	6	2	3.02307E-7	4.53461E-7
11	0	157	0.000024	0.000045
11	1	14	2.11615E-6	6.04614E-6
11	2	7	1.05807E-6	3.02307E-6
11	3	3	4.53461E-7	1.36038E-6
11	4	1	1.51154E-7	7.55768E-7
11	5	2	3.02307E-7	6.04614E-7
11	7	1	1.51154E-7	1.51154E-7
12	0	60	9.06921E-6	0.000017
12	1	4	6.04614E-7	1.81384E-6
12	2	2	3.02307E-7	9.06921E-7
12	5	1	1.51154E-7	1.51154E-7
13	0	27	4.08115E-6	7.25537E-6
13	1	1	1.51154E-7	7.55768E-7
14	0	4	6.04614E-7	3.02307E-6
14	2	1	1.51154E-7	4.53461E-7
14	3	1	1.51154E-7	1.51154E-7
15	0	9	1.36038E-6	2.11615E-6
15	1	1	1.51154E-7	3.02307E-7
16	0	1	1.51154E-7	6.04614E-7
16	2	1	1.51154E-7	1.51154E-7
17	0	1	1.51154E-7	3.02307E-7
23	0	1	1.51154E-7	1.51154E-7
