fraction	read_pairs	cs_families	ss_families	ds_families	ds_duplexes	ds_fraction_duplexes	ds_fraction_duplexes_ideal
0.05	556736	537604	541259	538667	2592	0.004812	0.016509
0.1	1113861	1039738	1053452	1043612	9840	0.009429	0.032592
0.15	1670081	1508549	1537601	1516618	20983	0.013835	0.048215
0.2	2225837	1947916	1996379	1961339	35040	0.017865	0.063261
0.25	2781076	2360167	2431928	2379948	51980	0.021841	0.077865
0.3	3337593	2748574	2846291	2775209	71082	0.025613	0.092215
0.35	3894794	3115330	3241463	3149436	92027	0.02922	0.106098
0.4	4449331	3459639	3615986	3501523	114463	0.032689	0.119583
0.45	5006303	3786738	3975049	3836925	138124	0.035999	0.132704
0.5	5562847	4096549	4317694	4155063	162631	0.03914	0.145466
0.55	6118956	4389992	4645004	4457133	187871	0.042151	0.157849
0.6	6676758	4669606	4959059	4745371	213688	0.045031	0.169949
0.65	7233533	4934984	5258996	5019158	239838	0.047785	0.181701
0.7	7788866	5186250	5545150	5278802	266348	0.050456	0.193202
0.75	8345357	5426740	5820353	5527636	292717	0.052955	0.204374
0.8	8901093	5655550	6084511	5764796	319715	0.05546	0.215273
0.85	9457394	5874154	6337738	5991642	346096	0.057763	0.225914
0.9	10014450	6083233	6581750	6208936	372814	0.060045	0.236332
0.95	10571338	6283131	6816391	6416883	399508	0.062259	0.246516
1	11127423	6474076	7041663	6615790	425873	0.064372	0.256432
