family_size	cs_count	cs_fraction	cs_fraction_gt_or_eq_size	ss_count	ss_fraction	ss_fraction_gt_or_eq_size	ds_count	ds_fraction	ds_fraction_gt_or_eq_size
1	3741726	0.577955	1	4424758	0.628368	1	3898545	0.589279	1
2	1604837	0.247887	0.422045	1674712	0.237829	0.371632	1633356	0.246888	0.410721
3	662906	0.102394	0.174158	604753	0.085882	0.133803	654519	0.098933	0.163834
4	272708	0.042123	0.071764	216365	0.030726	0.04792	259461	0.039218	0.064901
5	112244	0.017337	0.029641	77578	0.011017	0.017194	102872	0.015549	0.025682
6	46542	0.007189	0.012304	27912	0.003964	0.006177	40554	0.00613	0.010133
7	19165	0.00296	0.005115	9909	0.001407	0.002213	15919	0.002406	0.004003
8	8016	0.001238	0.002154	3564	0.000506	0.000806	6313	0.000954	0.001597
9	3481	0.000538	0.000916	1344	0.000191	0.0003	2579	0.00039	0.000643
10	1393	0.000215	0.000379	468	0.000066	0.000109	967	0.000146	0.000253
11	598	0.000092	0.000163	185	0.000026	0.000043	423	0.000064	0.000107
12	273	0.000042	0.000071	67	9.5148E-6	0.000016	164	0.000025	0.000043
13	101	0.000016	0.000029	28	3.97633E-6	6.81657E-6	63	9.52267E-6	0.000018
14	50	7.72311E-6	0.000013	6	8.52071E-7	2.84024E-6	29	4.38345E-6	8.31344E-6
15	15	2.31693E-6	5.56064E-6	10	1.42012E-6	1.98817E-6	13	1.965E-6	3.92999E-6
16	8	1.2357E-6	3.24371E-6	2	2.84024E-7	5.68048E-7	7	1.05807E-6	1.965E-6
17	4	6.17849E-7	2.00801E-6	1	1.42012E-7	2.84024E-7	3	4.53461E-7	9.06921E-7
18	6	9.26773E-7	1.39016E-6	0	0	1.42012E-7	2	3.02307E-7	4.53461E-7
20	2	3.08924E-7	4.63387E-7	0	0	1.42012E-7	0	0	1.51154E-7
23	1	1.54462E-7	1.54462E-7	1	1.42012E-7	1.42012E-7	1	1.51154E-7	1.51154E-7
