family_size	count	fraction	fraction_gt_or_eq_family_size
1	7092682	0.56602	1
2	3152301	0.251564	0.43398
3	1360283	0.108555	0.182415
4	562128	0.04486	0.07386
5	224126	0.017886	0.029
6	86098	0.006871	0.011114
7	32569	0.002599	0.004243
8	12566	0.001003	0.001644
9	4894	0.000391	0.000642
10	1833	0.000146	0.000251
11	760	0.000061	0.000105
12	340	0.000027	0.000044
13	127	0.00001	0.000017
14	46	3.67096E-6	6.78329E-6
15	18	1.43646E-6	3.11233E-6
16	11	8.77838E-7	1.67587E-6
17	5	3.99017E-7	7.98034E-7
18	3	2.3941E-7	3.99017E-7
22	1	7.98034E-8	1.59607E-7
25	1	7.98034E-8	7.98034E-8
