ab_size	ba_size	count	fraction	fraction_gt_or_eq_size
1	0	403	0.2015	1
1	1	595	0.2975	0.7985
2	1	445	0.2225	0.501
2	2	213	0.1065	0.262
3	1	31	0.0155	0.172
3	2	128	0.064	0.1555
3	3	45	0.0225	0.071
4	1	2	0.001	0.07
4	2	31	0.0155	0.069
4	3	33	0.0165	0.0485
4	4	12	0.006	0.024
5	2	6	0.003	0.031
5	3	7	0.0035	0.026
5	4	8	0.004	0.018
5	5	5	0.0025	0.0095
6	2	3	0.0015	0.018
6	3	4	0.002	0.016
6	4	7	0.0035	0.0115
6	5	5	0.0025	0.007
6	6	2	0.001	0.004
7	2	1	0.0005	0.0075
7	3	2	0.001	0.007
7	4	1	0.0005	0.0045
7	5	1	0.0005	0.0035
7	6	3	0.0015	0.003
7	7	1	0.0005	0.001
8	3	2	0.001	0.003
9	3	1	0.0005	0.002
10	4	1	0.0005	0.0015
10	10	1	0.0005	0.0005
11	6	1	0.0005	0.0005
