fraction	read_pairs	cs_families	ss_families	ds_families	ds_duplexes	ds_fraction_duplexes	ds_fraction_duplexes_ideal
0.05	293	263	282	263	19	0.07224334600760456	0.05608365019011388
0.1	588	496	552	497	55	0.11066398390342053	0.08702213279678041
0.15	877	711	815	712	103	0.1446629213483146	0.10744382022471882
0.2	1207	921	1087	922	165	0.1789587852494577	0.13706616052060708
0.25	1525	1084	1327	1085	242	0.22304147465437787	0.17141417050691213
0.3	1804	1198	1523	1199	324	0.2702251876563803	0.20818129691409473
0.35	2122	1317	1737	1318	419	0.3179059180576631	0.24167773141122875
0.4	2431	1421	1936	1422	514	0.36146272855133615	0.2733248725386775
0.45	2735	1506	2118	1507	611	0.4054412740544127	0.30288989922030485
0.5	3044	1595	2301	1596	705	0.4417293233082707	0.32810970296835795
0.55	3359	1672	2472	1673	799	0.4775851763299462	0.35631105704572585
0.6	3638	1729	2608	1730	878	0.507514450867052	0.37941478222091723
0.65	3942	1781	2760	1782	978	0.5488215488215489	0.40692440080053965
0.7	4242	1826	2908	1827	1081	0.5916803503010399	0.4338998611859431
0.75	4535	1868	3035	1869	1166	0.6238630283574104	0.4560310278045993
0.8	4813	1905	3164	1906	1258	0.6600209863588667	0.47887567157885425
0.85	5091	1933	3280	1934	1346	0.6959669079627715	0.5014826035918712
0.9	5373	1963	3389	1964	1425	0.7255600814663951	0.5228221567002427
0.95	5695	1987	3501	1988	1513	0.7610663983903421	0.5492250214160325
1	5956	1999	3597	2000	1597	0.7985	0.5731899328231808
