family_size	cs_count	cs_fraction	cs_fraction_gt_or_eq_size	ss_count	ss_fraction	ss_fraction_gt_or_eq_size	ds_count	ds_fraction	ds_fraction_gt_or_eq_size
1	403	0.2016008004002001	1	2071	0.5757575757575758	1	403	0.2015	1
2	595	0.2976488244122061	0.7983991995997999	1040	0.28912983041423407	0.4242424242424242	595	0.2975	0.7985
3	445	0.2226113056528264	0.5007503751875938	298	0.08284681679177092	0.13511259382819016	445	0.2225	0.501
4	243	0.12156078039019509	0.27813906953476736	107	0.029747011398387545	0.05226577703641924	244	0.122	0.27849999999999997
5	129	0.06453226613306653	0.15657828914457228	37	0.01028634973589102	0.022518765638031693	130	0.065	0.1565
6	76	0.03801900950475238	0.09204602301150575	27	0.007506255212677231	0.012232415902140673	76	0.038	0.0915
7	39	0.01950975487743872	0.054027013506753374	10	0.0027800945232137894	0.004726160689463442	39	0.0195	0.053500000000000006
8	22	0.011005502751375688	0.03451725862931465	2	0.0005560189046427579	0.0019460661662496527	22	0.011	0.034
9	14	0.007003501750875438	0.023511755877938967	1	0.00027800945232137893	0.0013900472616068947	13	0.0065	0.023
10	14	0.007003501750875438	0.01650825412706353	3	0.0008340283569641367	0.0011120378092855157	14	0.007	0.0165
11	8	0.00400200100050025	0.009504752376188093	1	0.00027800945232137893	0.00027800945232137893	8	0.004	0.0095
12	4	0.002001000500250125	0.005502751375687844	0	0	0	4	0.002	0.0055
13	3	0.0015007503751875938	0.0035017508754377185	0	0	0	3	0.0015	0.0035
14	2	0.0010005002501250625	0.002001000500250125	0	0	0	2	0.001	0.002
17	1	0.0005002501250625312	0.0010005002501250625	0	0	0	1	0.0005	0.001
20	1	0.0005002501250625312	0.0005002501250625312	0	0	0	1	0.0005	0.0005
