family_size	cs_count	cs_fraction	cs_fraction_gt_or_eq_size	ss_count	ss_fraction	ss_fraction_gt_or_eq_size
1	429	0.21460730365182593	1	429	0.2145	0.9999999999999999
2	568	0.28414207103551775	0.7853926963481741	568	0.284	0.7854999999999999
3	414	0.20710355177588793	0.5012506253126563	414	0.207	0.5015
4	249	0.12456228114057029	0.2941470735367684	250	0.125	0.2945
5	133	0.06653326663331666	0.16958479239619811	133	0.0665	0.1695
6	68	0.03401700850425213	0.10305152576288144	68	0.034	0.10300000000000001
7	55	0.02751375687843922	0.06903451725862932	55	0.0275	0.069
8	25	0.01250625312656328	0.04152076038019009	25	0.0125	0.0415
9	21	0.010505252626313157	0.029014507253626812	22	0.011	0.029
10	16	0.0080040020010005	0.018509254627313655	16	0.008	0.018000000000000002
11	12	0.006003001500750375	0.010505252626313157	12	0.006	0.01
12	1	0.0005002501250625312	0.004502251125562781	1	0.0005	0.004
13	4	0.002001000500250125	0.00400200100050025	3	0.0015	0.0035
14	3	0.0015007503751875938	0.002001000500250125	3	0.0015	0.002
15	0	0	0.0005002501250625312	0	0	0.0005
16	0	0	0.0005002501250625312	0	0	0.0005
17	0	0	0.0005002501250625312	0	0	0.0005
18	0	0	0.0005002501250625312	0	0	0.0005
19	0	0	0.0005002501250625312	0	0	0.0005
20	0	0	0.0005002501250625312	0	0	0.0005
21	0	0	0.0005002501250625312	0	0	0.0005
22	0	0	0.0005002501250625312	0	0	0.0005
23	0	0	0.0005002501250625312	0	0	0.0005
24	1	0.0005002501250625312	0.0005002501250625312	1	0.0005	0.0005
