## hicstuff v3.2.4
## distance_law
## columns: start_bp	p(s)	chrom
1	1e-09	Sample 0
2	1e-09	Sample 0
3	1e-09	Sample 0
4	1e-09	Sample 0
5	1e-09	Sample 0
6	1e-09	Sample 0
7	1e-09	Sample 0
8	1e-09	Sample 0
9	1e-09	Sample 0
10	1e-09	Sample 0
11	1e-09	Sample 0
13	1e-09	Sample 0
14	1e-09	Sample 0
15	1e-09	Sample 0
17	1e-09	Sample 0
19	1e-09	Sample 0
21	1e-09	Sample 0
23	1e-09	Sample 0
25	1e-09	Sample 0
28	1e-09	Sample 0
30	1e-09	Sample 0
34	1e-09	Sample 0
37	1e-09	Sample 0
41	1e-09	Sample 0
45	1e-09	Sample 0
49	1e-09	Sample 0
54	1e-09	Sample 0
60	1e-09	Sample 0
66	1e-09	Sample 0
72	0.567423	Sample 0
80	1e-09	Sample 0
88	1e-09	Sample 0
97	1e-09	Sample 0
106	2.06921	Sample 0
117	1e-09	Sample 0
129	1.75242	Sample 0
142	1e-09	Sample 0
156	1e-09	Sample 0
171	1.26772	Sample 0
189	1e-09	Sample 0
207	1e-09	Sample 0
228	1.19222	Sample 0
251	0.733445	Sample 0
276	0.162702	Sample 0
304	0.303858	Sample 0
334	0.541299	Sample 0
368	1e-09	Sample 0
405	1e-09	Sample 0
445	1e-09	Sample 0
490	0.0933234	Sample 0
539	1e-09	Sample 0
593	0.155294	Sample 0
652	0.0705531	Sample 0
717	0.318837	Sample 0
789	0.475589	Sample 0
868	0.380509	Sample 0
955	0.245213	Sample 0
1051	0.181083	Sample 0
1156	0.0804734	Sample 0
1271	0.036225	Sample 0
1399	1e-09	Sample 0
1538	0.0302535	Sample 0
1692	0.170254	Sample 0
1862	0.075586	Sample 0
2048	0.0458748	Sample 0
2253	0.125859	Sample 0
2478	0.120373	Sample 0
2726	0.110458	Sample 0
2999	0.0859916	Sample 0
3298	0.093585	Sample 0
3628	0.0400082	Sample 0
3991	0.0984612	Sample 0
4390	0.0334838	Sample 0
4830	0.0857039	Sample 0
5313	0.101413	Sample 0
5844	0.0259422	Sample 0
6428	0.0319267	Sample 0
7071	0.0292722	Sample 0
7778	0.0497841	Sample 0
8556	0.0413049	Sample 0
9412	0.137358	Sample 0
10353	1e-09	Sample 0
11388	0.0248553	Sample 0
12527	0.0595135	Sample 0
13780	0.0130066	Sample 0
15158	0.0162809	Sample 0
16674	0.00384016	Sample 0
18341	0.00727704	Sample 0
20176	0.0486424	Sample 0
22193	0.0200339	Sample 0
24413	0.00648522	Sample 0
26854	0.019113	Sample 0
29539	0.0127083	Sample 0
32493	1e-09	Sample 0
35743	1e-09	Sample 0
39317	1e-09	Sample 0
43249	1e-09	Sample 0
47574	1e-09	Sample 0
52331	1e-09	Sample 0
57565	1e-09	Sample 0
