File	Total_reads_processed	Reads_too_short_to_map	%Reads_too_short_to_map	Unique_alignments	%Unique_alignments	Multiple_alignments	%Multiple_alignments	Failed_to_align	%failed_to_align	Paired	%Paired
Sample-2.A005.C8LFMANXX.s_3.r_1.trunc.fastq.gz	47405891	774880	1.6	36438532	76.9	8302457	17.5	1890022	4.0	29027139	61.2
Sample-2.A005.C8LFMANXX.s_3.r_2.trunc.fastq.gz	47405891	730807	1.5	36071030	76.1	8217328	17.3	2386726	5.0	29027139	61.2
Sample-2.A019.C8LFMANXX.s_3.r_1.trunc.fastq.gz	44617077	603703	1.4	34317701	76.9	7620595	17.1	2075078	4.7	27507786	61.7
Sample-2.A019.C8LFMANXX.s_3.r_2.trunc.fastq.gz	44617077	578991	1.3	34096685	76.4	7554610	16.9	2386791	5.3	27507786	61.7
Sample-2.A006.C8LFMANXX.s_3.r_1.trunc.fastq.gz	52316898	962947	1.8	39321762	75.2	8818185	16.9	3214004	6.1	31163044	59.6
Sample-2.A006.C8LFMANXX.s_3.r_2.trunc.fastq.gz	52316898	914822	1.7	39112933	74.8	8749902	16.7	3539241	6.8	31163044	59.6
Sample-2.A002.C8LFMANXX.s_3.r_1.trunc.fastq.gz	47111116	836605	1.8	36086617	76.6	8345082	17.7	1842812	3.9	28544901	60.6
Sample-2.A002.C8LFMANXX.s_3.r_2.trunc.fastq.gz	47111116	786618	1.7	35678265	75.7	8251704	17.5	2394529	5.1	28544901	60.6
Sample-2.A012.C8LFMANXX.s_3.r_1.trunc.fastq.gz	43542862	589333	1.4	34098328	78.3	7182895	16.5	1672306	3.8	27167640	62.4
Sample-2.A012.C8LFMANXX.s_3.r_2.trunc.fastq.gz	43542862	546108	1.3	33591997	77.1	7071302	16.2	2333455	5.4	27167640	62.4
