File	Total_Reads_Processed	Truncated	%Truncated	Not_truncated	%Not_truncated	Average_length_truncated_sequence
Sample-2.A019.C8LFMANXX.s_3.r_2.fq	44617077	16958416	38.01	27658661	61.99	67.71
Sample-2.A019.C8LFMANXX.s_3.r_1.fq	44617077	17059053	38.23	27558024	61.77	67.04
Sample-2.A005.C8LFMANXX.s_3.r_2.fq	47405891	15364288	32.41	32041603	67.59	67.53
Sample-2.A005.C8LFMANXX.s_3.r_1.fq	47405891	15713641	33.15	31692250	66.85	66.87
Sample-2.A006.C8LFMANXX.s_3.r_2.fq	52316898	19883308	38.01	32433590	61.99	66.83
Sample-2.A006.C8LFMANXX.s_3.r_1.fq	52316898	20124177	38.47	32192721	61.53	66.11
Sample-2.A012.C8LFMANXX.s_3.r_1.fq	43542862	12832427	29.47	30710435	70.53	67.14
Sample-2.A012.C8LFMANXX.s_3.r_2.fq	43542862	12458940	28.61	31083922	71.39	67.74
Sample-2.A002.C8LFMANXX.s_3.r_1.fq	47111116	15873288	33.69	31237828	66.31	65.43
Sample-2.A002.C8LFMANXX.s_3.r_2.fq	47111116	15464766	32.83	31646350	67.17	66.06
