Distance from GATC site	Reads + strand	Reads - strand
-1915	90012.500000	89428.500000
-1914	89827.000000	89793.000000
-1913	89789.500000	90329.000000
-1912	89031.500000	89547.500000
-1911	89951.000000	89943.500000
-1910	89420.500000	89863.000000
-1909	89938.000000	89379.000000
-1908	89715.000000	89356.000000
-1907	89311.500000	89167.000000
-1906	89313.000000	88911.500000
-1905	90024.500000	89691.500000
-1904	89337.000000	89241.000000
-1903	89147.500000	89566.000000
-1902	89667.500000	89495.500000
-1901	89961.500000	89371.000000
-1900	89018.500000	89959.000000
-1899	89564.500000	89490.000000
-1898	88569.000000	89973.500000
-1897	89713.500000	88935.500000
-1896	89740.000000	89548.000000
-1895	88938.500000	88941.000000
-1894	89716.500000	89608.500000
-1893	88940.500000	89659.000000
-1892	89279.500000	88985.500000
-1891	88985.000000	89724.000000
-1890	89567.000000	89781.500000
-1889	89318.500000	89651.000000
-1888	89553.500000	88882.500000
-1887	89732.000000	89020.000000
-1886	89547.000000	89830.500000
-1885	89289.500000	88764.000000
-1884	89547.500000	89169.500000
-1883	89605.000000	89768.500000
-1882	89954.000000	89176.500000
-1881	90095.500000	89889.500000
-1880	89017.000000	89004.000000
-1879	88759.500000	89830.000000
-1878	89325.000000	89774.000000
-1877	89459.000000	89250.000000
-1876	89067.000000	89440.000000
-1875	89860.500000	90002.000000
-1874	89759.000000	90413.000000
-1873	89060.500000	90349.500000
-1872	89397.000000	89136.500000
-1871	89912.500000	89256.500000
-1870	89242.500000	89956.000000
-1869	89774.500000	89642.500000
-1868	90125.000000	89368.500000
-1867	89620.500000	90364.500000
-1866	89967.500000	89303.000000
-1865	89384.000000	89454.500000
-1864	88921.000000	89873.000000
-1863	89654.500000	89467.000000
-1862	90109.000000	90035.000000
-1861	89355.000000	90136.000000
-1860	89149.500000	89508.500000
-1859	89600.500000	89965.000000
-1858	89348.000000	90197.000000
-1857	89307.000000	90208.500000
-1856	89085.000000	89169.000000
-1855	89652.000000	89915.000000
-1854	89988.500000	89620.500000
-1853	89586.000000	89619.500000
-1852	89774.500000	89924.500000
-1851	89341.500000	89501.500000
-1850	89625.000000	90320.000000
-1849	89123.000000	89114.000000
-1848	89428.500000	89501.500000
-1847	89611.000000	89945.500000
-1846	89746.000000	89633.000000
-1845	89279.000000	89818.000000
-1844	89706.000000	89744.000000
-1843	89408.000000	89818.500000
-1842	89592.000000	90107.500000
-1841	89435.000000	89710.000000
-1840	89130.500000	89790.000000
-1839	89358.500000	89622.500000
-1838	89540.000000	89778.500000
-1837	89500.000000	89473.000000
-1836	89679.000000	89560.500000
-1835	88886.500000	89256.500000
-1834	90051.000000	89696.000000
-1833	90366.500000	89641.000000
-1832	89692.000000	89871.500000
-1831	89323.000000	89354.000000
-1830	89464.500000	89902.000000
-1829	89558.500000	89496.500000
-1828	89127.500000	89759.000000
-1827	89633.000000	89519.500000
-1826	89823.500000	89763.000000
-1825	89116.500000	89800.500000
-1824	89708.500000	89021.500000
-1823	89473.500000	89942.000000
-1822	89662.000000	90109.000000
-1821	89335.000000	90221.000000
-1820	90005.000000	89730.000000
-1819	89796.000000	89359.000000
-1818	89503.500000	89993.000000
-1817	90037.500000	89246.000000
-1816	89141.500000	89946.500000
-1815	89128.000000	89648.000000
-1814	90255.500000	89891.000000
-1813	90322.000000	89235.000000
-1812	89092.000000	89163.500000
-1811	89208.500000	89782.500000
-1810	89085.000000	89188.500000
-1809	88866.000000	90156.500000
-1808	89668.500000	89055.500000
-1807	88916.000000	89429.500000
-1806	89238.000000	89355.500000
-1805	89857.500000	89716.000000
-1804	88985.000000	89186.500000
-1803	89126.500000	89650.500000
-1802	89793.000000	89169.500000
-1801	89685.000000	90093.000000
-1800	89535.000000	89707.500000
-1799	89623.000000	89313.500000
-1798	89685.500000	89958.500000
-1797	89462.500000	90142.500000
-1796	90216.500000	89555.500000
-1795	89120.000000	89495.500000
-1794	89367.500000	89371.000000
-1793	89534.000000	89766.000000
-1792	89715.500000	88789.500000
-1791	89642.000000	90131.000000
-1790	89364.000000	90020.500000
-1789	89981.500000	89219.000000
-1788	89411.500000	89098.500000
-1787	89448.500000	89590.500000
-1786	89443.000000	89775.000000
-1785	88873.500000	89439.000000
-1784	89359.000000	89548.500000
-1783	89606.000000	89947.000000
-1782	89560.500000	89576.500000
-1781	89946.500000	89818.500000
-1780	89434.500000	89516.500000
-1779	89815.000000	89615.500000
-1778	89082.500000	88927.500000
-1777	88953.000000	89511.000000
-1776	89248.000000	89283.000000
-1775	89709.500000	89796.000000
-1774	89634.000000	88864.500000
-1773	89086.000000	89527.000000
-1772	89974.000000	89879.000000
-1771	88570.500000	89542.500000
-1770	90085.500000	89076.500000
-1769	89384.500000	90030.000000
-1768	89274.500000	89327.000000
-1767	89287.000000	90148.500000
-1766	89695.000000	89531.000000
-1765	89984.500000	89518.500000
-1764	89041.000000	89504.000000
-1763	89653.000000	89226.000000
-1762	89679.000000	89767.000000
-1761	88731.500000	89666.500000
-1760	89575.500000	90261.500000
-1759	89723.500000	89737.500000
-1758	89454.500000	89267.500000
-1757	89445.000000	89083.500000
-1756	89152.000000	89727.500000
-1755	89995.500000	89798.000000
-1754	89642.500000	89470.500000
-1753	89401.500000	90323.000000
-1752	88757.500000	89359.500000
-1751	88797.000000	89747.000000
-1750	89488.500000	89119.500000
-1749	89031.500000	89155.500000
-1748	89794.500000	89009.500000
-1747	89765.000000	89427.000000
-1746	88786.000000	89496.500000
-1745	89716.500000	89770.000000
-1744	89998.500000	89520.000000
-1743	89133.500000	89190.500000
-1742	89777.500000	89595.500000
-1741	89827.000000	90276.000000
-1740	89168.000000	89891.500000
-1739	89466.000000	89919.500000
-1738	89666.500000	89466.000000
-1737	88955.000000	89800.000000
-1736	89475.000000	90039.500000
-1735	88980.500000	89071.500000
-1734	89458.000000	89974.000000
-1733	89402.500000	89743.000000
-1732	89099.000000	89773.500000
-1731	89548.500000	90259.000000
-1730	89755.500000	89188.500000
-1729	90147.000000	89388.000000
-1728	89895.500000	89559.000000
-1727	89481.500000	89096.000000
-1726	89809.500000	89704.500000
-1725	89746.500000	88689.500000
-1724	89193.500000	90011.000000
-1723	89609.500000	89142.000000
-1722	89208.500000	90040.500000
-1721	89485.000000	89537.500000
-1720	89430.000000	89321.500000
-1719	89614.000000	90128.500000
-1718	88817.000000	89199.000000
-1717	89333.000000	89526.500000
-1716	89206.000000	89583.000000
-1715	90151.500000	89426.500000
-1714	89167.500000	89298.000000
-1713	88992.000000	89665.500000
-1712	89031.000000	89207.000000
-1711	89583.000000	89481.000000
-1710	89426.500000	90131.000000
-1709	89865.000000	89478.500000
-1708	89380.500000	88850.500000
-1707	89559.500000	89481.000000
-1706	89880.500000	89357.500000
-1705	89756.500000	90199.000000
-1704	89665.000000	89288.000000
-1703	88823.500000	90115.000000
-1702	89166.500000	89871.500000
-1701	89394.500000	89524.500000
-1700	89647.000000	89263.000000
-1699	89250.000000	90121.500000
-1698	89857.500000	89209.500000
-1697	88856.000000	89758.500000
-1696	88915.000000	90240.500000
-1695	89572.000000	89528.000000
-1694	89430.500000	89542.000000
-1693	89264.000000	89761.000000
-1692	89295.000000	89718.000000
-1691	90301.000000	89025.000000
-1690	90338.500000	89279.000000
-1689	89416.500000	89549.500000
-1688	89221.000000	89283.500000
-1687	89521.500000	89858.500000
-1686	89501.500000	89292.000000
-1685	89348.000000	90094.000000
-1684	89361.000000	89783.500000
-1683	89251.500000	89576.000000
-1682	88639.000000	89281.500000
-1681	89413.000000	89246.500000
-1680	90195.000000	89840.500000
-1679	89712.500000	89615.000000
-1678	89173.000000	89517.000000
-1677	89638.500000	89383.500000
-1676	88826.500000	90337.000000
-1675	89337.000000	89787.000000
-1674	89343.000000	89794.000000
-1673	89585.500000	89624.500000
-1672	88969.000000	89618.000000
-1671	89535.500000	89288.500000
-1670	89240.000000	89845.000000
-1669	89979.500000	88979.000000
-1668	89855.000000	89339.500000
-1667	89577.000000	89592.000000
-1666	88863.000000	89587.000000
-1665	89224.000000	89230.000000
-1664	89234.500000	89885.500000
-1663	89626.000000	89721.000000
-1662	89289.500000	89479.000000
-1661	89191.500000	89673.500000
-1660	89543.000000	89006.000000
-1659	89043.000000	89393.500000
-1658	90037.000000	89258.000000
-1657	89467.000000	89533.500000
-1656	88807.000000	89451.500000
-1655	89989.500000	90902.500000
-1654	89614.500000	89389.000000
-1653	89443.000000	90488.000000
-1652	89493.000000	89534.000000
-1651	89396.500000	89719.000000
-1650	88991.000000	89986.500000
-1649	89727.500000	89436.500000
-1648	89456.500000	90011.000000
-1647	89012.000000	89895.500000
-1646	89312.500000	90273.000000
-1645	89443.500000	90225.500000
-1644	89726.000000	89566.500000
-1643	89262.000000	89621.000000
-1642	89479.000000	89758.500000
-1641	90015.000000	90065.000000
-1640	90135.500000	89514.500000
-1639	88920.500000	89324.000000
-1638	89333.000000	89721.500000
-1637	90143.000000	90016.000000
-1636	88994.500000	89691.500000
-1635	89938.000000	89221.500000
-1634	89906.500000	88819.000000
-1633	89062.000000	89586.000000
-1632	89669.500000	89453.000000
-1631	89395.500000	89738.500000
-1630	89330.500000	89882.500000
-1629	89175.500000	90582.500000
-1628	88961.000000	89338.000000
-1627	89640.500000	89874.500000
-1626	88771.000000	89711.000000
-1625	89279.000000	88982.000000
-1624	90062.000000	89733.500000
-1623	89262.000000	89450.000000
-1622	89615.500000	89662.000000
-1621	89371.000000	89416.500000
-1620	89364.500000	89576.000000
-1619	89360.500000	89844.000000
-1618	89100.500000	90123.500000
-1617	89084.500000	89996.000000
-1616	89628.500000	89142.500000
-1615	90119.000000	89909.000000
-1614	90092.000000	89966.000000
-1613	88909.500000	90485.500000
-1612	89340.000000	89726.000000
-1611	89376.500000	90171.000000
-1610	89810.000000	89949.000000
-1609	89301.000000	89587.500000
-1608	89433.000000	90211.500000
-1607	89545.500000	88978.000000
-1606	89111.500000	89669.000000
-1605	89637.000000	89893.000000
-1604	89372.500000	89443.500000
-1603	89451.500000	89509.500000
-1602	89584.500000	89009.500000
-1601	89379.000000	89319.500000
-1600	89863.000000	90245.500000
-1599	89240.000000	90581.000000
-1598	89390.500000	90196.000000
-1597	89284.000000	90046.000000
-1596	89350.000000	89658.000000
-1595	89093.000000	89552.000000
-1594	89255.000000	89625.000000
-1593	90043.000000	89024.500000
-1592	89219.500000	89515.500000
-1591	90447.500000	88966.500000
-1590	89582.500000	89358.000000
-1589	89814.500000	89713.500000
-1588	89790.500000	89396.000000
-1587	88972.000000	89927.000000
-1586	89970.500000	89574.000000
-1585	89325.000000	89542.500000
-1584	89051.500000	90032.500000
-1583	88833.500000	90017.000000
-1582	89135.500000	89841.500000
-1581	90060.500000	89888.000000
-1580	90025.000000	89587.500000
-1579	89086.500000	89569.000000
-1578	89273.000000	89208.000000
-1577	88778.500000	89044.000000
-1576	89865.000000	89369.500000
-1575	89613.000000	89627.000000
-1574	89463.000000	89439.500000
-1573	89821.000000	90027.000000
-1572	89601.500000	89438.500000
-1571	88485.000000	89888.500000
-1570	89293.000000	89446.000000
-1569	89319.000000	90050.500000
-1568	88962.000000	89418.500000
-1567	89709.500000	89656.000000
-1566	89599.000000	90155.000000
-1565	89411.000000	89415.500000
-1564	89758.500000	89856.000000
-1563	89478.000000	89547.500000
-1562	89734.500000	89960.000000
-1561	89209.000000	90349.000000
-1560	89312.500000	89462.500000
-1559	89073.000000	89095.000000
-1558	89077.500000	89863.000000
-1557	88939.000000	89637.000000
-1556	89234.500000	89763.500000
-1555	88925.000000	89366.500000
