GC%	Total	Normalized Fraction(PDF)
0.000	2.0	0.000005
0.005	14.5	0.000038
0.010	6.5	0.000017
0.016	30.0	0.000079
0.021	28.0	0.000074
0.026	76.5	0.000203
0.031	80.0	0.000212
0.037	106.0	0.000281
0.042	110.0	0.000291
0.047	140.5	0.000372
0.052	206.5	0.000547
0.058	259.5	0.000687
0.063	244.0	0.000646
0.068	290.0	0.000768
0.073	332.5	0.000880
0.079	430.0	0.001138
0.084	492.5	0.001304
0.089	513.0	0.001358
0.094	637.0	0.001686
0.099	683.5	0.001810
0.105	731.5	0.001937
0.110	824.0	0.002182
0.115	971.0	0.002571
0.120	1032.0	0.002732
0.126	1141.0	0.003021
0.131	1432.0	0.003791
0.136	1670.5	0.004423
0.141	2030.0	0.005374
0.147	2278.0	0.006031
0.152	2950.0	0.007810
0.157	3858.0	0.010214
0.162	4941.5	0.013083
0.168	6433.0	0.017032
0.173	8666.5	0.022945
0.178	11728.0	0.031050
0.183	15932.5	0.042182
0.188	21622.0	0.057245
0.194	29168.5	0.077225
0.199	39636.5	0.104939
0.204	52270.0	0.138387
0.209	69468.0	0.183919
0.215	90128.0	0.238617
0.220	116865.0	0.309404
0.225	150253.5	0.397801
0.230	187836.0	0.497302
0.236	232939.0	0.616714
0.241	286424.0	0.758317
0.246	343390.5	0.909137
0.251	407707.0	1.079417
0.257	479881.5	1.270502
0.262	555952.5	1.471902
0.267	637539.5	1.687906
0.272	719143.5	1.903956
0.277	805251.0	2.131928
0.283	890293.5	2.357081
0.288	976633.0	2.585668
0.293	1059734.0	2.805680
0.298	1140590.0	3.019749
0.304	1220918.0	3.232420
0.309	1288170.0	3.410472
0.314	1357919.0	3.595135
0.319	1419224.0	3.757442
0.325	1472727.5	3.899094
0.330	1520337.0	4.025141
0.335	1559600.0	4.129092
0.340	1590149.5	4.209972
0.346	1615382.5	4.276778
0.351	1637102.0	4.334281
0.356	1644573.0	4.354060
0.361	1649459.5	4.366997
0.366	1646490.0	4.359136
0.372	1640173.0	4.342411
0.377	1630141.5	4.315852
0.382	1614000.5	4.273119
0.387	1595244.5	4.223462
0.393	1573987.0	4.167182
0.398	1551287.5	4.107084
0.403	1528036.5	4.045526
0.408	1502840.0	3.978818
0.414	1478190.0	3.913556
0.419	1454060.0	3.849671
0.424	1427198.0	3.778553
0.429	1394633.5	3.692337
0.435	1367697.5	3.621023
0.440	1340122.0	3.548016
0.445	1308578.5	3.464504
0.450	1277792.0	3.382996
0.455	1240745.5	3.284914
0.461	1207135.5	3.195930
0.466	1171396.0	3.101309
0.471	1128000.0	2.986417
0.476	1088926.0	2.882967
0.482	1046833.0	2.771524
0.487	998571.0	2.643749
0.492	951162.5	2.518234
0.497	903082.0	2.390939
0.503	850529.0	2.251803
0.508	797596.5	2.111663
0.513	741062.0	1.961986
0.518	687714.5	1.820746
0.524	630363.5	1.668908
0.529	575496.0	1.523644
0.534	524682.5	1.389114
0.539	472605.5	1.251238
0.545	428161.5	1.133571
0.550	386023.0	1.022008
0.555	348115.0	0.921646
0.560	315585.5	0.835523
0.565	286475.0	0.758452
0.571	260064.5	0.688529
0.576	236044.5	0.624935
0.581	215229.0	0.569826
0.586	196589.0	0.520476
0.592	180276.0	0.477287
0.597	166144.0	0.439872
0.602	150686.5	0.398947
0.607	138443.5	0.366534
0.613	125900.0	0.333324
0.618	114551.0	0.303277
0.623	102910.5	0.272459
0.628	92878.5	0.245899
0.634	83143.0	0.220124
0.639	74428.5	0.197052
0.644	65331.5	0.172967
0.649	58286.0	0.154314
0.654	50995.0	0.135011
0.660	45006.0	0.119155
0.665	39454.5	0.104457
0.670	34337.5	0.090910
0.675	29905.5	0.079176
0.681	25884.0	0.068529
0.686	22757.5	0.060251
0.691	19524.0	0.051690
0.696	17590.0	0.046570
0.702	15344.0	0.040624
0.707	13786.0	0.036499
0.712	12351.5	0.032701
0.717	11253.5	0.029794
0.723	10052.0	0.026613
0.728	9140.5	0.024200
0.733	8196.5	0.021700
0.738	7493.0	0.019838
0.743	6920.0	0.018321
0.749	6309.5	0.016705
0.754	5894.0	0.015605
0.759	5242.0	0.013878
0.764	4711.0	0.012473
0.770	4168.0	0.011035
0.775	3972.0	0.010516
0.780	3209.0	0.008496
0.785	3011.5	0.007973
0.791	2723.5	0.007211
0.796	2203.0	0.005833
0.801	1858.5	0.004920
0.806	1612.5	0.004269
0.812	1369.5	0.003626
0.817	1114.0	0.002949
0.822	882.5	0.002336
0.827	708.0	0.001874
0.832	638.0	0.001689
0.838	442.0	0.001170
0.843	361.5	0.000957
0.848	290.5	0.000769
0.853	202.5	0.000536
0.859	151.0	0.000400
0.864	104.5	0.000277
0.869	87.0	0.000230
0.874	72.5	0.000192
0.880	40.5	0.000107
0.885	14.0	0.000037
0.890	14.0	0.000037
0.895	3.5	0.000009
0.901	6.0	0.000016
0.906	2.5	0.000007
0.911	8.0	0.000021
0.916	1.5	0.000004
0.921	0.0	0.000000
0.927	0.0	0.000000
0.932	0.0	0.000000
0.937	0.0	0.000000
0.942	0.0	0.000000
0.948	0.0	0.000000
0.953	0.0	0.000000
0.958	0.0	0.000000
0.963	0.0	0.000000
0.969	0.0	0.000000
0.974	0.0	0.000000
0.979	0.0	0.000000
0.984	0.0	0.000000
0.990	0.0	0.000000
0.995	0.0	0.000000
1.000	0.0	0.000000
1.005	0.0	0.000000
