Tag Length (Average tag length = 106.628059)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000015
3	0.000026
4	0.000051
5	0.000065
6	0.000065
7	0.000064
8	0.000066
9	0.000070
10	0.000071
11	0.000074
12	0.000076
13	0.000076
14	0.000080
15	0.000079
16	0.000081
17	0.000081
18	0.000084
19	0.000717
20	0.001486
21	0.002019
22	0.002288
23	0.002468
24	0.002609
25	0.002867
26	0.003051
27	0.003172
28	0.003151
29	0.002956
30	0.002849
31	0.002799
32	0.002784
33	0.002820
34	0.002945
35	0.003061
36	0.003205
37	0.003299
38	0.003253
39	0.003168
40	0.003045
41	0.002936
42	0.002927
43	0.002978
44	0.003055
45	0.003160
46	0.003235
47	0.003304
48	0.003306
49	0.003218
50	0.003147
51	0.003082
52	0.003050
53	0.003065
54	0.003104
55	0.003199
56	0.003267
57	0.003351
58	0.003346
59	0.003316
60	0.003267
61	0.003189
62	0.003169
63	0.003143
64	0.003182
65	0.003247
66	0.003303
67	0.003395
68	0.003419
69	0.003408
70	0.003397
71	0.003339
72	0.003319
73	0.003302
74	0.003309
75	0.003369
76	0.003441
77	0.003524
78	0.003569
79	0.003591
80	0.003589
81	0.003552
82	0.003555
83	0.003495
84	0.003499
85	0.003542
86	0.003588
87	0.003670
88	0.003713
89	0.003721
90	0.003716
91	0.003685
92	0.003656
93	0.003623
94	0.003605
95	0.003630
96	0.003652
97	0.003722
98	0.003782
99	0.003809
100	0.003841
101	0.003824
102	0.003823
103	0.003815
104	0.003817
105	0.003885
106	0.003949
107	0.004058
108	0.004162
109	0.004331
110	0.004419
111	0.004596
112	0.004742
113	0.005001
114	0.005243
115	0.005741
116	0.006281
117	0.007270
118	0.008013
119	0.009778
120	0.011995
121	0.016001
122	0.020788
123	0.039611
124	0.136836
125	0.413312
