feature	count
ENSMUSG00000000001	0
ENSMUSG00000000003	0
ENSMUSG00000000028	0
ENSMUSG00000000031	0
ENSMUSG00000000037	0
ENSMUSG00000000049	0
ENSMUSG00000000056	0
ENSMUSG00000000058	0
ENSMUSG00000000078	0
ENSMUSG00000000085	0
ENSMUSG00000000088	0
ENSMUSG00000000093	0
ENSMUSG00000000094	0
ENSMUSG00000000103	0
ENSMUSG00000000120	0
ENSMUSG00000000125	0
ENSMUSG00000000126	0
ENSMUSG00000000127	0
ENSMUSG00000000131	0
ENSMUSG00000000134	0
ENSMUSG00000000142	0
ENSMUSG00000000148	0
ENSMUSG00000000149	0
ENSMUSG00000000154	0
ENSMUSG00000000157	0
ENSMUSG00000000159	0
ENSMUSG00000000167	0
ENSMUSG00000000168	0
ENSMUSG00000000171	0
ENSMUSG00000000182	0
ENSMUSG00000000183	0
ENSMUSG00000000184	0
ENSMUSG00000000194	0
ENSMUSG00000000197	0
ENSMUSG00000000202	0
ENSMUSG00000000204	0
ENSMUSG00000000214	0
ENSMUSG00000000215	0
ENSMUSG00000000216	0
ENSMUSG00000000223	0
ENSMUSG00000000244	0
ENSMUSG00000000247	0
ENSMUSG00000000248	0
ENSMUSG00000000253	0
ENSMUSG00000000263	0
ENSMUSG00000000266	0
ENSMUSG00000000275	0
ENSMUSG00000000276	0
ENSMUSG00000000278	0
ENSMUSG00000000282	0
ENSMUSG00000000290	0
ENSMUSG00000000295	0
ENSMUSG00000000296	0
ENSMUSG00000000301	0
ENSMUSG00000000303	0
ENSMUSG00000000305	0
ENSMUSG00000000308	0
ENSMUSG00000000317	0
ENSMUSG00000000318	0
ENSMUSG00000000320	0
ENSMUSG00000000325	0
ENSMUSG00000000326	0
ENSMUSG00000000339	0
ENSMUSG00000000340	0
ENSMUSG00000000346	0
ENSMUSG00000000355	0
ENSMUSG00000000359	0
ENSMUSG00000000365	0
ENSMUSG00000000374	0
ENSMUSG00000000378	0
ENSMUSG00000000381	0
ENSMUSG00000000384	0
ENSMUSG00000000385	0
ENSMUSG00000000386	0
ENSMUSG00000000392	0
ENSMUSG00000000394	18
ENSMUSG00000000399	0
ENSMUSG00000000402	0
ENSMUSG00000000409	0
ENSMUSG00000000411	0
ENSMUSG00000000416	0
ENSMUSG00000000420	0
ENSMUSG00000000435	0
ENSMUSG00000000439	0
ENSMUSG00000000440	0
ENSMUSG00000000441	0
ENSMUSG00000000486	0
ENSMUSG00000000489	0
ENSMUSG00000000530	0
ENSMUSG00000000531	0
ENSMUSG00000000532	0
ENSMUSG00000000538	0
ENSMUSG00000000544	0
ENSMUSG00000000552	0
ENSMUSG00000000555	0
ENSMUSG00000000560	0
ENSMUSG00000000561	0
ENSMUSG00000000562	0
ENSMUSG00000000563	0
ENSMUSG00000000567	0
ENSMUSG00000000568	0
ENSMUSG00000000579	0
ENSMUSG00000000581	0
ENSMUSG00000000594	0
ENSMUSG00000000600	0
ENSMUSG00000000605	0
ENSMUSG00000000606	0
ENSMUSG00000000617	0
ENSMUSG00000000627	0
ENSMUSG00000000628	0
ENSMUSG00000000631	0
ENSMUSG00000000632	0
ENSMUSG00000000673	0
ENSMUSG00000000682	0
ENSMUSG00000000686	0
ENSMUSG00000000690	0
ENSMUSG00000000693	0
ENSMUSG00000000701	0
ENSMUSG00000000706	0
ENSMUSG00000000708	0
ENSMUSG00000000711	0
ENSMUSG00000000724	0
ENSMUSG00000000730	0
ENSMUSG00000000731	0
ENSMUSG00000000732	0
ENSMUSG00000000738	0
ENSMUSG00000000739	0
ENSMUSG00000000740	0
ENSMUSG00000000743	0
ENSMUSG00000000751	0
ENSMUSG00000000753	0
ENSMUSG00000000759	0
ENSMUSG00000000766	0
ENSMUSG00000000776	0
ENSMUSG00000000782	0
ENSMUSG00000000787	0
ENSMUSG00000000791	0
ENSMUSG00000000792	0
ENSMUSG00000000794	0
ENSMUSG00000000804	0
ENSMUSG00000000805	0
ENSMUSG00000000811	0
ENSMUSG00000000817	0
ENSMUSG00000000823	0
ENSMUSG00000000826	0
ENSMUSG00000000827	0
ENSMUSG00000000838	0
ENSMUSG00000000861	0
ENSMUSG00000000869	0
ENSMUSG00000000876	0
ENSMUSG00000000881	0
ENSMUSG00000000884	0
ENSMUSG00000000889	0
ENSMUSG00000000901	0
ENSMUSG00000000902	0
ENSMUSG00000000903	0
ENSMUSG00000000915	0
ENSMUSG00000000916	0
ENSMUSG00000000934	0
ENSMUSG00000000938	0
ENSMUSG00000000942	0
ENSMUSG00000000948	0
ENSMUSG00000000957	0
ENSMUSG00000000958	0
ENSMUSG00000000959	0
ENSMUSG00000000976	0
ENSMUSG00000000982	0
ENSMUSG00000000983	0
ENSMUSG00000001014	0
ENSMUSG00000001016	0
ENSMUSG00000001017	0
ENSMUSG00000001018	0
ENSMUSG00000001020	0
ENSMUSG00000001021	0
ENSMUSG00000001023	0
ENSMUSG00000001025	0
ENSMUSG00000001027	0
ENSMUSG00000001029	0
ENSMUSG00000001034	0
ENSMUSG00000001036	0
ENSMUSG00000001039	0
ENSMUSG00000001052	0
ENSMUSG00000001053	0
ENSMUSG00000001054	0
ENSMUSG00000001056	0
ENSMUSG00000001062	0
ENSMUSG00000001065	0
ENSMUSG00000001076	0
ENSMUSG00000001082	0
ENSMUSG00000001089	0
ENSMUSG00000001095	0
ENSMUSG00000001098	0
ENSMUSG00000001100	0
ENSMUSG00000001103	0
ENSMUSG00000001105	0
ENSMUSG00000001119	0
ENSMUSG00000001120	0
ENSMUSG00000001123	0
ENSMUSG00000001127	0
ENSMUSG00000001128	0
ENSMUSG00000001131	0
ENSMUSG00000001134	0
ENSMUSG00000001138	0
ENSMUSG00000001143	0
ENSMUSG00000001150	0
ENSMUSG00000001151	0
ENSMUSG00000001155	0
ENSMUSG00000001156	0
ENSMUSG00000001157	0
ENSMUSG00000001158	0
ENSMUSG00000001166	0
ENSMUSG00000001168	0
ENSMUSG00000001173	0
ENSMUSG00000001175	0
ENSMUSG00000001211	0
ENSMUSG00000001225	0
ENSMUSG00000001227	0
ENSMUSG00000001228	0
ENSMUSG00000001229	0
ENSMUSG00000001240	0
ENSMUSG00000001247	0
ENSMUSG00000001248	0
ENSMUSG00000001249	0
ENSMUSG00000001260	0
ENSMUSG00000001270	0
ENSMUSG00000001280	0
ENSMUSG00000001281	0
ENSMUSG00000001285	0
ENSMUSG00000001288	0
ENSMUSG00000001289	0
ENSMUSG00000001300	0
ENSMUSG00000001305	0
ENSMUSG00000001313	0
ENSMUSG00000001323	0
ENSMUSG00000001333	0
ENSMUSG00000001334	0
ENSMUSG00000001348	0
ENSMUSG00000001349	0
ENSMUSG00000001366	0
ENSMUSG00000001376	0
ENSMUSG00000001380	0
ENSMUSG00000001383	0
ENSMUSG00000001403	0
ENSMUSG00000001415	0
ENSMUSG00000001416	0
ENSMUSG00000001418	0
ENSMUSG00000001419	0
ENSMUSG00000001420	0
ENSMUSG00000001424	0
ENSMUSG00000001435	0
ENSMUSG00000001436	0
ENSMUSG00000001440	0
ENSMUSG00000001441	0
ENSMUSG00000001444	0
ENSMUSG00000001445	0
ENSMUSG00000001467	0
ENSMUSG00000001472	0
ENSMUSG00000001473	0
ENSMUSG00000001482	0
ENSMUSG00000001493	0
ENSMUSG00000001494	0
ENSMUSG00000001496	0
ENSMUSG00000001497	0
ENSMUSG00000001504	0
ENSMUSG00000001506	0
ENSMUSG00000001507	0
ENSMUSG00000001508	0
ENSMUSG00000001510	0
ENSMUSG00000001517	0
ENSMUSG00000001518	0
ENSMUSG00000001520	0
ENSMUSG00000001521	0
ENSMUSG00000001524	0
ENSMUSG00000001525	0
ENSMUSG00000001542	0
ENSMUSG00000001552	0
ENSMUSG00000001555	0
ENSMUSG00000001558	0
ENSMUSG00000001566	0
ENSMUSG00000001569	0
ENSMUSG00000001576	0
ENSMUSG00000001583	0
ENSMUSG00000001588	0
ENSMUSG00000001604	0
ENSMUSG00000001622	0
ENSMUSG00000001627	0
ENSMUSG00000001630	0
ENSMUSG00000001632	0
ENSMUSG00000001642	0
ENSMUSG00000001655	0
ENSMUSG00000001656	0
ENSMUSG00000001657	0
ENSMUSG00000001661	0
ENSMUSG00000001663	0
ENSMUSG00000001665	0
ENSMUSG00000001666	0
ENSMUSG00000001670	0
ENSMUSG00000001672	0
ENSMUSG00000001674	0
ENSMUSG00000001687	0
ENSMUSG00000001700	0
ENSMUSG00000001707	0
ENSMUSG00000001729	0
ENSMUSG00000001739	0
ENSMUSG00000001741	0
ENSMUSG00000001750	0
ENSMUSG00000001751	0
ENSMUSG00000001755	0
ENSMUSG00000001761	0
ENSMUSG00000001763	0
ENSMUSG00000001767	0
ENSMUSG00000001768	0
ENSMUSG00000001773	0
ENSMUSG00000001774	0
ENSMUSG00000001783	0
ENSMUSG00000001785	0
ENSMUSG00000001786	0
ENSMUSG00000001794	0
ENSMUSG00000001802	0
ENSMUSG00000001804	0
ENSMUSG00000001815	0
ENSMUSG00000001819	0
ENSMUSG00000001823	0
ENSMUSG00000001827	0
ENSMUSG00000001829	0
ENSMUSG00000001833	0
ENSMUSG00000001844	0
ENSMUSG00000001847	0
ENSMUSG00000001855	0
ENSMUSG00000001864	0
ENSMUSG00000001865	0
ENSMUSG00000001870	0
ENSMUSG00000001891	0
ENSMUSG00000001901	0
