Found 196 primers in BED file

Number of references in file: 1
NC_045512.2
Using Region: NC_045512.2

Found 2704189 mapped reads
Found 0 unmapped reads
Sorted By Coordinate
-------
Processed 10% reads ... 
Processed 20% reads ... 
Processed 30% reads ... 
Processed 40% reads ... 
Processed 50% reads ... 
Processed 60% reads ... 
Processed 70% reads ... 
Processed 80% reads ... 
Processed 90% reads ... 
Processed 100% reads ... 

-------
Results: 
Primer Name	Read Count
nCoV-2019_1_LEFT	14158
nCoV-2019_1_RIGHT	13119
nCoV-2019_2_LEFT	6398
nCoV-2019_2_RIGHT	5932
nCoV-2019_3_LEFT	41917
nCoV-2019_3_RIGHT	41684
nCoV-2019_4_LEFT	36841
nCoV-2019_4_RIGHT	35808
nCoV-2019_5_LEFT	5028
nCoV-2019_5_RIGHT	3613
nCoV-2019_6_LEFT	5739
nCoV-2019_6_RIGHT	3277
nCoV-2019_7_LEFT	4170
nCoV-2019_7_RIGHT	2978
nCoV-2019_8_LEFT	5734
nCoV-2019_8_RIGHT	7507
nCoV-2019_9_LEFT	2706
nCoV-2019_9_RIGHT	6318
nCoV-2019_10_LEFT	5063
nCoV-2019_10_RIGHT	4320
nCoV-2019_11_LEFT	17105
nCoV-2019_11_RIGHT	18345
nCoV-2019_12_LEFT	7711
nCoV-2019_12_RIGHT	6125
nCoV-2019_13_LEFT	189
nCoV-2019_13_RIGHT	256
nCoV-2019_14_LEFT	43107
nCoV-2019_14_RIGHT	35305
nCoV-2019_15_LEFT	265
nCoV-2019_15_RIGHT	221
nCoV-2019_16_LEFT	15137
nCoV-2019_16_RIGHT	23428
nCoV-2019_17_LEFT	1152
nCoV-2019_17_RIGHT	443
nCoV-2019_18_LEFT	176
nCoV-2019_18_RIGHT	3477
nCoV-2019_19_LEFT	11165
nCoV-2019_19_RIGHT	11057
nCoV-2019_20_LEFT	5176
nCoV-2019_20_RIGHT	4594
nCoV-2019_21_LEFT	2774
nCoV-2019_21_RIGHT	1917
nCoV-2019_22_LEFT	58660
nCoV-2019_22_RIGHT	50292
nCoV-2019_23_LEFT	2934
nCoV-2019_23_RIGHT	8071
nCoV-2019_24_LEFT	9778
nCoV-2019_24_RIGHT	10077
nCoV-2019_25_LEFT	20787
nCoV-2019_25_RIGHT	24333
nCoV-2019_26_LEFT	1707
nCoV-2019_26_RIGHT	2913
nCoV-2019_27_LEFT	18061
nCoV-2019_27_RIGHT	18177
nCoV-2019_28_LEFT	1311
nCoV-2019_28_RIGHT	1500
nCoV-2019_29_LEFT	248
nCoV-2019_29_RIGHT	22
nCoV-2019_30_LEFT	16054
nCoV-2019_30_RIGHT	15312
nCoV-2019_31_LEFT	12105
nCoV-2019_31_RIGHT	5449
nCoV-2019_32_LEFT	4619
nCoV-2019_32_RIGHT	3584
