file	percent	reads	taxon_id	taxon_name
/work2/genphyse/NED_metaG/processing/mock/metagWGS_1_CPM_without_host/results/03_Classification_Kaiju/s1_kaiju.out	22.902338	6133128	1239	Firmicutes
/work2/genphyse/NED_metaG/processing/mock/metagWGS_1_CPM_without_host/results/03_Classification_Kaiju/s1_kaiju.out	21.733652	5820160	1224	Proteobacteria
/work2/genphyse/NED_metaG/processing/mock/metagWGS_1_CPM_without_host/results/03_Classification_Kaiju/s1_kaiju.out	17.174240	4599173	976	Bacteroidetes
/work2/genphyse/NED_metaG/processing/mock/metagWGS_1_CPM_without_host/results/03_Classification_Kaiju/s1_kaiju.out	14.219438	3807892	201174	Actinobacteria
/work2/genphyse/NED_metaG/processing/mock/metagWGS_1_CPM_without_host/results/03_Classification_Kaiju/s1_kaiju.out	4.027718	1078602	203691	Spirochaetes
/work2/genphyse/NED_metaG/processing/mock/metagWGS_1_CPM_without_host/results/03_Classification_Kaiju/s1_kaiju.out	3.415208	914575	28890	Euryarchaeota
/work2/genphyse/NED_metaG/processing/mock/metagWGS_1_CPM_without_host/results/03_Classification_Kaiju/s1_kaiju.out	1.652276	442471	32066	Fusobacteria
/work2/genphyse/NED_metaG/processing/mock/metagWGS_1_CPM_without_host/results/03_Classification_Kaiju/s1_kaiju.out	1.651701	442317	74201	Verrucomicrobia
/work2/genphyse/NED_metaG/processing/mock/metagWGS_1_CPM_without_host/results/03_Classification_Kaiju/s1_kaiju.out	0.004896	1311	1117	Cyanobacteria
/work2/genphyse/NED_metaG/processing/mock/metagWGS_1_CPM_without_host/results/03_Classification_Kaiju/s1_kaiju.out	0.002502	670	1090	Chlorobi
/work2/genphyse/NED_metaG/processing/mock/metagWGS_1_CPM_without_host/results/03_Classification_Kaiju/s1_kaiju.out	0.002143	574	544448	Tenericutes
/work2/genphyse/NED_metaG/processing/mock/metagWGS_1_CPM_without_host/results/03_Classification_Kaiju/s1_kaiju.out	0.001990	533	200795	Chloroflexi
/work2/genphyse/NED_metaG/processing/mock/metagWGS_1_CPM_without_host/results/03_Classification_Kaiju/s1_kaiju.out	0.001748	468	1297	Deinococcus-Thermus
/work2/genphyse/NED_metaG/processing/mock/metagWGS_1_CPM_without_host/results/03_Classification_Kaiju/s1_kaiju.out	0.001680	450	57723	Acidobacteria
/work2/genphyse/NED_metaG/processing/mock/metagWGS_1_CPM_without_host/results/03_Classification_Kaiju/s1_kaiju.out	0.001318	353	203682	Planctomycetes
/work2/genphyse/NED_metaG/processing/mock/metagWGS_1_CPM_without_host/results/03_Classification_Kaiju/s1_kaiju.out	0.001165	312	28889	Crenarchaeota
/work2/genphyse/NED_metaG/processing/mock/metagWGS_1_CPM_without_host/results/03_Classification_Kaiju/s1_kaiju.out	0.001154	309	200918	Thermotogae
/work2/genphyse/NED_metaG/processing/mock/metagWGS_1_CPM_without_host/results/03_Classification_Kaiju/s1_kaiju.out	0.000758	203	1134404	Ignavibacteriae
/work2/genphyse/NED_metaG/processing/mock/metagWGS_1_CPM_without_host/results/03_Classification_Kaiju/s1_kaiju.out	0.000713	191	256845	Lentisphaerae
/work2/genphyse/NED_metaG/processing/mock/metagWGS_1_CPM_without_host/results/03_Classification_Kaiju/s1_kaiju.out	0.000676	181	40117	Nitrospirae
/work2/genphyse/NED_metaG/processing/mock/metagWGS_1_CPM_without_host/results/03_Classification_Kaiju/s1_kaiju.out	0.000489	131	1930617	Calditrichaeota
