file	percent	reads	taxon_id	taxon_name
first_kaiju_MEM_verbose.out	16.165512	4329041	543	Enterobacteriaceae
first_kaiju_MEM_verbose.out	15.638815	4187994	815	Bacteroidaceae
first_kaiju_MEM_verbose.out	10.899250	2918763	31953	Bifidobacteriaceae
first_kaiju_MEM_verbose.out	6.242334	1671665	541000	Ruminococcaceae
first_kaiju_MEM_verbose.out	6.032159	1615381	81852	Enterococcaceae
first_kaiju_MEM_verbose.out	4.026466	1078267	137	Spirochaetaceae
first_kaiju_MEM_verbose.out	3.352723	897842	1300	Streptococcaceae
first_kaiju_MEM_verbose.out	2.852964	764009	1643826	Eggerthellaceae
first_kaiju_MEM_verbose.out	2.818161	754689	2183	Methanococcaceae
first_kaiju_MEM_verbose.out	2.740957	734014	72294	Campylobacteraceae
first_kaiju_MEM_verbose.out	2.150676	575940	909930	Acidaminococcaceae
first_kaiju_MEM_verbose.out	1.893827	507157	186817	Bacillaceae
first_kaiju_MEM_verbose.out	1.649065	441611	1647988	Akkermansiaceae
first_kaiju_MEM_verbose.out	1.645487	440653	203492	Fusobacteriaceae
first_kaiju_MEM_verbose.out	1.402656	375624	186804	Peptostreptococcaceae
first_kaiju_MEM_verbose.out	0.724842	194109	1903414	Morganellaceae
first_kaiju_MEM_verbose.out	0.700413	187567	186803	Lachnospiraceae
first_kaiju_MEM_verbose.out	0.676014	181033	31977	Veillonellaceae
first_kaiju_MEM_verbose.out	0.614504	164561	72293	Helicobacteraceae
first_kaiju_MEM_verbose.out	0.595628	159506	2005525	Tannerellaceae
first_kaiju_MEM_verbose.out	0.589858	157961	2159	Methanobacteriaceae
first_kaiju_MEM_verbose.out	0.395799	105993	84107	Coriobacteriaceae
first_kaiju_MEM_verbose.out	0.316489	84754	171552	Prevotellaceae
first_kaiju_MEM_verbose.out	0.127493	34142	84642	Aeromonadaceae
first_kaiju_MEM_verbose.out	0.100177	26827	171550	Rikenellaceae
first_kaiju_MEM_verbose.out	0.041207	11035	49546	Flavobacteriaceae
first_kaiju_MEM_verbose.out	0.038018	10181	1903411	Yersiniaceae
first_kaiju_MEM_verbose.out	0.033619	9003	444	Legionellaceae
first_kaiju_MEM_verbose.out	0.018675	5001	31979	Clostridiaceae
first_kaiju_MEM_verbose.out	0.017547	4699	90964	Staphylococcaceae
first_kaiju_MEM_verbose.out	0.016546	4431	1853231	Odoribacteraceae
first_kaiju_MEM_verbose.out	0.014571	3902	33958	Lactobacillaceae
first_kaiju_MEM_verbose.out	0.014100	3776	84566	Sphingobacteriaceae
first_kaiju_MEM_verbose.out	0.011169	2991	641	Vibrionaceae
first_kaiju_MEM_verbose.out	0.010941	2930	171551	Porphyromonadaceae
first_kaiju_MEM_verbose.out	0.009485	2540	1903409	Erwiniaceae
first_kaiju_MEM_verbose.out	0.008682	2325	186822	Paenibacillaceae
first_kaiju_MEM_verbose.out	0.008062	2159	563835	Chitinophagaceae
first_kaiju_MEM_verbose.out	0.007890	2113	1903410	Pectobacteriaceae
first_kaiju_MEM_verbose.out	0.007864	2106	2062	Streptomycetaceae
first_kaiju_MEM_verbose.out	0.007491	2006	28056	Micromonosporaceae
first_kaiju_MEM_verbose.out	0.007226	1935	2005473	Muribaculaceae
