file	percent	reads	taxon_id	taxon_name
first_kaiju_MEM_verbose.out	15.638815	4187994	816	Bacteroides
first_kaiju_MEM_verbose.out	10.827304	2899496	1678	Bifidobacterium
first_kaiju_MEM_verbose.out	6.238302	1670585	1263	Ruminococcus
first_kaiju_MEM_verbose.out	6.000340	1606860	1350	Enterococcus
first_kaiju_MEM_verbose.out	5.363789	1436395	547	Enterobacter
first_kaiju_MEM_verbose.out	4.024204	1077661	157	Treponema
first_kaiju_MEM_verbose.out	2.895455	775388	1301	Streptococcus
first_kaiju_MEM_verbose.out	2.815801	754057	2184	Methanococcus
first_kaiju_MEM_verbose.out	2.739197	733543	194	Campylobacter
first_kaiju_MEM_verbose.out	2.152122	576327	84111	Eggerthella
first_kaiju_MEM_verbose.out	2.149324	575578	904	Acidaminococcus
first_kaiju_MEM_verbose.out	1.806316	483722	590	Salmonella
first_kaiju_MEM_verbose.out	1.649065	441611	239934	Akkermansia
first_kaiju_MEM_verbose.out	1.644550	440402	848	Fusobacterium
first_kaiju_MEM_verbose.out	1.396244	373907	1870884	Clostridioides
first_kaiju_MEM_verbose.out	1.189713	318599	150247	Anoxybacillus
first_kaiju_MEM_verbose.out	1.117075	299147	570	Klebsiella
first_kaiju_MEM_verbose.out	0.703385	188363	583	Proteus
first_kaiju_MEM_verbose.out	0.614310	164509	209	Helicobacter
first_kaiju_MEM_verbose.out	0.609986	163351	84108	Slackia
first_kaiju_MEM_verbose.out	0.588887	157701	2172	Methanobrevibacter
first_kaiju_MEM_verbose.out	0.585504	156795	195950	Tannerella
first_kaiju_MEM_verbose.out	0.510813	136793	841	Roseburia
first_kaiju_MEM_verbose.out	0.446342	119528	1357	Lactococcus
first_kaiju_MEM_verbose.out	0.393764	105448	102106	Collinsella
first_kaiju_MEM_verbose.out	0.380448	101882	29465	Veillonella
first_kaiju_MEM_verbose.out	0.316063	84640	544	Citrobacter
first_kaiju_MEM_verbose.out	0.312064	83569	838	Prevotella
first_kaiju_MEM_verbose.out	0.293927	78712	39948	Dialister
first_kaiju_MEM_verbose.out	0.138080	36977	572511	Blautia
first_kaiju_MEM_verbose.out	0.126787	33953	642	Aeromonas
first_kaiju_MEM_verbose.out	0.105469	28244	702	Plesiomonas
first_kaiju_MEM_verbose.out	0.100887	27017	579	Kluyvera
first_kaiju_MEM_verbose.out	0.069759	18681	561	Escherichia
first_kaiju_MEM_verbose.out	0.062309	16686	1611681	Mucinivorans
first_kaiju_MEM_verbose.out	0.034967	9364	239759	Alistipes
first_kaiju_MEM_verbose.out	0.033514	8975	445	Legionella
first_kaiju_MEM_verbose.out	0.020852	5584	83654	Leclercia
first_kaiju_MEM_verbose.out	0.017816	4771	613	Serratia
first_kaiju_MEM_verbose.out	0.017028	4560	1279	Staphylococcus
first_kaiju_MEM_verbose.out	0.016191	4336	1386	Bacillus
first_kaiju_MEM_verbose.out	0.014899	3990	1485	Clostridium
first_kaiju_MEM_verbose.out	0.012681	3396	1330546	Pluralibacter
first_kaiju_MEM_verbose.out	0.011408	3055	1578	Lactobacillus
first_kaiju_MEM_verbose.out	0.011255	3014	629	Yersinia
first_kaiju_MEM_verbose.out	0.009982	2673	1330545	Lelliottia
first_kaiju_MEM_verbose.out	0.009877	2645	283168	Odoribacter
first_kaiju_MEM_verbose.out	0.009787	2621	129337	Geobacillus
first_kaiju_MEM_verbose.out	0.009089	2434	375288	Parabacteroides
first_kaiju_MEM_verbose.out	0.008839	2367	662	Vibrio
first_kaiju_MEM_verbose.out	0.007655	2050	237	Flavobacterium
first_kaiju_MEM_verbose.out	0.007577	2029	620	Shigella
first_kaiju_MEM_verbose.out	0.007472	2001	1330547	Kosakonia
first_kaiju_MEM_verbose.out	0.007390	1979	1883	Streptomyces
first_kaiju_MEM_verbose.out	0.007054	1889	44249	Paenibacillus
first_kaiju_MEM_verbose.out	0.006912	1851	836	Porphyromonas
first_kaiju_MEM_verbose.out	0.006908	1850	1873	Micromonospora
first_kaiju_MEM_verbose.out	0.006195	1659	397864	Barnesiella
first_kaiju_MEM_verbose.out	0.005990	1604	160674	Raoultella
first_kaiju_MEM_verbose.out	0.005788	1550	53335	Pantoea
first_kaiju_MEM_verbose.out	0.005613	1503	574697	Butyricimonas
first_kaiju_MEM_verbose.out	0.005351	1433	1016	Capnocytophaga
first_kaiju_MEM_verbose.out	0.005336	1429	32067	Leptotrichia
first_kaiju_MEM_verbose.out	0.005093	1364	44259	Filifactor
first_kaiju_MEM_verbose.out	0.004881	1307	286	Pseudomonas
first_kaiju_MEM_verbose.out	0.004671	1251	207244	Anaerostipes
first_kaiju_MEM_verbose.out	0.004548	1218	1506553	Lachnoclostridium
first_kaiju_MEM_verbose.out	0.004515	1209	413496	Cronobacter
first_kaiju_MEM_verbose.out	0.004253	1139	28453	Sphingobacterium
first_kaiju_MEM_verbose.out	0.004208	1127	374	Bradyrhizobium
first_kaiju_MEM_verbose.out	0.004182	1120	1730	Eubacterium
first_kaiju_MEM_verbose.out	0.004182	1120	577309	Paraprevotella
first_kaiju_MEM_verbose.out	0.004037	1081	158483	Cedecea
first_kaiju_MEM_verbose.out	0.003865	1035	59732	Chryseobacterium
first_kaiju_MEM_verbose.out	0.003813	1021	1335483	Shimwellia
first_kaiju_MEM_verbose.out	0.003786	1014	84567	Pedobacter
first_kaiju_MEM_verbose.out	0.003749	1004	34037	Rahnella
first_kaiju_MEM_verbose.out	0.003671	983	1918540	Muribaculum
first_kaiju_MEM_verbose.out	0.003604	965	82976	Buttiauxella
first_kaiju_MEM_verbose.out	0.003297	883	267986	Owenweeksia
first_kaiju_MEM_verbose.out	0.003025	810	1193324	Alkalitalea
first_kaiju_MEM_verbose.out	0.003021	809	150022	Finegoldia
first_kaiju_MEM_verbose.out	0.002980	798	1970191	Salinivirga
first_kaiju_MEM_verbose.out	0.002913	780	1716	Corynebacterium
first_kaiju_MEM_verbose.out	0.002857	765	22	Shewanella
first_kaiju_MEM_verbose.out	0.002748	736	1471399	Draconibacterium
first_kaiju_MEM_verbose.out	0.002700	723	2518495	Duncaniella
first_kaiju_MEM_verbose.out	0.002685	719	32008	Burkholderia
first_kaiju_MEM_verbose.out	0.002655	711	423349	Mucilaginibacter
first_kaiju_MEM_verbose.out	0.002648	709	357	Agrobacterium
first_kaiju_MEM_verbose.out	0.002614	700	204037	Dickeya
first_kaiju_MEM_verbose.out	0.002595	695	1696	Brevibacterium
