file	percent	reads	taxon_id	taxon_name
first_kaiju_MEM_verbose.out	13.470748	3607397	818	Bacteroides thetaiotaomicron
first_kaiju_MEM_verbose.out	9.469518	2535888	1681	Bifidobacterium bifidum
first_kaiju_MEM_verbose.out	6.201300	1660676	1264	Ruminococcus albus
first_kaiju_MEM_verbose.out	5.797039	1552417	1351	Enterococcus faecalis
first_kaiju_MEM_verbose.out	2.942237	787916	158	Treponema denticola
first_kaiju_MEM_verbose.out	2.774239	742927	39152	Methanococcus maripaludis
first_kaiju_MEM_verbose.out	2.125362	569161	187327	Acidaminococcus intestini
first_kaiju_MEM_verbose.out	2.117031	566930	84112	Eggerthella lenta
first_kaiju_MEM_verbose.out	1.998900	535295	195	Campylobacter coli
first_kaiju_MEM_verbose.out	1.666317	446231	1318	Streptococcus parasanguinis
first_kaiju_MEM_verbose.out	1.644882	440491	239935	Akkermansia muciniphila
first_kaiju_MEM_verbose.out	1.396244	373907	1496	Clostridioides difficile
first_kaiju_MEM_verbose.out	1.325194	354880	851	Fusobacterium nucleatum
first_kaiju_MEM_verbose.out	1.227279	328659	28901	Salmonella enterica
first_kaiju_MEM_verbose.out	1.023388	274058	33934	Anoxybacillus flavithermus
first_kaiju_MEM_verbose.out	0.609986	163351	84110	Slackia heliotrinireducens
first_kaiju_MEM_verbose.out	0.594705	159259	584	Proteus mirabilis
first_kaiju_MEM_verbose.out	0.580343	155413	28112	Tannerella forsythia
first_kaiju_MEM_verbose.out	0.572856	153408	210	Helicobacter pylori
first_kaiju_MEM_verbose.out	0.566702	151760	83816	Methanobrevibacter ruminantium
first_kaiju_MEM_verbose.out	0.489095	130977	166486	Roseburia intestinalis
first_kaiju_MEM_verbose.out	0.426128	114115	1358	Lactococcus lactis
first_kaiju_MEM_verbose.out	0.393764	105448	74426	Collinsella aerofaciens
first_kaiju_MEM_verbose.out	0.342845	91812	573	Klebsiella pneumoniae
first_kaiju_MEM_verbose.out	0.301316	80691	839	Prevotella ruminicola
first_kaiju_MEM_verbose.out	0.292668	78375	39950	Dialister pneumosintes
first_kaiju_MEM_verbose.out	0.292653	78371	29466	Veillonella parvula
first_kaiju_MEM_verbose.out	0.281499	75384	221027	Treponema putidum
first_kaiju_MEM_verbose.out	0.125992	33740	1322	Blautia hansenii
first_kaiju_MEM_verbose.out	0.106025	28393	550	Enterobacter cloacae
