file	percent	reads	taxon_id	taxon_name
second_kaiju_MEM_verbose.out	6.237537	1744505	1263	Ruminococcus
second_kaiju_MEM_verbose.out	6.055861	1693694	544	Citrobacter
second_kaiju_MEM_verbose.out	6.000129	1678107	1350	Enterococcus
second_kaiju_MEM_verbose.out	5.837814	1632711	816	Bacteroides
second_kaiju_MEM_verbose.out	5.102312	1427007	1678	Bifidobacterium
second_kaiju_MEM_verbose.out	4.024024	1125433	157	Treponema
second_kaiju_MEM_verbose.out	3.672410	1027094	547	Enterobacter
second_kaiju_MEM_verbose.out	3.088450	863773	84111	Eggerthella
second_kaiju_MEM_verbose.out	3.026196	846362	150247	Anoxybacillus
second_kaiju_MEM_verbose.out	2.895450	809795	1301	Streptococcus
second_kaiju_MEM_verbose.out	2.815862	787536	2184	Methanococcus
second_kaiju_MEM_verbose.out	2.739117	766072	194	Campylobacter
second_kaiju_MEM_verbose.out	2.304188	644432	570	Klebsiella
second_kaiju_MEM_verbose.out	2.149407	601143	904	Acidaminococcus
second_kaiju_MEM_verbose.out	1.892194	529206	590	Salmonella
second_kaiju_MEM_verbose.out	1.649026	461197	239934	Akkermansia
second_kaiju_MEM_verbose.out	1.644635	459969	848	Fusobacterium
second_kaiju_MEM_verbose.out	0.996076	278581	1870884	Clostridioides
second_kaiju_MEM_verbose.out	0.703379	196720	583	Proteus
second_kaiju_MEM_verbose.out	0.615789	172223	84108	Slackia
second_kaiju_MEM_verbose.out	0.614305	171808	209	Helicobacter
second_kaiju_MEM_verbose.out	0.589066	164749	2172	Methanobrevibacter
second_kaiju_MEM_verbose.out	0.585619	163785	195950	Tannerella
second_kaiju_MEM_verbose.out	0.510643	142816	841	Roseburia
second_kaiju_MEM_verbose.out	0.446295	124819	1357	Lactococcus
second_kaiju_MEM_verbose.out	0.393809	110140	102106	Collinsella
second_kaiju_MEM_verbose.out	0.380555	106433	29465	Veillonella
second_kaiju_MEM_verbose.out	0.310968	86971	838	Prevotella
second_kaiju_MEM_verbose.out	0.293977	82219	39948	Dialister
second_kaiju_MEM_verbose.out	0.137976	38589	572511	Blautia
second_kaiju_MEM_verbose.out	0.129724	36281	561	Escherichia
second_kaiju_MEM_verbose.out	0.127647	35700	642	Aeromonas
second_kaiju_MEM_verbose.out	0.105560	29523	702	Plesiomonas
second_kaiju_MEM_verbose.out	0.103859	29047	579	Kluyvera
second_kaiju_MEM_verbose.out	0.063251	17690	1611681	Mucinivorans
second_kaiju_MEM_verbose.out	0.046103	12894	445	Legionella
second_kaiju_MEM_verbose.out	0.034021	9515	239759	Alistipes
second_kaiju_MEM_verbose.out	0.032630	9126	1386	Bacillus
second_kaiju_MEM_verbose.out	0.030928	8650	613	Serratia
second_kaiju_MEM_verbose.out	0.025390	7101	129337	Geobacillus
second_kaiju_MEM_verbose.out	0.017166	4801	83654	Leclercia
second_kaiju_MEM_verbose.out	0.016959	4743	1279	Staphylococcus
second_kaiju_MEM_verbose.out	0.016884	4722	629	Yersinia
second_kaiju_MEM_verbose.out	0.015282	4274	1330546	Pluralibacter
second_kaiju_MEM_verbose.out	0.013734	3841	620	Shigella
second_kaiju_MEM_verbose.out	0.013659	3820	1485	Clostridium
second_kaiju_MEM_verbose.out	0.010108	2827	1578	Lactobacillus
second_kaiju_MEM_verbose.out	0.009393	2627	1330545	Lelliottia
second_kaiju_MEM_verbose.out	0.009175	2566	53335	Pantoea
second_kaiju_MEM_verbose.out	0.008835	2471	375288	Parabacteroides
second_kaiju_MEM_verbose.out	0.008449	2363	160674	Raoultella
second_kaiju_MEM_verbose.out	0.008256	2309	1330547	Kosakonia
second_kaiju_MEM_verbose.out	0.007623	2132	283168	Odoribacter
second_kaiju_MEM_verbose.out	0.007584	2121	662	Vibrio
second_kaiju_MEM_verbose.out	0.007577	2119	237	Flavobacterium
second_kaiju_MEM_verbose.out	0.007462	2087	44249	Paenibacillus
second_kaiju_MEM_verbose.out	0.006783	1897	836	Porphyromonas
second_kaiju_MEM_verbose.out	0.006061	1695	397864	Barnesiella
second_kaiju_MEM_verbose.out	0.005928	1658	1883	Streptomyces
second_kaiju_MEM_verbose.out	0.005728	1602	413496	Cronobacter
second_kaiju_MEM_verbose.out	0.005635	1576	574697	Butyricimonas
