file	percent	reads	taxon_id	taxon_name
second_kaiju_MEM_verbose.out	32.540081	9100761	91347	Enterobacterales
second_kaiju_MEM_verbose.out	9.580311	2679407	186826	Lactobacillales
second_kaiju_MEM_verbose.out	8.006701	2239302	186802	Clostridiales
second_kaiju_MEM_verbose.out	7.044489	1970192	171549	Bacteroidales
second_kaiju_MEM_verbose.out	5.136348	1436526	85004	Bifidobacteriales
second_kaiju_MEM_verbose.out	4.857184	1358450	1385	Bacillales
second_kaiju_MEM_verbose.out	4.026252	1126056	136	Spirochaetales
second_kaiju_MEM_verbose.out	3.834145	1072328	1643822	Eggerthellales
second_kaiju_MEM_verbose.out	3.358610	939331	213849	Campylobacterales
second_kaiju_MEM_verbose.out	2.820946	788958	2182	Methanococcales
second_kaiju_MEM_verbose.out	2.150780	601527	1843488	Acidaminococcales
second_kaiju_MEM_verbose.out	1.652276	462106	203491	Fusobacteriales
second_kaiju_MEM_verbose.out	1.649026	461197	48461	Verrucomicrobiales
second_kaiju_MEM_verbose.out	0.676191	189116	1843489	Veillonellales
second_kaiju_MEM_verbose.out	0.590067	165029	2158	Methanobacteriales
second_kaiju_MEM_verbose.out	0.401529	112299	84999	Coriobacteriales
second_kaiju_MEM_verbose.out	0.128565	35957	135624	Aeromonadales
second_kaiju_MEM_verbose.out	0.046296	12948	118969	Legionellales
second_kaiju_MEM_verbose.out	0.044204	12363	200644	Flavobacteriales
second_kaiju_MEM_verbose.out	0.021585	6037	768507	Cytophagales
second_kaiju_MEM_verbose.out	0.013655	3819	200666	Sphingobacteriales
second_kaiju_MEM_verbose.out	0.012332	3449	356	Rhizobiales
second_kaiju_MEM_verbose.out	0.012114	3388	80840	Burkholderiales
second_kaiju_MEM_verbose.out	0.011885	3324	1970189	Marinilabiliales
second_kaiju_MEM_verbose.out	0.010122	2831	135623	Vibrionales
second_kaiju_MEM_verbose.out	0.009836	2751	72274	Pseudomonadales
second_kaiju_MEM_verbose.out	0.009003	2518	204455	Rhodobacterales
second_kaiju_MEM_verbose.out	0.008803	2462	85006	Micrococcales
second_kaiju_MEM_verbose.out	0.008199	2293	1853229	Chitinophagales
second_kaiju_MEM_verbose.out	0.007623	2132	135622	Alteromonadales
second_kaiju_MEM_verbose.out	0.006586	1842	1737405	Tissierellales
second_kaiju_MEM_verbose.out	0.006368	1781	85011	Streptomycetales
second_kaiju_MEM_verbose.out	0.005703	1595	85008	Micromonosporales
second_kaiju_MEM_verbose.out	0.005174	1447	204441	Rhodospirillales
second_kaiju_MEM_verbose.out	0.005099	1426	85007	Corynebacteriales
second_kaiju_MEM_verbose.out	0.004008	1121	204457	Sphingomonadales
second_kaiju_MEM_verbose.out	0.003947	1104	135613	Chromatiales
second_kaiju_MEM_verbose.out	0.003668	1026	85010	Pseudonocardiales
second_kaiju_MEM_verbose.out	0.003558	995	135614	Xanthomonadales
second_kaiju_MEM_verbose.out	0.003154	882	85009	Propionibacteriales
second_kaiju_MEM_verbose.out	0.002868	802	135625	Pasteurellales
